m0,mu,phi,phi_over_pi,min_gap,min_kx,topological_indicator,near_closing
0.4,0.5,0.0,0.0,0.00044664,1.25663706,1,1
0.4,0.5,0.261799,0.083333,0.00044657,1.25663706,1,1
0.4,0.5,0.523599,0.166667,0.00044636,1.25663706,1,1
0.4,0.5,0.785398,0.25,0.00044603,1.25663706,1,1
0.4,0.5,1.047198,0.333333,0.00044561,1.25663706,1,1
0.4,0.5,1.308997,0.416667,0.00044511,1.25663706,1,1
0.4,0.5,1.570796,0.5,0.00044458,1.25663706,1,1
0.4,0.5,1.832596,0.583333,0.00044404,1.25663706,1,1
0.4,0.5,2.094395,0.666667,0.00044355,1.25663706,1,1
0.4,0.5,2.356194,0.75,0.00044312,1.25663706,1,1
0.4,0.5,2.617994,0.833333,0.00044279,1.25663706,1,1
0.4,0.5,2.879793,0.916667,0.00044259,1.25663706,1,1
0.4,0.5,3.141593,1.0,0.00044252,1.25663706,1,1
0.6,1.0,0.0,0.0,0.00013762,1.15191731,-1,1
0.6,1.0,0.261799,0.083333,0.00013765,1.15191731,-1,1
0.6,1.0,0.523599,0.166667,0.00013774,1.15191731,-1,1
0.6,1.0,0.785398,0.25,0.00013789,1.15191731,-1,1
0.6,1.0,1.047198,0.333333,0.00013808,-1.15191731,-1,1
0.6,1.0,1.308997,0.416667,0.00013831,1.15191731,-1,1
0.6,1.0,1.570796,0.5,0.00013855,1.15191731,-1,1
0.6,1.0,1.832596,0.583333,0.00013879,1.15191731,-1,1
0.6,1.0,2.094395,0.666667,0.00013901,-1.15191731,-1,1
0.6,1.0,2.356194,0.75,0.0001392,1.15191731,-1,1
0.6,1.0,2.617994,0.833333,0.00013935,1.15191731,-1,1
0.6,1.0,2.879793,0.916667,0.00013944,-1.15191731,-1,1
0.6,1.0,3.141593,1.0,0.00013948,-1.15191731,-1,1
1.2,2.0,0.0,0.0,0.00013004,-0.36651914,1,1
1.2,2.0,0.261799,0.083333,0.00013032,-0.36651914,1,1
1.2,2.0,0.523599,0.166667,0.00013112,-0.36651914,1,1
1.2,2.0,0.785398,0.25,0.0001324,-0.36651914,1,1
1.2,2.0,1.047198,0.333333,0.00013406,0.36651914,1,1
1.2,2.0,1.308997,0.416667,0.00013596,-0.36651914,1,1
1.2,2.0,1.570796,0.5,0.00013799,0.36651914,1,1
1.2,2.0,1.832596,0.583333,0.00013999,0.36651914,1,1
1.2,2.0,2.094395,0.666667,0.00014183,-0.36651914,1,1
1.2,2.0,2.356194,0.75,0.0001434,0.36651914,1,1
1.2,2.0,2.617994,0.833333,0.00014459,0.36651914,1,1
1.2,2.0,2.879793,0.916667,0.00014534,0.36651914,1,1
1.2,2.0,3.141593,1.0,0.00014559,-0.36651914,1,1
