m0,mu,phi,phi_over_pi,min_gap,min_k,topological_indicator,near_closing
0.0,-2.0,0.261799,0.083333,0.00042739,-0.62831853,1,1
0.0,-1.5,1.308997,0.416667,0.00026078,-0.57595865,1,1
0.0,-1.5,3.141593,1.0,0.00032282,-0.20943951,0,1
0.0,-1.0,0.0,0.0,0.00058886,-0.99483767,1,1
0.0,-0.5,0.0,0.0,0.00035911,-0.89011792,1,1
0.0,-0.5,0.261799,0.083333,0.00096802,0.89011792,1,1
0.0,0.5,0.0,0.0,0.00035911,2.25147474,1,1
0.0,0.5,0.261799,0.083333,0.00096802,-2.25147474,1,1
0.0,1.0,0.0,0.0,0.00058886,2.14675498,1,1
0.0,1.5,1.308997,0.416667,0.00026078,2.565634,1,1
0.0,1.5,3.141593,1.0,0.00032282,2.93215314,0,1
0.0,2.0,0.261799,0.083333,0.00042739,2.51327412,1,1
0.2,-1.5,1.047198,0.333333,0.00020176,-0.4712389,1,1
0.2,-1.0,0.0,0.0,0.00022948,-0.62831853,1,1
0.2,-1.0,1.570796,0.5,0.00021234,0.57595865,1,1
0.2,0.0,1.832596,0.583333,0.00077622,-2.04203522,1,1
0.2,1.0,0.0,0.0,0.00022948,-2.51327412,1,1
0.2,1.0,1.570796,0.5,0.00021234,-2.565634,1,1
0.2,1.5,1.047198,0.333333,0.00020176,-2.67035376,1,1
0.4,-2.0,0.261799,0.083333,0.00096894,0.41887902,1,1
0.4,2.0,0.261799,0.083333,0.00096894,2.72271363,1,1
0.6,-1.5,2.356194,0.75,0.0006305,-1.30899694,1,1
0.6,-1.0,2.879793,0.916667,0.00010693,0.10471976,1,1
0.6,-1.0,3.141593,1.0,0.00085386,-0.10471976,1,1
0.6,-0.5,2.617994,0.833333,0.00049422,0.73303829,1,1
0.6,0.5,2.617994,0.833333,0.00049422,-2.40855437,1,1
0.6,1.0,2.879793,0.916667,0.00010693,-3.0368729,1,1
0.6,1.0,3.141593,1.0,0.00085386,-3.0368729,1,1
0.6,1.5,2.356194,0.75,0.0006305,1.83259571,1,1
0.8,-2.0,2.879793,0.916667,0.00040094,0.10471976,1,1
0.8,-2.0,3.141593,1.0,0.0,0.0,1,1
0.8,-1.5,0.785398,0.25,0.00032122,0.57595865,1,1
0.8,-1.5,1.570796,0.5,0.00038442,-1.30899694,1,1
0.8,-0.5,1.570796,0.5,0.00077917,0.62831853,1,1
0.8,0.5,1.570796,0.5,0.00077917,-2.51327412,1,1
0.8,1.5,0.785398,0.25,0.00032122,-2.565634,1,1
0.8,1.5,1.570796,0.5,0.00038442,1.83259571,1,1
0.8,2.0,2.879793,0.916667,0.00040094,-3.0368729,1,1
0.8,2.0,3.141593,1.0,0.0,3.14159265,1,1
1.0,-2.0,2.356194,0.75,0.00042591,-1.09955743,1,1
1.0,-1.5,0.523599,0.166667,0.00056245,-1.30899694,1,1
1.0,-1.5,1.047198,0.333333,0.00035649,-0.20943951,1,1
1.0,-1.5,2.094395,0.666667,0.00052153,0.31415927,1,1
1.0,-1.5,3.141593,1.0,0.00076764,0.36651914,1,1
1.0,1.5,0.523599,0.166667,0.00056245,1.83259571,1,1
1.0,1.5,1.047198,0.333333,0.00035649,2.93215314,1,1
1.0,1.5,2.094395,0.666667,0.00052153,2.82743339,1,1
1.0,1.5,3.141593,1.0,0.00076764,-2.77507351,1,1
1.0,2.0,2.356194,0.75,0.00042591,-2.04203522,1,1
1.2,-1.5,0.523599,0.166667,0.00016272,0.9424778,1,1
1.2,-1.0,1.047198,0.333333,0.00066945,0.78539816,1,1
1.2,-1.0,2.617994,0.833333,0.00046211,-1.04719755,1,1
1.2,-0.5,0.0,0.0,0.00090822,1.36135682,1,1
1.2,-0.5,1.047198,0.333333,0.00081949,-1.83259571,1,1
1.2,0.5,0.0,0.0,0.00090822,-1.78023584,1,1
1.2,0.5,1.047198,0.333333,0.00081949,1.30899694,1,1
1.2,1.0,1.047198,0.333333,0.00066945,2.35619449,1,1
1.2,1.0,2.617994,0.833333,0.00046211,2.0943951,1,1
1.2,1.5,0.523599,0.166667,0.00016272,-2.19911486,1,1
1.4,-2.0,2.356194,0.75,0.00084149,1.15191731,1,1
1.4,0.0,1.570796,0.5,0.00086467,0.68067841,1,1
1.4,2.0,2.356194,0.75,0.00084149,-1.98967535,1,1
1.6,-0.5,0.0,0.0,0.00086926,-1.88495559,1,1
1.6,0.5,0.0,0.0,0.00086926,-1.25663706,1,1
