m0,mu,phi,phi_over_pi,min_gap,min_kx,topological_indicator,near_closing
0.2,-1.5,0.261799,0.083333,0.00041352,0.57595865,1,1
0.2,0.5,0.785398,0.25,0.00019232,0.15707963,1,1
0.2,0.5,1.047198,0.333333,0.00041915,-0.15707963,1,1
0.2,0.5,1.308997,0.416667,0.00021891,0.26179939,1,1
0.2,1.5,0.261799,0.083333,0.0002224,-2.30383461,1,1
0.2,1.5,0.785398,0.25,6.933e-05,-0.83775804,1,1
0.4,-2.0,0.0,0.0,0.00046814,1.30899694,1,1
0.4,-0.5,0.523599,0.166667,0.00017447,-1.20427718,1,1
0.4,0.5,0.0,0.0,0.00027738,1.98967535,1,1
0.4,0.5,2.094395,0.666667,4.45e-06,-0.10471976,1,1
0.4,0.5,3.141593,1.0,0.00030299,-0.05235988,1,1
0.4,1.0,0.0,0.0,0.0003949,0.4712389,1,1
0.4,1.0,0.261799,0.083333,0.00020677,0.4712389,1,1
0.4,1.0,0.523599,0.166667,0.00034288,0.4712389,1,1
0.4,1.0,2.356194,0.75,0.00024141,0.52359878,1,1
0.6,-2.0,0.261799,0.083333,0.00035334,-1.30899694,1,1
0.6,-1.5,0.785398,0.25,0.00039989,-1.36135682,1,1
0.6,-1.0,0.785398,0.25,6.336e-05,0.99483767,1,1
0.6,-0.5,0.523599,0.166667,0.00020691,0.9424778,1,1
0.6,1.0,0.523599,0.166667,0.00027145,0.52359878,1,1
0.6,1.0,2.356194,0.75,0.00041921,0.78539816,1,1
0.6,1.5,0.0,0.0,0.0002042,-2.40855437,1,1
0.6,1.5,1.308997,0.416667,0.0002746,2.30383461,1,1
0.6,2.0,2.094395,0.666667,0.00017929,-1.09955743,1,1
0.8,-1.0,1.570796,0.5,0.00046795,0.99483767,1,1
0.8,0.0,0.261799,0.083333,0.00041863,1.20427718,1,1
0.8,1.0,0.523599,0.166667,0.00030396,-1.20427718,1,1
0.8,1.0,2.094395,0.666667,0.00024985,0.9424778,1,1
0.8,1.5,1.047198,0.333333,0.00043648,-2.25147474,1,1
0.8,1.5,1.832596,0.583333,0.00015103,-1.15191731,1,1
0.8,2.0,0.0,0.0,3.789e-05,2.19911486,1,1
0.8,2.0,2.617994,0.833333,0.00024077,1.09955743,1,1
1.0,-1.5,0.523599,0.166667,0.00017691,1.36135682,1,1
1.0,-1.5,2.879793,0.916667,0.00016394,0.73303829,1,1
1.0,-0.5,0.0,0.0,0.0003399,2.19911486,1,1
1.0,-0.5,1.047198,0.333333,0.00031999,-0.99483767,1,1
1.0,1.0,0.261799,0.083333,0.00025453,-1.72787596,1,1
1.0,1.0,0.785398,0.25,6.739e-05,1.93731547,1,1
1.0,1.0,3.141593,1.0,0.00031029,-0.41887902,1,1
1.0,1.5,0.0,0.0,0.00022684,-2.72271363,1,1
1.0,1.5,1.047198,0.333333,3.376e-05,-2.04203522,1,1
1.0,1.5,1.570796,0.5,0.00043977,1.09955743,1,1
1.0,2.0,0.0,0.0,0.00016077,-1.04719755,1,1
1.0,2.0,0.261799,0.083333,0.00028376,1.04719755,1,1
1.0,2.0,0.523599,0.166667,8.624e-05,-1.72787596,1,1
1.2,-1.5,1.832596,0.583333,0.00032831,0.68067841,1,1
1.2,-0.5,0.523599,0.166667,0.00012326,-0.89011792,1,1
1.2,1.0,0.785398,0.25,0.00017322,-0.83775804,1,1
1.2,1.0,1.047198,0.333333,2.165e-05,1.20427718,1,1
1.2,1.5,1.308997,0.416667,0.00034849,2.30383461,1,1
1.2,2.0,0.261799,0.083333,0.00036573,1.46607657,1,1
1.2,2.0,0.523599,0.166667,0.0003029,-1.78023584,1,1
