t_interface,t_junction_y,alpha_junction_x,alpha_junction_y,channel_filter_strength,phase_gain,spread,pi_win_count
0.2,0.14,0.1,0.06,0.55,0.34435996725627754,0.00010816218619072691,3.0
0.22,0.16,0.12,0.05,0.55,0.2858725633163564,0.0001228122360928503,3.0
0.22,0.16,0.12,0.06,0.55,0.18733217820340242,0.00011783304429005869,3.0
0.2,0.14,0.1,0.05,0.55,0.08355955481026149,5.964138141327012e-05,3.0
0.22,0.14,0.1,0.05,0.55,0.44843831768809456,0.0002745336965320479,2.0
0.22,0.14,0.1,0.06,0.55,0.2557186428595135,0.00022241108934349985,2.0
0.2,0.16,0.12,0.05,0.55,0.21736959781683415,8.44305336956916e-05,2.0
0.22,0.16,0.1,0.05,0.55,0.026892654401462875,3.5246842159573585e-05,2.0
0.22,0.16,0.1,0.06,0.55,0.023550775593585687,3.4569768978289676e-05,2.0
0.2,0.16,0.1,0.06,0.6,0.004295247451616876,8.405313332277797e-06,2.0
0.22,0.16,0.12,0.05,0.6,0.001215163828913399,1.773308045828098e-05,2.0
0.22,0.16,0.12,0.06,0.6,0.0005036161998261702,1.7224446969522954e-05,2.0
0.2,0.14,0.1,0.06,0.6,-0.002538607222232519,1.1078062436595078e-05,2.0
0.2,0.14,0.1,0.05,0.6,-0.003237068337620205,1.1037339589923257e-05,2.0
0.2,0.16,0.1,0.06,0.55,-0.008129185467602227,2.7874947768768358e-05,2.0
0.22,0.14,0.12,0.05,0.6,-0.02061418301061274,2.067052119174234e-05,2.0
0.22,0.14,0.12,0.06,0.6,-0.03033672911524686,2.08561741574904e-05,2.0
0.22,0.14,0.12,0.05,0.55,-0.06974092347496255,7.93371055257724e-05,2.0
0.22,0.14,0.12,0.06,0.55,-0.1219068046379412,7.901212174028462e-05,2.0
0.18,0.16,0.12,0.06,0.55,0.2358918397295983,4.136082962426266e-05,1.0
0.2,0.16,0.12,0.06,0.55,0.13707063221217844,8.891271016262072e-05,1.0
0.22,0.16,0.1,0.05,0.6,0.017782694088011548,7.464927403498907e-06,1.0
0.22,0.16,0.1,0.06,0.6,0.016121610323240707,7.29731130978156e-06,1.0
0.2,0.16,0.1,0.05,0.6,0.0032605273183217444,8.36012153183571e-06,1.0
0.18,0.16,0.1,0.06,0.6,0.001956331622049313,7.351315895318227e-06,1.0
0.18,0.16,0.1,0.05,0.6,0.0012886669920347928,7.111080182644579e-06,1.0
0.2,0.16,0.12,0.05,0.6,-0.0039159816167834,1.3701119957489061e-05,1.0
0.2,0.14,0.12,0.05,0.6,-0.0056029659371027605,1.1641790359110521e-05,1.0
0.2,0.16,0.12,0.06,0.6,-0.005630951192490098,1.3754117146050717e-05,1.0
0.2,0.14,0.12,0.06,0.6,-0.008247929935249405,1.2021060989112639e-05,1.0
0.2,0.16,0.1,0.05,0.55,-0.008452710941861,2.832975910944028e-05,1.0
0.18,0.14,0.1,0.05,0.6,-0.010777709866950867,1.1430510233740774e-05,1.0
0.18,0.14,0.1,0.06,0.6,-0.010913618731413749,1.140804845007371e-05,1.0
0.2,0.14,0.12,0.05,0.55,-0.018865468731979907,4.8207353276205884e-05,1.0
0.2,0.14,0.12,0.06,0.55,-0.026211105471391518,4.859619917630186e-05,1.0
0.18,0.16,0.1,0.05,0.55,-0.02622442382578062,2.8680099757226517e-05,1.0
0.18,0.16,0.1,0.06,0.55,-0.03060137373804529,2.8665351329303324e-05,1.0
0.22,0.14,0.1,0.05,0.6,-0.037013491307103054,7.208313392543501e-05,1.0
0.18,0.14,0.1,0.05,0.55,-0.058196619951633256,5.671690364686206e-05,1.0
0.22,0.14,0.1,0.06,0.6,-0.07372779574042028,9.399339988954558e-05,1.0
0.18,0.14,0.1,0.06,0.55,-0.09230027955489138,5.7344318717858846e-05,1.0
0.18,0.14,0.12,0.05,0.6,-0.04812707442842093,8.017460052114312e-06,0.0
0.18,0.14,0.12,0.06,0.6,-0.052950624606325485,8.332390456235447e-06,0.0
0.18,0.16,0.12,0.05,0.6,-0.06727307326929098,1.3335587872355384e-05,0.0
0.18,0.16,0.12,0.06,0.6,-0.0733916152754224,1.3357226898150612e-05,0.0
0.18,0.14,0.12,0.05,0.55,-0.07762234522296897,3.297197066940752e-05,0.0
0.18,0.14,0.12,0.06,0.55,-0.08561663872749216,3.339036911401256e-05,0.0
0.18,0.16,0.12,0.05,0.55,-0.3245584942086886,3.986397603978124e-05
