t_interface_left_active,alpha_interface_left_active,alpha_junction_x_active,barrier_active,phase_gain,spread,pi_win_count,focused_pi_count
0.2,0.3,0.14,2.3,0.006406736053241033,3.0333557307908782e-06,2.0,2.0
0.18,0.26,0.12,2.3,0.004316490174475579,2.6376038006609455e-06,2.0,2.0
0.18,0.3,0.1,2.3,0.004049473696295453,2.878236200470871e-06,2.0,2.0
0.22,0.26,0.1,2.1,0.0036134633886907887,1.9693600195100024e-06,2.0,2.0
0.18,0.34,0.12,2.1,0.0028923195407485514,1.6476157899258886e-06,2.0,2.0
0.22,0.3,0.1,2.2,0.0028448611993415127,3.293335560629546e-06,2.0,2.0
0.22,0.3,0.14,2.2,0.002699898973461677,2.5805430617957654e-06,2.0,2.0
0.22,0.26,0.12,2.2,0.0022744481580238593,2.4654052828068963e-06,2.0,2.0
0.2,0.34,0.14,2.1,0.0018781136347609262,1.8944711190409384e-06,2.0,2.0
0.2,0.26,0.12,2.1,0.001798499431493885,1.6802436964240225e-06,2.0,2.0
0.2,0.3,0.1,2.1,0.001441415273232762,2.2506620493007407e-06,2.0,1.0
0.18,0.34,0.14,2.2,0.0008201202162626144,2.263865207048638e-06,2.0,1.0
0.18,0.26,0.1,2.2,0.000798532529319846,1.3027115264571266e-06,2.0,1.0
0.2,0.26,0.14,2.1,0.0007798185382870284,1.8703023811038783e-06,2.0,1.0
0.2,0.3,0.12,2.2,0.0003118454562019921,2.5124783644492396e-06,2.0,1.0
0.2,0.34,0.1,2.2,-0.0004461642665926793,3.091660997112538e-06,2.0,1.0
0.2,0.26,0.14,2.2,-0.0005181485771422926,1.7925198637270463e-06,2.0,1.0
0.22,0.34,0.14,2.1,-0.0007430232818324482,2.607846082203225e-06,2.0,1.0
0.18,0.34,0.1,2.2,-0.0011059833001491815,2.259848207193212e-06,2.0,1.0
0.2,0.34,0.12,2.3,-0.001577676753779315,3.5367136378184575e-06,2.0,1.0
0.22,0.3,0.14,2.3,-0.0017601580507969271,4.217511866133951e-06,2.0,1.0
0.22,0.34,0.12,2.2,-0.0019582078454320152,5.219439977521944e-06,2.0,1.0
0.2,0.34,0.1,2.1,-0.003232820954605995,1.507729129913157e-06,2.0,1.0
0.22,0.3,0.1,2.3,-0.003249682068793867,4.485929516078188e-06,2.0,1.0
