m0,mu,phi,phi_over_pi,min_gap,min_kx,topological_indicator,near_closing
0.0,-1.0,0.0,0.0,0.00049841,-1.67551608,1,1
0.0,-1.0,0.261799,0.083333,0.00044146,-1.67551608,1,1
0.0,-1.0,0.523599,0.166667,0.00036497,-1.67551608,1,1
0.0,-1.0,0.785398,0.25,0.00044944,-1.67551608,1,1
0.2,-1.0,0.0,0.0,0.00025115,1.67551608,1,1
0.2,-1.0,0.261799,0.083333,0.00019427,-1.67551608,1,1
0.2,-1.0,0.523599,0.166667,0.00011669,-1.67551608,1,1
0.2,-1.0,0.785398,0.25,0.00019614,-1.67551608,1,1
0.2,-1.0,1.047198,0.333333,0.00041616,-1.67551608,1,1
0.2,0.5,0.785398,0.25,0.00013668,-1.41371669,1,1
0.2,1.0,0.523599,0.166667,0.00038001,1.67551608,1,1
0.2,1.0,1.047198,0.333333,0.00026405,-1.51843645,1,1
0.2,1.5,0.0,0.0,0.00039698,0.73303829,1,1
0.2,1.5,0.261799,0.083333,0.00038768,-0.73303829,1,1
0.2,1.5,0.523599,0.166667,0.00036045,0.73303829,1,1
0.2,1.5,0.785398,0.25,0.00031718,0.73303829,1,1
0.2,1.5,1.047198,0.333333,0.00026091,0.73303829,1,1
0.2,1.5,1.308997,0.416667,0.00019553,0.73303829,1,1
0.2,1.5,1.570796,0.5,0.00012556,-0.73303829,1,1
0.2,1.5,1.832596,0.583333,5.578e-05,-0.73303829,1,1
0.2,1.5,2.094395,0.666667,9.08e-06,0.73303829,1,1
0.2,1.5,2.356194,0.75,6.465e-05,-0.73303829,1,1
0.2,1.5,2.617994,0.833333,0.0001072,0.73303829,1,1
0.2,1.5,2.879793,0.916667,0.00013392,-0.73303829,1,1
0.2,1.5,3.141593,1.0,0.00014303,-0.73303829,1,1
0.4,-1.0,0.0,0.0,1.635e-05,-1.67551608,1,1
0.4,-1.0,0.261799,0.083333,3.929e-05,1.67551608,1,1
0.4,-1.0,0.523599,0.166667,0.00011674,1.67551608,1,1
0.4,-1.0,0.785398,0.25,4.679e-05,1.67551608,1,1
0.4,-1.0,1.047198,0.333333,0.00016305,-1.67551608,1,1
0.4,-1.0,1.308997,0.416667,0.00041733,-1.67551608,1,1
0.4,0.5,1.308997,0.416667,0.00043051,1.41371669,1,1
0.4,0.5,2.094395,0.666667,0.00032193,-0.68067841,1,1
0.4,0.5,2.356194,0.75,4.618e-05,0.68067841,1,1
0.4,0.5,2.617994,0.833333,0.00016383,0.68067841,1,1
0.4,0.5,2.879793,0.916667,0.00029517,0.68067841,1,1
0.4,0.5,3.141593,1.0,0.00033984,0.68067841,1,1
0.4,1.0,1.047198,0.333333,0.00017709,1.67551608,1,1
0.4,1.5,0.261799,0.083333,5.71e-05,-1.67551608,1,1
0.4,1.5,3.141593,1.0,6.787e-05,1.57079633,1,1
0.4,2.0,0.261799,0.083333,0.00023245,-2.14675498,1,1
0.4,2.0,1.570796,0.5,0.00042347,-2.30383461,1,1
0.4,2.0,2.094395,0.666667,0.00013872,-2.61799388,1,1
0.6,-1.0,0.0,0.0,0.00020695,1.67551608,1,1
0.6,-1.0,0.261799,0.083333,0.00026034,1.67551608,1,1
0.6,-1.0,0.523599,0.166667,0.00033659,-1.67551608,1,1
0.6,-1.0,0.785398,0.25,0.00027943,1.67551608,1,1
0.6,-1.0,1.047198,0.333333,8.45e-05,-1.67551608,1,1
0.6,-1.0,1.308997,0.416667,0.0001605,1.67551608,1,1
0.6,-1.0,1.570796,0.5,0.00040776,1.67551608,1,1
0.6,0.0,0.261799,0.083333,0.00028739,-1.09955743,1,1
0.6,0.5,0.785398,0.25,9.008e-05,0.99483767,1,1
0.6,1.0,0.261799,0.083333,0.00024294,1.36135682,1,1
0.6,1.5,0.523599,0.166667,0.00040964,1.83259571,1,1
0.6,1.5,2.094395,0.666667,0.00015436,1.6231562,1,1
0.6,2.0,0.785398,0.25,0.00035771,2.19911486,1,1
0.6,2.0,2.879793,0.916667,0.00046801,-2.30383461,1,1
0.8,-1.0,0.0,0.0,0.00041925,1.67551608,1,1
0.8,-1.0,0.261799,0.083333,0.0004696,-1.67551608,1,1
0.8,-1.0,1.047198,0.333333,0.00032534,-1.67551608,1,1
0.8,-1.0,1.308997,0.416667,9.283e-05,-1.67551608,1,1
0.8,-1.0,1.570796,0.5,0.00014684,1.67551608,1,1
0.8,-1.0,1.832596,0.583333,0.00037013,-1.67551608,1,1
0.8,0.5,1.308997,0.416667,0.00018222,1.30899694,1,1
0.8,0.5,2.356194,0.75,0.00047111,-1.41371669,1,1
0.8,1.5,0.0,0.0,0.00015865,1.83259571,1,1
0.8,1.5,0.261799,0.083333,0.00027707,1.78023584,1,1
0.8,1.5,0.523599,0.166667,0.00020706,-1.78023584,1,1
0.8,1.5,2.356194,0.75,0.00020103,-1.57079633,1,1
0.8,1.5,2.617994,0.833333,0.00031474,1.57079633,1,1
0.8,2.0,0.0,0.0,0.00022372,-2.0943951,1,1
1.0,-1.0,1.308997,0.416667,0.00034106,-1.67551608,1,1
1.0,-1.0,1.570796,0.5,0.00011131,1.67551608,1,1
1.0,-1.0,1.832596,0.583333,0.00010574,-1.67551608,1,1
1.0,-1.0,2.094395,0.666667,0.00029602,-1.67551608,1,1
1.0,-1.0,2.356194,0.75,0.000451,-1.67551608,1,1
1.0,0.0,1.308997,0.416667,1.866e-05,1.15191731,1,1
1.0,0.0,1.570796,0.5,0.0001069,1.09955743,1,1
1.0,0.5,0.261799,0.083333,0.00031581,1.20427718,1,1
