mu,phi,nu_ring
-2.5,0.0,-1
-2.5,0.15707963267948966,-1
-2.5,0.3141592653589793,-1
-2.5,0.47123889803846897,-1
-2.5,0.6283185307179586,-1
-2.5,0.7853981633974483,-1
-2.5,0.9424777960769379,-1
-2.5,1.0995574287564276,-1
-2.5,1.2566370614359172,-1
-2.5,1.413716694115407,-1
-2.5,1.5707963267948966,-1
-2.5,1.7278759594743862,-1
-2.5,1.8849555921538759,-1
-2.5,2.0420352248333655,-1
-2.5,2.199114857512855,-1
-2.5,2.356194490192345,-1
-2.5,2.5132741228718345,-1
-2.5,2.670353755551324,-1
-2.5,2.827433388230814,-1
-2.5,2.9845130209103035,-1
-2.5,3.141592653589793,-1
-2.5,3.2986722862692828,1
-2.5,3.4557519189487724,-1
-2.5,3.612831551628262,-1
-2.5,3.7699111843077517,-1
-2.5,3.9269908169872414,-1
-2.5,4.084070449666731,-1
-2.5,4.241150082346221,-1
-2.5,4.39822971502571,-1
-2.5,4.5553093477052,-1
-2.5,4.71238898038469,-1
-2.5,4.869468613064179,-1
-2.5,5.026548245743669,-1
-2.5,5.183627878423159,-1
-2.5,5.340707511102648,-1
-2.5,5.497787143782138,-1
-2.5,5.654866776461628,-1
-2.5,5.811946409141117,-1
-2.5,5.969026041820607,-1
-2.5,6.126105674500097,-1
-2.5,6.283185307179586,-1
-2.3333333333333335,0.0,-1
-2.3333333333333335,0.15707963267948966,-1
-2.3333333333333335,0.3141592653589793,-1
-2.3333333333333335,0.47123889803846897,-1
-2.3333333333333335,0.6283185307179586,-1
-2.3333333333333335,0.7853981633974483,-1
-2.3333333333333335,0.9424777960769379,-1
-2.3333333333333335,1.0995574287564276,-1
-2.3333333333333335,1.2566370614359172,-1
-2.3333333333333335,1.413716694115407,-1
-2.3333333333333335,1.5707963267948966,-1
-2.3333333333333335,1.7278759594743862,-1
-2.3333333333333335,1.8849555921538759,-1
-2.3333333333333335,2.0420352248333655,-1
-2.3333333333333335,2.199114857512855,-1
-2.3333333333333335,2.356194490192345,-1
-2.3333333333333335,2.5132741228718345,-1
-2.3333333333333335,2.670353755551324,-1
-2.3333333333333335,2.827433388230814,-1
-2.3333333333333335,2.9845130209103035,-1
-2.3333333333333335,3.141592653589793,-1
-2.3333333333333335,3.2986722862692828,-1
-2.3333333333333335,3.4557519189487724,-1
-2.3333333333333335,3.612831551628262,-1
-2.3333333333333335,3.7699111843077517,-1
-2.3333333333333335,3.9269908169872414,-1
-2.3333333333333335,4.084070449666731,-1
-2.3333333333333335,4.241150082346221,-1
-2.3333333333333335,4.39822971502571,-1
-2.3333333333333335,4.5553093477052,-1
