case,phi,phi_frac_pi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
positive_control,0.47123889803846897,0.15,-0.2,0.045551702881965306,0.03724690256799376,0.008304800313971544,1.910568508269339,2.0557149539858677,0.07319539025286996,0.11753813838990117,0.17093168229750252,0.07012798471800472
positive_control,0.47123889803846897,0.15,-0.19,0.05536786416495876,0.04365249691257364,0.011715367252385117,1.9641926499675981,2.082414609885438,0.10461015003008005,0.15111186286663153,0.152132867314867,0.08041262023357848
positive_control,0.47123889803846897,0.15,-0.18000000000000002,0.1307106589221972,0.0998978370073873,0.030812821914809885,2.0090763680003554,2.134945694758866,0.20229147110437362,0.22355078359316785,0.22402792501882843,0.11941791074911191
positive_control,0.47123889803846897,0.15,-0.17,0.2322540149854998,0.17301634800170396,0.059237666983795845,1.9065581604707287,2.1276381603712466,0.2323089623262137,0.19273357420854875,0.38498846883928095,0.12433308082109779
positive_control,0.47123889803846897,0.15,-0.16,0.09333738757610098,0.0681520943233298,0.025185293252771176,1.9023899028713978,2.0707602778539096,0.09376015254527742,0.12331291339936189,0.2165555429266508,0.07773792879822322
positive_control,0.47123889803846897,0.15,-0.15000000000000002,0.06610029091730597,0.04757713088779346,0.018523160029512514,1.9482863770620715,2.0866197147053236,0.10404216318173436,0.16489684466079937,0.17427894614917544,0.09680028998498813
positive_control,0.47123889803846897,0.15,-0.14,0.09827751013270249,0.07013993430744651,0.028137575825255973,1.9979744055904078,2.1292482397379127,0.17987261883912276,0.24850598360558634,0.21003578907397108,0.14739531969292988
positive_control,0.47123889803846897,0.15,-0.13,0.2237081110472655,0.1592622313552013,0.06444587969206422,2.032939213974865,2.179058132081825,0.29473463647978587,0.29675470372568125,0.326241302196985,0.18214245133592075
positive_control,0.47123889803846897,0.15,-0.12000000000000001,0.1529576155570032,0.10927000456935396,0.043687610987649256,1.9649403730274255,2.0993103410777096,0.13259966566662024,0.1416546958694358,0.21134690362684408,0.08603196577937561
positive_control,0.47123889803846897,0.15,-0.11000000000000001,0.10386215967713892,0.07486975514344121,0.02899240453369771,1.9749759999636538,2.101915345344229,0.12895574621788333,0.20445080469483334,0.1829721507879275,0.1315278638843018
positive_control,0.47123889803846897,0.15,-0.1,0.14737028922353024,0.1077281400781812,0.03964214914534904,2.0176914153773016,2.147615655568671,0.2420924011947994,0.335548706127658,0.26404313496284676,0.22757519970433593
positive_control,0.47123889803846897,0.15,-0.09000000000000001,0.21911682566810528,0.16313390606704364,0.05598291960106164,2.036100748576324,2.145531558870106,0.26540863790524355,0.2654679086986667,0.28529080892998115,0.17591926942962216
positive_control,0.47123889803846897,0.15,-0.08000000000000002,0.16429110751490256,0.12507185430234855,0.03921925321255401,2.003150056865991,2.1026043160475556,0.1464688616068952,0.19796930463655332,0.18253805795345868,0.13458424180155176
positive_control,0.47123889803846897,0.15,-0.07,0.17765449334916567,0.13883724757921967,0.038817245769945996,2.0170668688464097,2.1267040422284884,0.23082772723164716,0.3495576842428951,0.2525781041551839,0.2616708877843522
positive_control,0.47123889803846897,0.15,-0.06,0.20617434353028702,0.16603135603582359,0.040142987494463434,2.0307524666456978,2.1170648785737773,0.27430406546911423,0.288402293441811,0.2836945863178796,0.21148040236249696
