case,phi,phi_frac_pi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
impurity_candidate,0.47123889803846897,0.15,-0.2,9.13863463770918e-08,6.834372370235471e-08,2.3042622674737084e-08,1.9793590167667265,2.128571771318075,0.20811899647010693,0.20846970467576,0.22876000274600278,0.0798979564003078
impurity_candidate,0.47123889803846897,0.15,-0.19,7.454668452131183e-08,5.6044479080819516e-08,1.8502205440492316e-08,1.9929516750254193,2.123340162516788,0.1915928588101603,0.1918585877270858,0.19864120228694654,0.06851844371250305
impurity_candidate,0.47123889803846897,0.15,-0.18000000000000002,6.276957089079722e-08,4.733911179147856e-08,1.543045909931866e-08,2.0043900632758995,2.118811376206675,0.17765040066565319,0.17785453639297627,0.1732603528202127,0.05904317561676048
impurity_candidate,0.47123889803846897,0.15,-0.17,5.45073062156706e-08,4.1135348668006746e-08,1.3371957547663854e-08,2.014094885659515,2.1148445653900834,0.16581463397256663,0.16597325176774674,0.1517197616850092,0.051128699749620976
impurity_candidate,0.47123889803846897,0.15,-0.16,4.878959156292784e-08,3.6739008959954825e-08,1.2050582602973015e-08,2.022394483154678,2.111330883991939,0.15571306644992688,0.15583735357952125,0.13331859534583165,0.04450648163816481
impurity_candidate,0.47123889803846897,0.15,-0.15000000000000002,4.501226502381222e-08,3.3706885754197996e-08,1.1305379269614226e-08,2.0295470177231456,2.1081852357650583,0.14705276914947876,0.14715057918165297,0.11750576273171251,0.038965354721973926
impurity_candidate,0.47123889803846897,0.15,-0.14,4.281868117850908e-08,3.1761930096134085e-08,1.1056751082374994e-08,2.035757088747311,2.1053402676906936,0.1396017349056724,0.1396785917387551,0.10384465721511259,0.034338335104812774
impurity_candidate,0.47123889803846897,0.15,-0.13,4.203790288748849e-08,3.074535340780658e-08,1.129254947968191e-08,2.041188173358597,2.102741971677996,0.13317494477477973,0.13323468957788726,0.09198678270873252,0.03049272919244087
impurity_candidate,0.47123889803846897,0.15,-0.12000000000000001,4.26636794099227e-08,3.059275913702985e-08,1.207092027289285e-08,2.0459719713678637,2.100346434980936,0.1276239243274745,0.12766912057274524,0.08165196503053104,0.027322697662729357
impurity_candidate,0.47123889803846897,0.15,-0.11000000000000001,4.4872612023113295e-08,3.132907648137102e-08,1.3543535541742275e-08,2.050215466543406,2.098117410126783,0.12282888300073615,0.12286104307331387,0.07261343000086569,0.024743646490066197
impurity_candidate,0.47123889803846897,0.15,-0.1,4.909685684843651e-08,3.3083469574487894e-08,1.6013387273948614e-08,2.0540063066210865,2.096024466553267,0.11869277397833414,0.11871243045669178,0.06468648337063472,0.022687979916812023
impurity_candidate,0.47123889803846897,0.15,-0.09000000000000001,5.619910822279505e-08,3.613422707931932e-08,2.0064881143475728e-08,2.0574169519197256,2.0940415457063484,0.11513679925579304,0.11514339977306716,0.05771986740094851,0.02110187413159981
impurity_candidate,0.47123889803846897,0.15,-0.08000000000000002,6.788024060421472e-08,4.10124932113261e-08,2.6867747392888617e-08,2.060507942570827,2.0921457705504016,0.11209703404273086,0.1120885648590341,0.051589118339650956,0.01994282117637952
impurity_candidate,0.47123889803846897,0.15,-0.07,8.770236454156176e-08,4.874619497510097e-08,3.8956169566460793e-08,2.0633305968265585,2.0903163452206512,0.10952198926293229,0.10949406224312361,0.046191431392543225,0.019177755978642012
impurity_candidate,0.47123889803846897,0.15,-0.06,1.2403012876677212e-07,6.150553426642144e-08,6.252459450035068e-08,2.065929542280571,2.0885332522781166,0.10737115634760264,0.10731480272295446,0.04144167659162636,0.018781612969432582
impurity_candidate,0.47123889803846897,0.15,-0.05000000000000002,2.00420886836642e-07,8.470242823068077e-08,1.1571845860596123e-07,2.0683460185076328,2.0867748888936166,0.10561523358841018,0.10551089602874812,0.037269330799236215,0.018736122853590335
impurity_candidate,0.47123889803846897,0.15,-0.04000000000000001,4.0660076231081425e-07,1.3661473402418107e-07,2.699860282866332e-07,2.0706258444808308,2.0850107650050367,0.10424189758694954,0.10403875891746876,0.033616323092146995,0.019028263898460428
impurity_candidate,0.47123889803846897,0.15,-0.03,1.370357763758685e-06,3.340428181291292e-07,1.0363149456295556e-06,2.07286146133675,2.083158373979151,0.10329795134095843,0.10280109788653691,0.03043752631915387,0.0196437602223314
impurity_candidate,0.47123889803846897,0.15,-0.020000000000000018,6.151371165188371e-05,1.1322903383549754e-05,5.0190808268333955e-05,2.07591959412111,2.079766462844834,0.10370850970177731,0.10008751412074623,0.027839106388935855,0.020371242084181382
impurity_candidate,0.47123889803846897,0.15,-0.010000000000000009,2.3914373222534197e-06,7.533388845339743e-07,1.6380984377194454e-06,2.0759555450270346,2.0803463638864534,0.10123525000034043,0.10241059312673538,0.02528134307174383,0.022065867338719576
