case,phi,phi_frac_pi,voltage,observable,abs_glr,gll_proxy,grr_proxy,glr_proxy
positive_control,0.4712388980384689,0.15,-0.2,0.004149618779141667,0.0083048003139715,1.910568508269339,2.055714953985868,0.0083048003139715
positive_control,0.4712388980384689,0.15,-0.19,0.0058551832646355495,0.0117153672523851,1.964192649967598,2.082414609885438,0.0117153672523851
positive_control,0.4712388980384689,0.15,-0.18,0.015399302630635126,0.0308128219148098,2.0090763680003554,2.134945694758866,0.0308128219148098
positive_control,0.4712388980384689,0.15,-0.17,0.029574324347618593,0.0592376669837958,1.906558160470729,2.127638160371246,0.0592376669837958
positive_control,0.4712388980384689,0.15,-0.16,0.012581334518819421,0.0251852932527711,1.9023899028713975,2.0707602778539096,0.0251852932527711
positive_control,0.4712388980384689,0.15,-0.15,0.009256135369234354,0.0185231600295125,1.9482863770620715,2.086619714705324,0.0185231600295125
positive_control,0.4712388980384689,0.15,-0.14,0.01406166959907156,0.0281375758252559,1.997974405590408,2.1292482397379127,0.0281375758252559
positive_control,0.4712388980384689,0.15,-0.13,0.03220354427332857,0.0644458796920642,2.032939213974865,2.179058132081825,0.0644458796920642
positive_control,0.4712388980384689,0.15,-0.12,0.021831863949976563,0.0436876109876492,1.9649403730274253,2.0993103410777096,0.0436876109876492
positive_control,0.4712388980384689,0.15,-0.11,0.014489173748606574,0.0289924045336977,1.9749759999636536,2.101915345344229,0.0289924045336977
positive_control,0.4712388980384689,0.15,-0.1,0.019811429862122813,0.039642149145349,2.0176914153773016,2.147615655568671,0.039642149145349
positive_control,0.4712388980384689,0.15,-0.09,0.027981873358016413,0.0559829196010616,2.036100748576324,2.145531558870106,0.0559829196010616
positive_control,0.4712388980384689,0.15,-0.08,0.019603872685276053,0.039219253212554,2.003150056865991,2.102604316047556,0.039219253212554
positive_control,0.4712388980384689,0.15,-0.07,0.01940182826865087,0.0388172457699459,2.0170668688464097,2.1267040422284884,0.0388172457699459
positive_control,0.4712388980384689,0.15,-0.06,0.020067147604547267,0.0401429874944634,2.0307524666456978,2.1170648785737773,0.0401429874944634
positive_control,0.4712388980384689,0.15,-0.05,0.016218923274831255,0.032443997153812,2.021911189833653,2.1022115902771144,0.032443997153812
positive_control,0.4712388980384689,0.15,-0.04,0.01246207913606393,0.0249284877746689,2.015588751600936,2.092142991102372,0.0249284877746689
positive_control,0.4712388980384689,0.15,-0.03,0.003393327599006193,0.0067877025436708,2.0237574027122003,2.096128821012197,0.0067877025436708
positive_control,0.4712388980384689,0.15,-0.02,0.00018751138053085882,0.0003750702187708,2.0233463135672296,2.088759091262339,0.0003750702187708
positive_control,0.4712388980384689,0.15,-0.01,2.2973927208577907e-05,4.595210590979996e-05,2.0241738067150945,2.0800013928007983,4.595210590979996e-05
positive_control,0.4712388980384689,0.15,0.0,6.25673154452551e-07,1.2514240104954076e-06,2.027055662052865,2.072741685435316,-1.2514240104954076e-06
positive_control,0.4712388980384689,0.15,0.0099999999999999,2.500858171961292e-05,5.001845805746976e-05,2.0292058681926672,2.058616879175604,-5.001845805746976e-05
positive_control,0.4712388980384689,0.15,0.0199999999999999,0.0001979649156824258,0.0003959300814523,2.0229194797985626,2.0183772167813325,-0.0003959300814523
positive_control,0.4712388980384689,0.15,0.03,0.003587733835713914,0.0071761300239372,1.9603807504292037,1.9078257469399724,-0.0071761300239372
positive_control,0.4712388980384689,0.15,0.0399999999999999,0.013291191423264395,0.0265824378547636,1.945308762590049,1.937409853510236,-0.0265824378547636
positive_control,0.4712388980384689,0.15,0.0499999999999999,0.017408656975534766,0.0348184077953483,1.939113186658984,1.9086139376284723,-0.0348184077953483
positive_control,0.4712388980384689,0.15,0.06,0.021545389934657266,0.0430908859515442,1.9124618102947064,1.9039933689892488,-0.0430908859515442
positive_control,0.4712388980384689,0.15,0.07,0.020683714399837582,0.0413701146516645,1.9034884172800643,1.8605975178378769,-0.0413701146516645
positive_control,0.4712388980384689,0.15,0.08,0.020590615921882938,0.0411814215011638,1.956794961005912,1.94495342683781,-0.0411814215011638
positive_control,0.4712388980384689,0.15,0.0899999999999999,0.02873618148354601,0.0574750924423265,1.909502386160273,1.8726430251277244,-0.0574750924423265
positive_control,0.4712388980384689,0.15,0.0999999999999999,0.019750621990376745,0.0395061984764339,1.870877627508588,1.812543876141819,-0.0395061984764339
positive_control,0.4712388980384689,0.15,0.1099999999999999,0.01393164202214876,0.0278635770430465,1.941829319201004,1.924100400283785,-0.0278635770430465
positive_control,0.4712388980384689,0.15,0.12,0.020127984974437907,0.0402560924983976,1.9925342031491835,1.9827253070032016,-0.0402560924983976
positive_control,0.4712388980384689,0.15,0.13,0.028308091324410378,0.0566366413141962,1.891903358589788,1.7928711211190864,-0.0566366413141962
positive_control,0.4712388980384689,0.15,0.14,0.011731586741198277,0.0234662785354597,1.8837574289360748,1.8234514885394344,-0.0234662785354597
positive_control,0.4712388980384689,0.15,0.15,0.007294029443205881,0.0145881849741016,1.9416324950791404,1.92555401897121,-0.0145881849741016
positive_control,0.4712388980384689,0.15,0.1599999999999999,0.00932101223775713,0.0186420244903418,2.000534122097037,2.000693683568964,-0.0186420244903418
positive_control,0.4712388980384689,0.15,0.1699999999999999,0.020509459317275765,0.0410276099213053,2.0224554209906858,1.9408804726943176,-0.0410276099213053
positive_control,0.4712388980384689,0.15,0.18,0.009941790208022088,0.0198916975327544,1.8963855889201324,1.7910535429532868,-0.0198916975327544
positive_control,0.4712388980384689,0.15,0.19,0.0035139489366551114,0.0070282605874275,1.9209929370548309,1.8823532542022183,-0.0070282605874275
positive_control,0.4712388980384689,0.15,0.2,0.002310164945136097,0.0046203387008167,1.9577462842965647,1.9501146363367716,-0.0046203387008167
positive_control,0.5969026041820606,0.1899999999999999,-0.2,0.009192513605384393,0.0184042106986722,1.931726485750561,2.1165142968623063,0.0184042106986722
positive_control,0.5969026041820606,0.1899999999999999,-0.19,0.010554746172618933,0.021189294159771,1.7259955463768475,2.053723400967119,0.021189294159771
positive_control,0.5969026041820606,0.1899999999999999,-0.18,0.004236154459232485,0.0084824849587764,1.863657902547489,2.0555749878914296,0.0084824849587764
positive_control,0.5969026041820606,0.1899999999999999,-0.17,0.0037977685091786615,0.007600587390495,1.928455705764568,2.074352494971,0.007600587390495
positive_control,0.5969026041820606,0.1899999999999999,-0.16,0.007180475577010741,0.0143681618966268,1.976946638035312,2.106293167110977,0.0143681618966268
positive_control,0.5969026041820606,0.1899999999999999,-0.15,0.027651936388471625,0.0553755977444953,1.9571453807843124,2.1669825496278987,0.0553755977444953
positive_control,0.5969026041820606,0.1899999999999999,-0.14,0.013418448323724094,0.0268722643448169,1.873614968147005,2.076196416183082,0.0268722643448169
positive_control,0.5969026041820606,0.1899999999999999,-0.13,0.006544961219334275,0.0130995181849797,1.9274816628083355,2.080877581821756,0.0130995181849797
positive_control,0.5969026041820606,0.1899999999999999,-0.12,0.008177944719686588,0.0163655578379799,1.9693203545338416,2.109504122529284,0.0163655578379799
positive_control,0.5969026041820606,0.1899999999999999,-0.11,0.0242114713734811,0.0484592212989677,2.006092997024036,2.1675611644327994,0.0484592212989677
positive_control,0.5969026041820606,0.1899999999999999,-0.1,0.016605812703641386,0.033234753092129,1.938794362235924,2.089032458198906,0.033234753092129
positive_control,0.5969026041820606,0.1899999999999999,-0.09,0.008028794510031528,0.0160659056372673,1.9567327043887108,2.086822401639913,0.0160659056372673
positive_control,0.5969026041820606,0.1899999999999999,-0.08,0.011123086907786517,0.0222574613718541,1.9874475596338208,2.1181856779519204,0.0222574613718541
positive_control,0.5969026041820606,0.1899999999999999,-0.07,0.022172915473113973,0.0443662038376662,1.9996722097605029,2.124645572609792,0.0443662038376662
positive_control,0.5969026041820606,0.1899999999999999,-0.06,0.008658300498131112,0.0173218145859916,1.9729697542213172,2.072210947217924,0.0173218145859916
positive_control,0.5969026041820606,0.1899999999999999,-0.05,0.0072985706312039085,0.0146013430092999,1.9835900669527324,2.0810955997817224,0.0146013430092999
positive_control,0.5969026041820606,0.1899999999999999,-0.04,0.012517611659265728,0.0250413015289037,1.9960484884790428,2.085982582309393,0.0250413015289037
positive_control,0.5969026041820606,0.1899999999999999,-0.03,0.0025185881018154658,0.0050377270956576,1.9823562088617837,2.0418677491880404,0.0050377270956576
positive_control,0.5969026041820606,0.1899999999999999,-0.02,0.0006926037205834681,0.001385303299882,1.975004902176786,2.0220255171254067,0.001385303299882
positive_control,0.5969026041820606,0.1899999999999999,-0.01,0.00025707427456865317,0.0005141736881666,1.9564497400702132,1.9955287532493475,0.0005141736881666
positive_control,0.5969026041820606,0.1899999999999999,0.0,5.038013011545851e-06,1.0076499596204172e-05,1.9322399719548544,1.970072961442743,-1.0076499596204172e-05
positive_control,0.5969026041820606,0.1899999999999999,0.0099999999999999,0.0002657522101048843,0.0005315264203155,1.925202559649472,1.960556376903112,-0.0005315264203155
positive_control,0.5969026041820606,0.1899999999999999,0.0199999999999999,0.0006972991436851898,0.0013946495548324,1.942782841265957,1.9763870331703903,-0.0013946495548324
positive_control,0.5969026041820606,0.1899999999999999,0.03,0.0025043084484130704,0.0050088960569667,1.9760724145938628,2.01824274156106,-0.0050088960569667
positive_control,0.5969026041820606,0.1899999999999999,0.0399999999999999,0.012321036423557358,0.0246421225840994,1.952453756066029,1.9603151510866843,-0.0246421225840994
positive_control,0.5969026041820606,0.1899999999999999,0.0499999999999999,0.007092955387124989,0.0141859108982752,1.9396076004088725,1.9390947137067895,-0.0141859108982752
positive_control,0.5969026041820606,0.1899999999999999,0.06,0.008263664906851263,0.0165276806062819,1.9811340700401856,2.0071185839412444,-0.0165276806062819
positive_control,0.5969026041820606,0.1899999999999999,0.07,0.020647084873900018,0.0412952461191793,1.9500937555417688,1.9221358707885456,-0.0412952461191793
positive_control,0.5969026041820606,0.1899999999999999,0.08,0.010029460984299188,0.020059921949515,1.9162484521194396,1.878359919887277,-0.020059921949515
positive_control,0.5969026041820606,0.1899999999999999,0.0899999999999999,0.0069562513316497295,0.0139125145873517,1.9626318211274096,1.9677777261361051,-0.0139125145873517
positive_control,0.5969026041820606,0.1899999999999999,0.0999999999999999,0.013721566870123667,0.0274432352926361,2.0041396900750352,2.0150737908690872,-0.0274432352926361
positive_control,0.5969026041820606,0.1899999999999999,0.1099999999999999,0.01894092860624969,0.0378974437800413,1.913272530608028,1.8065961597259368,-0.0378974437800413
positive_control,0.5969026041820606,0.1899999999999999,0.12,0.006028514001994262,0.0120576341835432,1.928154483476581,1.889870432415796,-0.0120576341835432
positive_control,0.5969026041820606,0.1899999999999999,0.13,0.004530612666963056,0.0090612262190525,1.9667585672214376,1.968497955855074,-0.0090612262190525
positive_control,0.5969026041820606,0.1899999999999999,0.14,0.008708841110142246,0.0174177415110041,2.017415700793472,2.0279710376831788,-0.0174177415110041
positive_control,0.5969026041820606,0.1899999999999999,0.15,0.016782072664287967,0.0335885163298511,1.969514926513168,1.824993255428513,-0.0335885163298511
positive_control,0.5969026041820606,0.1899999999999999,0.1599999999999999,0.0040700799818164084,0.0081412677887133,1.9300937580617024,1.867447902311104,-0.0081412677887133
positive_control,0.5969026041820606,0.1899999999999999,0.1699999999999999,0.0020051741279072445,0.0040103784032628,1.954944623567357,1.9398427603645896,-0.0040103784032628
positive_control,0.5969026041820606,0.1899999999999999,0.18,0.002073075127985649,0.0041461630411782,1.9868987695034763,1.996791836248259,-0.0041461630411782
positive_control,0.5969026041820606,0.1899999999999999,0.19,0.0047598253408916635,0.0095196780022013,2.057803719994536,2.047967189982056,-0.0095196780022013
positive_control,0.5969026041820606,0.1899999999999999,0.2,0.0037515547636449314,0.007508735851452,1.9847573962929597,1.8368438466692016,-0.007508735851452
positive_control,0.7225663103256524,0.23,-0.2,0.00021179478885699032,0.000423755395076,1.9565933308573988,2.0692046021489747,0.000423755395076
positive_control,0.7225663103256524,0.23,-0.19,0.004541267168284993,0.0090924944691019,1.91727118346399,2.105511952217427,0.0090924944691019
positive_control,0.7225663103256524,0.23,-0.18,0.003696766928838897,0.0074153590899044,1.7525062938210387,2.04353764640982,0.0074153590899044
positive_control,0.7225663103256524,0.23,-0.17,0.0015270053955278526,0.0030570212392981,1.8851731509084493,2.06022438436886,0.0030570212392981
positive_control,0.7225663103256524,0.23,-0.16,0.0019254901614907706,0.0038532496065376,1.9407714270139425,2.078698868932053,0.0038532496065376
positive_control,0.7225663103256524,0.23,-0.15,0.009476276429587125,0.0189648743722768,1.9764136391584424,2.124205640981355,0.0189648743722768
positive_control,0.7225663103256524,0.23,-0.14,0.006694849943478483,0.0134117565552087,1.8398732262719992,2.0636528702118744,0.0134117565552087
positive_control,0.7225663103256524,0.23,-0.13,0.0021654709988817656,0.0043342491261518,1.9187953376813167,2.0747727920651906,0.0043342491261518
positive_control,0.7225663103256524,0.23,-0.12,0.003953924617135374,0.007912366178799,1.9627848976331876,2.100047132129068,0.007912366178799
positive_control,0.7225663103256524,0.23,-0.11,0.009395505517089115,0.0188120658458287,1.8869511753061947,2.07431462136292,0.0188120658458287
positive_control,0.7225663103256524,0.23,-0.1,0.0013993376078402391,0.002800367780938,1.938031185831022,2.077626627807353,0.002800367780938
positive_control,0.7225663103256524,0.23,-0.09,0.00750053583920501,0.0150099618185644,1.9535478989363264,2.09279224825968,0.0150099618185644
positive_control,0.7225663103256524,0.23,-0.08,6.958297864608511e-05,0.000139232273531,1.9529328055927508,2.077308144017795,0.000139232273531
positive_control,0.7225663103256524,0.23,-0.07,7.915377367017293e-06,1.5837415415966597e-05,1.9650302931558157,2.082402750420231,1.5837415415966597e-05
positive_control,0.7225663103256524,0.23,-0.06,2.163201343974163e-06,4.327999227973087e-06,1.9726137765049836,2.0827554476693115,4.327999227973087e-06
positive_control,0.7225663103256524,0.23,-0.05,9.223604618452018e-07,1.8452962712700583e-06,1.977487609039815,2.078771152761361,1.8452962712700583e-06
positive_control,0.7225663103256524,0.23,-0.04,4.851482803577495e-07,9.705364970826238e-07,1.9794032901126204,2.069427620108586,9.705364970826238e-07
positive_control,0.7225663103256524,0.23,-0.03,2.4316512360180237e-07,4.864171581786451e-07,1.9773145192331223,2.0535087738440203,4.864171581786451e-07
positive_control,0.7225663103256524,0.23,-0.02,3.892485519469639e-08,7.785864237422533e-08,1.9699429308764211,2.0305377217428706,7.785864237422533e-08
positive_control,0.7225663103256524,0.23,-0.01,1.6753603092864108e-07,3.3509355355558605e-07,1.9571025946893663,2.001941051177877,-3.3509355355558605e-07
positive_control,0.7225663103256524,0.23,0.0,3.539472655020789e-07,7.079155462003003e-07,1.9415248515871075,1.9716771231473749,-7.079155462003003e-07
positive_control,0.7225663103256524,0.23,0.0099999999999999,4.775331669382231e-07,9.550752132586309e-07,1.9284444948149533,1.9451477251403624,-9.550752132586309e-07
positive_control,0.7225663103256524,0.23,0.0199999999999999,5.332898532085526e-07,1.0665805835856577e-06,1.9217293705207985,1.9266649607539277,-1.0665805835856577e-06
positive_control,0.7225663103256524,0.23,0.03,5.670027086546144e-07,1.1340059657360598e-06,1.921448827002216,1.9176731188910008,-1.1340059657360598e-06
positive_control,0.7225663103256524,0.23,0.0399999999999999,6.536527685314884e-07,1.3073086554508323e-06,1.9254978834387328,1.9171049031056533,-1.3073086554508323e-06
positive_control,0.7225663103256524,0.23,0.0499999999999999,9.304795552913531e-07,1.8609640972219056e-06,1.9318435824866769,1.9229198325797263,-1.8609640972219056e-06
positive_control,0.7225663103256524,0.23,0.06,1.8683700723621818e-06,3.7367444841106913e-06,1.9393504525157104,1.9334483436596457,-3.7367444841106913e-06
positive_control,0.7225663103256524,0.23,0.07,6.283633470607178e-06,1.2567267053277395e-05,1.947887173505929,1.9484074944627785,-1.2567267053277395e-05
