case,phi,phi_frac_pi,voltage,observable,abs_glr,gll_proxy,grr_proxy,glr_proxy
dot_candidate,0.4712388980384689,0.15,-0.2,1.339358019273682e-08,2.6808392604280306e-08,1.9656204286756047,2.1285333160583573,2.6808392604280306e-08
dot_candidate,0.4712388980384689,0.15,-0.19,1.0184089367675503e-08,2.038375267218315e-08,1.963582581967768,2.123311115008553,2.038375267218315e-08
dot_candidate,0.4712388980384689,0.15,-0.18,7.938231093051687e-09,1.588828692976253e-08,1.9614021210691472,2.118790315933579,1.588828692976253e-08
dot_candidate,0.4712388980384689,0.15,-0.17,6.3341309834010025e-09,1.2677533840100908e-08,1.9590509382041077,2.1148304400458526,1.2677533840100908e-08
dot_candidate,0.4712388980384689,0.15,-0.16,5.1675602231987815e-09,1.0342614718805304e-08,1.9564956729493623,2.111322942378403,1.0342614718805304e-08
dot_candidate,0.4712388980384689,0.15,-0.15,4.305915325756724e-09,8.618066076152271e-09,1.9536961288196104,2.1081829826805096,8.618066076152271e-09
dot_candidate,0.4712388980384689,0.15,-0.14,3.661248617818949e-09,7.327832126673136e-09,1.9506032236033772,2.105343438065851,7.327832126673136e-09
dot_candidate,0.4712388980384689,0.15,-0.13,3.174058528637102e-09,6.352807272792101e-09,1.947156318527088,2.102750523213052,6.352807272792101e-09
dot_candidate,0.4712388980384689,0.15,-0.12,2.8032941558574783e-09,5.610823393289361e-09,1.9432797490468088,2.1003605612071734,5.610823393289361e-09
dot_candidate,0.4712388980384689,0.15,-0.11,2.520003515108499e-09,5.043933447061032e-09,1.9388784053688968,2.098137579854674,5.043933447061032e-09
dot_candidate,0.4712388980384689,0.15,-0.1,2.3031048426923104e-09,4.609946149634609e-09,1.933832397190362,2.096051502766901,4.609946149634609e-09
dot_candidate,0.4712388980384689,0.15,-0.09,2.136292222092354e-09,4.276231814164984e-09,1.927991507705384,2.09407677113846,4.276231814164984e-09
dot_candidate,0.4712388980384689,0.15,-0.08,2.0052679357255375e-09,4.014182036961388e-09,1.921172220812934,2.0921912788387,4.014182036961388e-09
dot_candidate,0.4712388980384689,0.15,-0.07,1.894304572403994e-09,3.7923259736417515e-09,1.9131662891642836,2.0903755361048217,3.7923259736417515e-09
dot_candidate,0.4712388980384689,0.15,-0.06,1.780279554193529e-09,3.564380616510555e-09,1.903788162941297,2.088611999999517,3.564380616510555e-09
dot_candidate,0.4712388980384689,0.15,-0.05,1.6198265345751364e-09,3.243502376717869e-09,1.893043575596512,2.0868845258146145,3.243502376717869e-09
dot_candidate,0.4712388980384689,0.15,-0.04,1.318379965741379e-09,2.6402368458753427e-09,1.8816647439060372,2.085177904758698,2.6402368458753427e-09
dot_candidate,0.4712388980384689,0.15,-0.03,6.517015037449695e-10,1.3052569711370247e-09,1.872693125249548,2.08347746075419,1.3052569711370247e-09
dot_candidate,0.4712388980384689,0.15,-0.02,9.371605262660387e-10,1.8768750787310452e-09,1.875398661359637,2.0817686824266937,-1.8768750787310452e-09
dot_candidate,0.4712388980384689,0.15,-0.01,5.127200362864273e-09,1.0263805518846458e-08,1.9092964709965532,2.0800368449561857,-1.0263805518846458e-08
dot_candidate,0.4712388980384689,0.15,0.0,4.2848197889596195e-08,8.57185261593096e-08,1.9859190774952051,2.078264934713431,-8.57185261593096e-08
dot_candidate,0.4712388980384689,0.15,0.0099999999999999,1.595884805209858e-09,3.1917864902539193e-09,2.062980797153039,2.076443166312219,-3.1917864902539193e-09
dot_candidate,0.4712388980384689,0.15,0.0199999999999999,3.5896681109113596e-09,7.179442393376662e-09,2.097235364422126,2.074547489833548,-7.179442393376662e-09
dot_candidate,0.4712388980384689,0.15,0.03,3.7420822999534085e-09,7.484329024052154e-09,2.100220965324195,2.072561440840908,-7.484329024052154e-09
dot_candidate,0.4712388980384689,0.15,0.0399999999999999,3.482962904789103e-09,6.966014065696374e-09,2.0914139148573487,2.0704639553839588,-6.966014065696374e-09
dot_candidate,0.4712388980384689,0.15,0.0499999999999999,3.195331808257047e-09,6.390689829172322e-09,2.080112815495164,2.068231323495829,-6.390689829172322e-09
dot_candidate,0.4712388980384689,0.15,0.06,2.9710234955980763e-09,5.942049181433564e-09,2.06938702503376,2.0658365106072147,-5.942049181433564e-09
dot_candidate,0.4712388980384689,0.15,0.07,2.8236006452079502e-09,5.647203057551037e-09,2.0599864523388285,2.063248355338556,-5.647203057551037e-09
dot_candidate,0.4712388980384689,0.15,0.08,2.7490174152309156e-09,5.498046584500537e-09,2.0519271405146617,2.06043058690082,-5.498046584500537e-09
dot_candidate,0.4712388980384689,0.15,0.0899999999999999,2.74212695446013e-09,5.484278604344896e-09,2.0450294771391406,2.0573406046076808,-5.484278604344896e-09
dot_candidate,0.4712388980384689,0.15,0.0999999999999999,2.8009869092255054e-09,5.602010636084728e-09,2.0390886343213768,2.0539279458396518,-5.602010636084728e-09
dot_candidate,0.4712388980384689,0.15,0.1099999999999999,2.9280258564870128e-09,5.856097836863981e-09,2.03392303360575,2.05013234479579,-5.856097836863981e-09
dot_candidate,0.4712388980384689,0.15,0.12,3.130683670713315e-09,6.261418649192021e-09,2.0293834862329136,2.0458812510085296,-6.261418649192021e-09
dot_candidate,0.4712388980384689,0.15,0.13,3.4223579887486103e-09,6.844767227734007e-09,2.025350540065013,2.0410866304214825,-6.844767227734007e-09
dot_candidate,0.4712388980384689,0.15,0.14,3.82404500626678e-09,7.648134969563707e-09,2.021729114600918,2.035640807794699,-7.648134969563707e-09
dot_candidate,0.4712388980384689,0.15,0.15,4.367042344096782e-09,8.734116749065674e-09,2.018443268234171,2.02941102031231,-8.734116749065674e-09
