epsilon,route,eta,n_bar,ratio_to_lb
0.01,lower-bound,,0.8072315401804255,1.0
0.01,homodyne,0.99,1.3666400078420056,1.6929962963743288
0.01,on-off,0.99,0.98788459733034,1.22379335811078
0.01,homodyne,0.7,1.9328194396622647,2.394380476300836
0.01,on-off,0.7,1.397151073367195,1.7307934636138174
0.01,homodyne,0.5,2.7059472155271704,3.3521326668211704
0.01,on-off,0.5,1.956011502714073,2.423110849059344
0.01014587034612,lower-bound,,0.8036479620275722,1.0
0.01014587034612,homodyne,0.99,1.360257544925787,1.6926037384502424
0.01014587034612,on-off,0.99,0.9842276106506593,1.224699939719242
0.01014587034612,homodyne,0.7,1.9237928135378985,2.393825287236771
0.01014587034612,on-off,0.7,1.3919790493487898,1.7320756290314996
0.01014587034612,homodyne,0.5,2.6933099389530577,3.351355402131479
0.01014587034612,on-off,0.5,1.9487706690883055,2.4249058806440993
0.010293868508027717,lower-bound,,0.8000649267900535,1.0
0.010293868508027717,homodyne,0.99,1.3538782593051808,1.6922104868877155
0.010293868508027717,on-off,0.99,0.9805706239709788,1.2256138110004817
0.010293868508027717,homodyne,0.7,1.9147706810173273,2.393269117169769
0.010293868508027717,on-off,0.7,1.3868070253303844,1.7333681041292528
0.010293868508027717,homodyne,0.5,2.680678953424258,3.350576764037677
0.010293868508027717,on-off,0.5,1.941529835462538,2.426715345780954
0.010444025524245693,lower-bound,,0.7964824425521566,1.0
0.010444025524245693,homodyne,0.99,1.3475021721124443,1.69181654248983
0.010444025524245693,on-off,0.99,0.9769136372912983,1.2265350560157846
0.010444025524245693,homodyne,0.7,1.9057530719876001,2.392711967235617
0.010444025524245693,on-off,0.7,1.3816350013119791,1.7346710077937526
0.010444025524245693,homodyne,0.5,2.6680543007826403,3.3497967541298643
0.010444025524245693,on-off,0.5,1.9342890018367707,2.4285394109112532
0.010596372886056476,lower-bound,,0.7929005175210124,1.0
0.010596372886056476,homodyne,0.99,1.341129304688319,1.6914219060940114
0.010596372886056476,on-off,0.99,0.9732566506116178,1.2274637600874385
0.010596372886056476,homodyne,0.7,1.8967400166306225,2.392153838618673
0.010596372886056476,on-off,0.7,1.376462977293574,1.7359844606950918
0.010596372886056476,homodyne,0.5,2.6554360232828715,3.3490153740661426
0.010596372886056476,on-off,0.5,1.9270481682110032,2.430378244973128
0.01075094254410704,lower-bound,,0.7893191600285366,1.0
0.01075094254410704,homodyne,0.99,1.3347596785847564,1.6910265785724754
0.01075094254410704,on-off,0.99,0.9695996639319373,1.228400009822241
0.01075094254410704,homodyne,0.7,1.8877315454270125,2.3915947325525004
0.01075094254410704,on-off,0.7,1.3712909532751685,1.7373085853200263
0.01075094254410704,homodyne,0.5,2.642824163597817,3.3482326255735004
0.01075094254410704,on-off,0.5,1.9198073345852358,2.432232019448037
0.010907766915109553,lower-bound,,0.7857383785334013,1.0
0.010907766915109553,homodyne,0.99,1.328393315567693,1.6906305608326904
0.010907766915109553,on-off,0.99,0.9659426772522568,1.2293438931355383
0.010907766915109553,homodyne,0.7,1.8787276891600233,2.3910346503205195
0.010907766915109553,on-off,0.7,1.3661189292567633,1.7386435060059755
0.010907766915109553,homodyne,0.5,2.6302187648240327,3.3474485104487277
0.010907766915109553,on-off,0.5,1.9125665009594683,2.4341009084083653
0.011066878888639884,lower-bound,,0.7821581816230421,1.0
0.011066878888639884,homodyne,0.99,1.3220302376198685,1.69023385381784
0.011066878888639884,on-off,0.99,0.9622856905725762,1.2302954992758048
0.011066878888639884,homodyne,0.7,1.8697284789195283,2.3904735932566594
0.011066878888639884,on-off,0.7,1.3609469052383578,1.7399893489757812
0.011066878888639884,homodyne,0.5,2.6176198704873395,3.346663030559323
0.011066878888639884,on-off,0.5,1.905325667333701,2.4359850885660936
0.011228311834035287,lower-bound,,0.7785785780156976,1.0
0.011228311834035287,homodyne,0.99,1.3156704669436876,1.6898364585072891
0.011228311834035287,on-off,0.99,0.9586287038928957,1.231254918849781
0.011228311834035287,homodyne,0.7,1.8607339461060723,2.3899115627460232
0.011228311834035287,on-off,0.7,1.3557748812199526,1.741346242373262
0.011228311834035287,homodyne,0.5,2.6050275245485013,3.345876187844432
0.011228311834035287,on-off,0.5,1.8980848337079335,2.437884739322566
0.011392099607392688,lower-bound,,0.7749995765624847,1.0
0.011392099607392688,homodyne,0.99,1.3093140259641327,1.689438375917059
0.011392099607392688,on-off,0.99,0.9549717172132152,1.2322222438481811
0.011392099607392688,homodyne,0.7,1.851744122434988,2.3893485602255553
0.011392099607392688,on-off,0.7,1.3506028572015472,1.7427143162995704
0.011392099607392688,homodyne,0.5,2.592441771408983,3.3450879843157773
0.011392099607392688,on-off,0.5,1.890844000082166,2.4398000428193987
0.011558276558669077,lower-bound,,0.7714211862495088,1.0
0.011558276558669077,homodyne,0.99,1.3029609373317244,1.6890396071003086
0.011558276558669077,on-off,0.99,0.9513147305335347,1.2331975676719888
0.011558276558669077,homodyne,0.7,1.8427590399405815,2.388784587184722
0.011558276558669077,on-off,0.7,1.345430833183142,1.7440937028503845
0.011558276558669077,homodyne,0.5,2.5798626559168145,3.3442984220586114
0.011558276558669077,on-off,0.5,1.8836031664563986,2.4417311839905382
0.01172687753888545,lower-bound,,0.7678434162000101,1.0
0.01172687753888545,homodyne,0.99,1.2966112239255287,1.688640153147818
0.01172687753888545,on-off,0.99,0.9476577438538542,1.2341809851593564
0.01172687753888545,homodyne,0.7,1.8337787309803906,2.3882196451661994
0.01172687753888545,on-off,0.7,1.3402588091647367,1.745484536153947
0.01172687753888545,homodyne,0.5,2.567290223372547,3.3435075032326798
0.01172687753888545,on-off,0.5,1.8763623328306311,2.4436783506155257
0.011897937907435858,lower-bound,,0.7642662756765461,1.0
0.011897937907435858,homodyne,0.99,1.2902649088562166,1.6882400151884818
0.011897937907435858,on-off,0.99,0.9440007571741736,1.235172592613121
0.011897937907435858,homodyne,0.7,1.8248032282395061,2.3876537357665666
0.011897937907435858,on-off,0.7,1.3350867851463313,1.7468869524099853
0.011897937907435858,homodyne,0.5,2.5547245195353083,3.342715230073193
0.011897937907435858,on-off,0.5,1.8691214992048637,2.445641733373979
0.01207149353950305,lower-bound,,0.760689774083213,1.0
0.01207149353950305,homodyne,0.99,1.2839220154691722,1.687839194389804
0.01207149353950305,on-off,0.99,0.940343770494493,1.2361724878289575
0.01207149353950305,homodyne,0.7,1.815832564734972,2.3870868606370084
0.01207149353950305,on-off,0.7,1.329914761127926,1.7483010899295257
0.01207149353950305,homodyne,0.5,2.5421655906289606,3.3419216048918114
0.01207149353950305,on-off,0.5,1.8618806655790963,2.4476215259013356
0.012247580833582317,lower-bound,,0.7571139209679035,1.0
0.012247580833582317,homodyne,0.99,1.2775825673476566,1.687437691958404
0.012247580833582317,on-off,0.99,0.9366867838148125,1.2371807701241855
0.012247580833582317,homodyne,0.7,1.8068667738202575,2.386519021484029
0.012247580833582317,on-off,0.7,1.3247427371095206,1.7497270891756338
0.012247580833582317,homodyne,0.5,2.52961348334836,3.3411266300776394
0.012247580833582317,on-off,0.5,1.8546398319533288,2.449617924845887
0.012426236719115049,lower-bound,,0.7535387260246045,1.0
0.012426236719115049,homodyne,0.99,1.271246588316023,1.6870355091405276
0.012426236719115049,on-off,0.99,0.933029797135132,1.2381975403672443
0.012426236719115049,homodyne,0.7,1.797905889189804,2.3859502200701748
0.012426236719115049,on-off,0.7,1.3195707130911154,1.7511650928051028
0.012426236719115049,homodyne,0.5,2.517068244865725,3.3403303080982436
0.012426236719115049,on-off,0.5,1.8473989983275614,2.4516311299271436
0.012607498664233685,lower-bound,,0.7499641990957342,1.0
0.012607498664233685,homodyne,0.99,1.2649141024429826,1.6866326472225566
0.012607498664233685,on-off,0.99,0.9293728104554515,1.2392229010078593
0.012607498664233685,homodyne,0.7,1.788949944883647,2.3853804582147586
0.012607498664233685,on-off,0.7,1.31439868907271,1.7526152457111153
0.012607498664233685,homodyne,0.5,2.504529922837106,3.3395326415006625
0.012607498664233685,on-off,0.5,1.840158164701794,2.4536613439955612
0.012791404683619606,lower-bound,,0.7463903501745197,1.0
0.012791404683619606,homodyne,0.99,1.2585851340449334,1.6862291075315392
0.012791404683619606,on-off,0.99,0.925715823775771,1.2402569561079155
0.012791404683619606,homodyne,0.7,1.77999897529212,2.384809737794605
0.012791404683619606,on-off,0.7,1.3092266650543047,1.7540776950669092
0.012791404683619606,homodyne,0.5,2.4919985654089682,3.3387336329124477
0.012791404683619606,on-off,0.5,1.8329173310760265,2.4557087730936726
0.012977993346475664,lower-bound,,0.7428171894074155,1.0
0.012977993346475664,homodyne,0.99,1.2522597076893374,1.6858248914357126
0.012977993346475664,on-off,0.99,0.9220588370960905,1.2412998113730587
0.012977993346475664,homodyne,0.7,1.7710530151606343,2.3842380607447935
0.012977993346475664,on-off,0.7,1.3040546410358995,1.755552590370469
0.012977993346475664,homodyne,0.5,2.479474221224888,3.337933285042711
0.012977993346475664,on-off,0.5,1.825676497450259,2.457773626518656
0.01316730378461501,lower-bound,,0.7392447270965639,1.0
0.01316730378461501,homodyne,0.99,1.2459378481981602,1.6854200003450408
0.01316730378461501,on-off,0.99,0.9184018504164099,1.2423515741850446
0.01316730378461501,homodyne,0.7,1.7621120995945412,2.3836654290594153
0.01316730378461501,on-off,0.7,1.298882617017494,1.7570400834902777
0.01316730378461501,homodyne,0.5,2.4669569394323574,3.337131600683181
0.01316730378461501,on-off,0.5,1.8184356638244916,2.4598561168863884
0.013359375700667907,lower-bound,,0.7356729737022992,1.0
0.013359375700667907,homodyne,0.99,1.2396195806513703,1.6850144357117576
0.013359375700667907,on-off,0.99,0.9147448637367295,1.243412353634856
0.013359375700667907,homodyne,0.7,1.7531762640640807,2.3830918447923426
0.013359375700667907,on-off,0.7,1.2937105929990889,1.7585403287121537
0.013359375700667907,homodyne,0.5,2.4544467696897128,3.336328582709279
0.013359375700667907,on-off,0.5,1.8111948301987244,2.461956460197015
0.013554249376408261,lower-bound,,0.7321019398456943,1.0
0.013554249376408261,homodyne,0.99,1.2333049303904922,1.684608199030912
0.013554249376408261,on-off,0.99,0.911087877057049,1.2444822605566102
0.013554249376408261,homodyne,0.7,1.7442455444094103,2.382517310058004
0.013554249376408261,on-off,0.7,1.2885385689806836,1.7600534827872059
0.013554249376408261,homodyne,0.5,2.4419437621731745,3.335524234081206
0.013554249376408261,on-off,0.5,1.803953996572957,2.464074875902088
0.013751965681201609,lower-bound,,0.7285316363111523,1.0
0.013751965681201609,homodyne,0.99,1.2269939230222278,1.684201291840928
0.013751965681201609,on-off,0.99,0.9074308903773683,1.2455614075622778
0.013751965681201609,homodyne,0.7,1.7353199768457221,2.3819418270321697
0.013751965681201609,on-off,0.7,1.2833665449622782,1.761579704980936
0.013751965681201609,homodyne,0.5,2.429447967584011,3.3347185578450373
0.013751965681201609,on-off,0.5,1.7967131629471893,2.4662115869733103
0.013952566080576332,lower-bound,,0.7249620740490437,1.0
0.013952566080576332,homodyne,0.99,1.2206865844221348,1.6837937157241627
0.013952566080576332,on-off,0.99,0.9037739036976878,1.2466499090772403
0.013952566080576332,homodyne,0.7,1.7263995979684479,2.3813653979527443
0.013952566080576332,on-off,0.7,1.2781945209438728,1.7631191571235254
0.013952566080576332,homodyne,0.5,2.4169594371558274,3.3339115571338427
0.013952566080576332,on-off,0.5,1.7894723293214219,2.468366819972936
0.014156092644919915,lower-bound,,0.7213932641783901,1.0
0.014156092644919915,homodyne,0.99,1.214382940738374,1.68338547230748
0.014156092644919915,on-off,0.99,0.9001169170180074,1.247747881376699
0.014156092644919915,homodyne,0.7,1.7174844447585578,2.3807880251205793
0.014156092644919915,on-off,0.7,1.2730224969254678,1.7646720036613313
0.014156092644919915,homodyne,0.5,2.4044782226619805,3.3331032351688106
0.014156092644919915,on-off,0.5,1.7822314956956546,2.4705408051258635
0.014362588058302041,lower-bound,,0.717825217989594,1.0
0.014362588058302041,homodyne,0.99,1.2080830183955165,1.6829765632628269
0.014362588058302041,on-off,0.99,0.8964599303383267,1.2488554426229734
0.014362588058302041,homodyne,0.7,1.7085745545879445,2.3802097109002833
0.014362588058302041,on-off,0.7,1.2678504729070623,1.7662384117096341
0.014362588058302041,homodyne,0.5,2.392004376423122,3.3322935952603965
0.014362588058302041,on-off,0.5,1.774990662069887,2.472733776393487
0.01457209562742639,lower-bound,,0.7142579469472179,1.0
0.01457209562742639,homodyne,0.99,1.201786844098418,1.682566990307813
0.01457209562742639,on-off,0.99,0.8928029436586462,1.2499727129037073
0.01457209562742639,homodyne,0.7,1.6996699652249059,2.3796304577210505
0.01457209562742639,on-off,0.7,1.2626784488886569,1.767818551106672
0.01457209562742639,homodyne,0.5,2.379537951314868,3.33148264080947
0.01457209562742639,on-off,0.5,1.7677498284441195,2.4749459715493405
0.014784659290713032,lower-bound,,0.7106914626928127,1.0
0.014784659290713032,homodyne,0.99,1.195494444836168,1.6821567552063097
0.014784659290713032,on-off,0.99,0.8891459569789658,1.2510998142710035
0.014784659290713032,homodyne,0.7,1.690770714839723,2.379050268077495
0.014784659290713032,on-off,0.7,1.2575064248702517,1.7694125944689907
0.014784659290713032,homodyne,0.5,2.367079000775612,3.3306703753084923
0.014784659290713032,on-off,0.5,1.7605089948183523,2.4771776322565873
0.01500032362751329,lower-bound,,0.7071257770477943,1.0
0.01500032362751329,homodyne,0.99,1.189205847886095,1.6817458597690422
0.01500032362751329,on-off,0.99,0.8854889702992852,1.2522368707815263
0.01500032362751329,homodyne,0.7,1.6818768420103347,2.378469144530503
0.01500032362751329,on-off,0.7,1.2523344008518462,1.7710207172481587
0.01500032362751329,homodyne,0.5,2.354627578814468,3.3298568023427038
0.01500032362751329,on-off,0.5,1.7532681611925847,2.479429004147422
0.015219133867459027,lower-bound,,0.7035609020163741,1.0
0.015219133867459027,homodyne,0.99,1.182921080817859,1.6813343058542054
0.015219133867459027,on-off,0.99,0.8818319836196048,1.253384008537589
0.015219133867459027,homodyne,0.7,1.672988385728115,2.3778870897080906
0.015219133867459027,on-off,0.7,1.247162376833441,1.7726430977888756
0.015219133867459027,homodyne,0.5,2.342183740019361,3.329041925591327
0.015219133867459027,on-off,0.5,1.7460273275668174,2.481700336904426
0.015441135899948314,lower-bound,,0.6999968497885394,1.0
0.015441135899948314,homodyne,0.99,1.1766401714975978,1.6809220953680672
0.015441135899948314,on-off,0.99,0.8781749969399243,1.2545413557292584
0.015441135899948314,homodyne,0.7,1.6641053854037455,2.3773041063062665
0.015441135899948314,on-off,0.7,1.2419903528150358,1.7742799173885226
0.015441135899948314,homodyne,0.5,2.3297475395652434,3.3282257488287725
0.015441135899948314,on-off,0.5,1.73878649394105,2.4839918843439315
0.015666376283769455,lower-bound,,0.6964336327430877,1.0
0.015666376283769455,homodyne,0.99,1.170363148092164,1.680509230265603
0.015666376283769455,on-off,0.99,0.8745180102602437,1.2557090426775106
0.015666376283769455,homodyne,0.7,1.6552278808732037,2.376720197089925
0.015666376283769455,on-off,0.7,1.2368183287966306,1.775931360358194
0.015666376283769455,homodyne,0.5,2.3173190332224847,3.3274082759258943
0.015666376283769455,on-off,0.5,1.7315456603152826,2.4863039045014714
0.015894902256865417,lower-bound,,0.6928712634507164,1.0
0.015894902256865417,homodyne,0.99,1.1640900390734252,1.6800957125511187
