task,eta,total_budget,best_route,best_width,best_test_accuracy,linear_test_accuracy,margin_vs_linear,route_delta_on_off_minus_homodyne
two_moons,0.99,1.0,homodyne,4,0.6675,0.8825,-0.21499999999999997,-0.0007499999999999174
two_moons,0.99,2.0,on_off,4,0.71475,0.8825,-0.16774999999999995,0.021499999999999964
two_moons,0.99,4.0,on_off,4,0.7537499999999999,0.8825,-0.12875000000000003,0.0009999999999998899
two_moons,0.99,8.0,homodyne,32,0.8245000000000001,0.8825,-0.05799999999999983,-0.01750000000000007
two_moons,0.99,16.0,on_off,32,0.8779999999999999,0.8825,-0.0045000000000000595,0.002749999999999808
two_moons,0.7,1.0,homodyne,4,0.64375,0.8825,-0.2387499999999999,-0.020499999999999963
two_moons,0.7,2.0,on_off,4,0.69025,0.8825,-0.19224999999999992,0.007249999999999979
two_moons,0.7,4.0,on_off,4,0.7425,0.8825,-0.1399999999999999,0.010250000000000203
two_moons,0.7,8.0,homodyne,32,0.79075,0.8825,-0.09175,-0.03249999999999997
two_moons,0.7,16.0,on_off,32,0.8465,0.8825,-0.03599999999999992,0.003750000000000142
two_moons,0.5,1.0,homodyne,4,0.62225,0.8825,-0.26025,-0.035250000000000004
two_moons,0.5,2.0,homodyne,4,0.6609999999999999,0.8825,-0.22150000000000003,-0.0039999999999998925
two_moons,0.5,4.0,on_off,4,0.7105,0.8825,-0.17199999999999993,0.009000000000000008
two_moons,0.5,8.0,homodyne,32,0.764,0.8825,-0.11849999999999994,-0.0129999999999999
two_moons,0.5,16.0,homodyne,32,0.8150000000000001,0.8825,-0.0674999999999999,-0.016000000000000014
concentric_circles,0.99,1.0,homodyne,8,0.5657500000000001,0.48375,0.08200000000000007,-0.0505000000000001
concentric_circles,0.99,2.0,homodyne,32,0.61625,0.48375,0.13249999999999995,-0.024499999999999966
concentric_circles,0.99,4.0,homodyne,32,0.6824999999999999,0.48375,0.19874999999999987,-0.020749999999999824
concentric_circles,0.99,8.0,homodyne,32,0.7665,0.48375,0.28274999999999995,-0.04249999999999998
concentric_circles,0.99,16.0,on_off,32,0.8567499999999999,0.48375,0.3729999999999999,0.015999999999999792
concentric_circles,0.7,1.0,homodyne,32,0.57225,0.48375,0.08850000000000002,-0.029000000000000026
concentric_circles,0.7,2.0,homodyne,32,0.5925,0.48375,0.10875000000000001,-0.05125000000000002
concentric_circles,0.7,4.0,homodyne,32,0.657,0.48375,0.17325000000000002,-0.026249999999999996
concentric_circles,0.7,8.0,homodyne,32,0.7135,0.48375,0.22975,-0.029249999999999998
concentric_circles,0.7,16.0,homodyne,32,0.79525,0.48375,0.3115,-0.009000000000000119
concentric_circles,0.5,1.0,homodyne,32,0.5544999999999999,0.48375,0.07074999999999987,-0.014249999999999763
concentric_circles,0.5,2.0,homodyne,8,0.5774999999999999,0.48375,0.09374999999999989,-0.04049999999999987
concentric_circles,0.5,4.0,homodyne,32,0.6257499999999999,0.48375,0.1419999999999999,-0.03149999999999997
concentric_circles,0.5,8.0,on_off,8,0.654,0.48375,0.17025,0.0045000000000000595
concentric_circles,0.5,16.0,homodyne,32,0.7507499999999999,0.48375,0.2669999999999999,-0.01924999999999999
