config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,psnr_db,mse
1,0,train,cross,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.064727,0.0493773
1,0,train,diag,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.099747,0.04898073
1,0,train,box,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.245204,0.05963203
1,0,train,bars,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.342626,0.04631668
1,0,train,ring,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.794371,0.04174101
1,0,train,chevron,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.67048,0.0429489
1,0,train,cross,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.829167,0.05212946
1,0,train,diag,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.409495,0.07228539
1,0,train,box,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.834264,0.06555014
1,0,train,bars,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.497432,0.0562674
1,0,train,ring,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.316607,0.05865963
1,0,train,chevron,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.799082,0.08319397
1,0,train,cross,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.842789,0.05196622
1,0,train,diag,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.10954,0.07745439
1,0,train,box,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.863965,0.06510338
1,0,train,bars,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.575386,0.05526643
1,0,train,ring,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.250702,0.05955658
1,0,train,chevron,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.93829,0.08056956
1,0,train,cross,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.945277,0.05075423
1,0,train,diag,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.386854,0.07266321
1,0,train,box,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.186301,0.06044632
1,0,train,bars,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.008077,0.0500256
1,0,train,ring,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.54335,0.05567561
1,0,train,chevron,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.829278,0.06562544
1,0,ood,disk,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.622355,0.04342747
1,0,ood,two_spots,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.44824,0.04520391
1,0,ood,frame,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.300813,0.11746776
1,0,ood,disk,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.894066,0.04079373
1,0,ood,two_spots,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.909445,0.04064953
1,0,ood,frame,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.595121,0.10977107
1,0,ood,disk,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.788726,0.04179529
1,0,ood,two_spots,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.944,0.04032738
1,0,ood,frame,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.422655,0.11421799
1,0,ood,disk,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.540576,0.04425297
1,0,ood,two_spots,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.063851,0.0392297
1,0,ood,frame,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.519377,0.11170235
1,1,train,cross,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.258226,0.04722559
1,1,train,diag,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.932622,0.05090235
1,1,train,box,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.170217,0.06067061
1,1,train,bars,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.338951,0.04635589
1,1,train,ring,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.776375,0.04191433
1,1,train,chevron,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.629653,0.04335456
1,1,train,cross,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.970531,0.05045996
1,1,train,diag,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.667773,0.08574775
1,1,train,box,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.888587,0.06473532
1,1,train,bars,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.576451,0.05525287
1,1,train,ring,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.07092,0.06207375
1,1,train,chevron,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.455695,0.07152049
1,1,train,cross,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.097004,0.04901168
1,1,train,diag,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.789875,0.08337051
1,1,train,box,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.928126,0.06414864
1,1,train,bars,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.711363,0.05356286
1,1,train,ring,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.540668,0.05571
1,1,train,chevron,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.104173,0.07755015
1,1,train,cross,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.937327,0.05084723
1,1,train,diag,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.186981,0.07608549
1,1,train,box,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.213516,0.06006872
1,1,train,bars,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.858678,0.05177644
1,1,train,ring,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.540525,0.05571184
1,1,train,chevron,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.159175,0.07657421
1,1,ood,disk,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.313514,0.04662819
1,1,ood,two_spots,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.434494,0.04534721
1,1,ood,frame,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.291123,0.11773016
1,1,ood,disk,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.90034,0.04073484
1,1,ood,two_spots,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.989837,0.03990398
