config_id,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,repeat_count,risk_pair_q10_db,risk_pair_min_db,risk_pair_positive_fraction,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,ranking_score
4,1,0.16,0.16,0.9,anti_phase_plus_decoy,8,-0.130955,-0.164229,0.5625,0.481722,0.164352,0.048397,-0.249543,0.127906
28,1,0.16,0.18,0.9,anti_phase_plus_decoy,8,-0.148178,-0.337792,0.5625,0.39356,0.243451,0.086863,-0.059098,-0.150999
42,1,0.16,0.19,1.1,anti_phase_plus_decoy,8,-0.155928,-0.236077,0.4375,0.399033,0.310927,-0.022852,-0.192457,-0.168071
11,1,0.2,0.16,1.0,anti_phase_plus_decoy,8,-0.152223,-0.304231,0.5,0.399545,0.172818,0.000199,-0.333583,-0.185776
1,1,0.14,0.16,0.9,anti_phase_plus_decoy,8,-0.166058,-0.312027,0.5,0.429619,0.261433,0.075462,-0.054896,-0.202636
30,1,0.16,0.18,1.1,anti_phase_plus_decoy,8,-0.167509,-0.330964,0.5,0.46622,0.280619,0.02686,-0.205409,-0.224068
21,1,0.18,0.17,1.1,anti_phase_plus_decoy,8,-0.201035,-0.248842,0.4375,0.420814,0.131573,0.038468,-0.042545,-0.275179
3,1,0.14,0.16,1.1,anti_phase_plus_decoy,8,-0.216197,-0.338365,0.5625,0.469575,0.262608,0.012129,-0.191648,-0.306276
17,1,0.16,0.17,1.0,anti_phase_plus_decoy,8,-0.195259,-0.217306,0.25,0.438835,0.206261,0.077029,-0.036058,-0.357975
10,1,0.2,0.16,0.9,anti_phase_plus_decoy,8,-0.173005,-0.460344,0.5625,0.416925,0.287921,0.048776,-0.282014,-0.358401
20,1,0.18,0.17,1.0,anti_phase_plus_decoy,8,-0.211073,-0.315608,0.4375,0.461548,0.355034,0.052745,-0.112705,-0.361244
13,1,0.14,0.17,0.9,anti_phase_plus_decoy,8,-0.245084,-0.292703,0.4375,0.44912,0.237353,0.046666,-0.149008,-0.424974
14,1,0.14,0.17,1.0,anti_phase_plus_decoy,8,-0.199729,-0.362725,0.4375,0.350811,0.119948,0.006144,-0.339893,-0.443039
34,1,0.2,0.18,0.9,anti_phase_plus_decoy,8,-0.230532,-0.355755,0.4375,0.44094,0.209634,-0.021261,-0.100894,-0.481112
40,1,0.16,0.19,0.9,anti_phase_plus_decoy,8,-0.215555,-0.403674,0.375,0.561171,0.284223,0.03915,-0.1635,-0.490997
24,1,0.2,0.17,1.1,anti_phase_plus_decoy,8,-0.233376,-0.333193,0.4375,0.354101,0.137462,-0.006475,-0.235507,-0.492927
38,1,0.14,0.19,1.0,anti_phase_plus_decoy,8,-0.219002,-0.370028,0.375,0.443427,0.25442,0.085898,-0.131126,-0.49699
15,1,0.14,0.17,1.1,anti_phase_plus_decoy,8,-0.244773,-0.290339,0.375,0.420513,0.188752,-0.036666,-0.324788,-0.499469
22,1,0.2,0.17,0.9,anti_phase_plus_decoy,8,-0.248893,-0.316622,0.375,0.449275,0.279571,0.004658,-0.436413,-0.521539
8,1,0.18,0.16,1.0,anti_phase_plus_decoy,8,-0.274644,-0.332873,0.5,0.394794,0.065119,0.020693,-0.208501,-0.524002
46,1,0.2,0.19,0.9,anti_phase_plus_decoy,8,-0.240837,-0.32775,0.375,0.375291,0.033224,-0.006915,-0.125889,-0.546658
7,1,0.18,0.16,0.9,anti_phase_plus_decoy,8,-0.269521,-0.349238,0.5,0.393582,0.258858,-0.079367,-0.218951,-0.551329
26,1,0.14,0.18,1.0,anti_phase_plus_decoy,8,-0.314061,-0.33044,0.5,0.475601,0.277068,0.025116,-0.18316,-0.586418
12,1,0.2,0.16,1.1,anti_phase_plus_decoy,8,-0.217992,-0.327273,0.25,0.395447,0.219202,-0.037907,-0.167958,-0.587111
36,1,0.2,0.18,1.1,anti_phase_plus_decoy,8,-0.269686,-0.357512,0.4375,0.383668,0.033264,-0.041486,-0.147987,-0.60806
37,1,0.14,0.19,0.9,anti_phase_plus_decoy,8,-0.2774,-0.392861,0.4375,0.453431,0.191898,0.096576,-0.120624,-0.614247
18,1,0.16,0.17,1.1,anti_phase_plus_decoy,8,-0.208013,-0.569887,0.5625,0.34903,0.085163,-0.033271,-0.305118,-0.620938
9,1,0.18,0.16,1.1,anti_phase_plus_decoy,8,-0.30145,-0.341595,0.4375,0.421472,0.158582,-0.046023,-0.253201,-0.654155
43,1,0.18,0.19,0.9,anti_phase_plus_decoy,8,-0.252055,-0.492632,0.5,0.397752,0.191103,0.035647,-0.239354,-0.655064
47,1,0.2,0.19,1.0,anti_phase_plus_decoy,8,-0.281027,-0.3652,0.375,0.416064,0.191373,0.018466,-0.131703,-0.670689
41,1,0.16,0.19,1.0,anti_phase_plus_decoy,8,-0.223027,-0.617924,0.5,0.456693,0.272604,0.126094,-0.233889,-0.691179
5,1,0.16,0.16,1.0,anti_phase_plus_decoy,8,-0.239111,-0.358382,0.1875,0.459251,0.24895,-0.014883,-0.329338,-0.697111
27,1,0.14,0.18,1.1,anti_phase_plus_decoy,8,-0.266563,-0.383922,0.25,0.521825,0.340324,0.069741,-0.124985,-0.704434
16,1,0.16,0.17,0.9,anti_phase_plus_decoy,8,-0.310266,-0.391895,0.3125,0.476397,0.290372,-0.007034,-0.145579,-0.806787
35,1,0.2,0.18,1.0,anti_phase_plus_decoy,8,-0.302914,-0.411994,0.1875,0.45627,0.296428,-0.036747,-0.180452,-0.926518
2,1,0.14,0.16,1.0,anti_phase_plus_decoy,8,-0.235748,-0.805313,0.5,0.528582,0.455605,0.041559,-0.306323,-0.936001
48,1,0.2,0.19,1.1,anti_phase_plus_decoy,8,-0.311966,-0.377641,0.1875,0.285962,0.188555,-0.073406,-0.224849,-0.983379
6,1,0.16,0.16,1.1,anti_phase_plus_decoy,8,-0.335946,-0.532741,0.375,0.349029,0.054484,-0.070949,-0.23108,-1.053732
23,1,0.2,0.17,1.0,anti_phase_plus_decoy,8,-0.339876,-0.397925,0.1875,0.357791,0.221375,-0.123958,-0.334219,-1.058875
31,1,0.18,0.18,0.9,anti_phase_plus_decoy,8,-0.329186,-0.553931,0.3125,0.422081,0.232938,-0.070853,-0.258678,-1.083022
19,1,0.18,0.17,0.9,anti_phase_plus_decoy,8,-0.346004,-0.506554,0.3125,0.377673,0.253444,-0.078398,-0.261215,-1.087486
32,1,0.18,0.18,1.0,anti_phase_plus_decoy,8,-0.256617,-0.755555,0.3125,0.469396,0.257008,0.040769,-0.21479,-1.102297
45,1,0.18,0.19,1.1,anti_phase_plus_decoy,8,-0.327097,-0.666985,0.4375,0.394494,0.220345,-0.03558,-0.219752,-1.117443
25,1,0.14,0.18,0.9,anti_phase_plus_decoy,8,-0.405068,-0.531599,0.4375,0.415935,0.198582,0.033163,-0.194742,-1.127582
29,1,0.16,0.18,1.0,anti_phase_plus_decoy,8,-0.40701,-0.533982,0.375,0.479987,0.33312,-0.030013,-0.36172,-1.172312
44,1,0.18,0.19,1.0,anti_phase_plus_decoy,8,-0.36888,-0.667272,0.5,0.363553,0.224738,0.012631,-0.224511,-1.174978
39,1,0.14,0.19,1.1,anti_phase_plus_decoy,8,-0.394244,-0.58263,0.375,0.44876,0.161319,0.066913,-0.279411,-1.191879
33,1,0.18,0.18,1.1,anti_phase_plus_decoy,8,-0.389126,-0.619708,0.3125,0.447166,0.282357,-0.092927,-0.479679,-1.306185
