config_id,repeat_seed,sample,wrongref_mode,encoding_mode,common_minus_wrongref_db,common_minus_ordinary_db
1,0,frame,edge_echo_decoy,baseline,-0.452578,0.12098
1,0,two_spots,edge_echo_decoy,baseline,-0.436877,0.769146
1,1,frame,edge_echo_decoy,baseline,-0.250293,0.407652
1,1,two_spots,edge_echo_decoy,baseline,-0.246184,0.901634
1,2,frame,edge_echo_decoy,baseline,-0.466337,0.211234
1,2,two_spots,edge_echo_decoy,baseline,-0.58355,0.600606
1,3,frame,edge_echo_decoy,baseline,-0.746083,0.107135
1,3,two_spots,edge_echo_decoy,baseline,-0.511957,0.730387
1,4,frame,edge_echo_decoy,baseline,-0.619564,0.240586
1,4,two_spots,edge_echo_decoy,baseline,-0.095096,0.877966
1,5,frame,edge_echo_decoy,baseline,-0.675673,0.171221
1,5,two_spots,edge_echo_decoy,baseline,-0.530507,0.787093
2,0,frame,edge_echo_decoy,edge_guarded,-0.419571,-0.179896
2,0,two_spots,edge_echo_decoy,edge_guarded,-0.855972,-0.029752
2,1,frame,edge_echo_decoy,edge_guarded,-0.575181,-0.250027
2,1,two_spots,edge_echo_decoy,edge_guarded,-0.884501,0.110065
2,2,frame,edge_echo_decoy,edge_guarded,-0.435014,-0.11912
2,2,two_spots,edge_echo_decoy,edge_guarded,-0.787584,0.079653
2,3,frame,edge_echo_decoy,edge_guarded,-0.404996,-0.350603
2,3,two_spots,edge_echo_decoy,edge_guarded,-0.794004,0.189835
2,4,frame,edge_echo_decoy,edge_guarded,-0.458271,-0.226553
2,4,two_spots,edge_echo_decoy,edge_guarded,-0.964693,0.170234
2,5,frame,edge_echo_decoy,edge_guarded,-0.39782,-0.237793
2,5,two_spots,edge_echo_decoy,edge_guarded,-1.050326,0.025602
3,0,frame,edge_echo_decoy,occupancy_guarded,-0.214664,0.494475
3,0,two_spots,edge_echo_decoy,occupancy_guarded,-0.669258,0.553934
3,1,frame,edge_echo_decoy,occupancy_guarded,-0.382477,0.335615
3,1,two_spots,edge_echo_decoy,occupancy_guarded,-0.218253,0.655992
3,2,frame,edge_echo_decoy,occupancy_guarded,-0.183407,0.446824
3,2,two_spots,edge_echo_decoy,occupancy_guarded,-0.229409,0.770661
3,3,frame,edge_echo_decoy,occupancy_guarded,-0.16756,0.437047
3,3,two_spots,edge_echo_decoy,occupancy_guarded,-0.27983,0.240211
3,4,frame,edge_echo_decoy,occupancy_guarded,-0.156139,0.501297
3,4,two_spots,edge_echo_decoy,occupancy_guarded,-0.042523,0.56121
3,5,frame,edge_echo_decoy,occupancy_guarded,-0.19513,0.59163
3,5,two_spots,edge_echo_decoy,occupancy_guarded,-0.187563,0.411874
4,0,frame,edge_echo_decoy,hybrid_guarded,-0.237712,0.218426
4,0,two_spots,edge_echo_decoy,hybrid_guarded,-0.615738,0.214771
4,1,frame,edge_echo_decoy,hybrid_guarded,-0.167292,0.271129
4,1,two_spots,edge_echo_decoy,hybrid_guarded,-0.447273,0.204238
4,2,frame,edge_echo_decoy,hybrid_guarded,-0.302288,0.086776
4,2,two_spots,edge_echo_decoy,hybrid_guarded,-0.35095,0.236342
4,3,frame,edge_echo_decoy,hybrid_guarded,-0.358857,0.07227
4,3,two_spots,edge_echo_decoy,hybrid_guarded,-0.202654,0.492409
4,4,frame,edge_echo_decoy,hybrid_guarded,-0.33675,0.185847
4,4,two_spots,edge_echo_decoy,hybrid_guarded,-0.462538,0.328121
4,5,frame,edge_echo_decoy,hybrid_guarded,-0.273097,0.143473
4,5,two_spots,edge_echo_decoy,hybrid_guarded,-0.408408,0.407527
5,0,frame,sparse_tracker_decoy,baseline,-0.220051,0.221246
5,0,two_spots,sparse_tracker_decoy,baseline,0.021143,0.628538
5,1,frame,sparse_tracker_decoy,baseline,0.011803,0.300699
5,1,two_spots,sparse_tracker_decoy,baseline,0.315754,0.595621
5,2,frame,sparse_tracker_decoy,baseline,-0.008629,0.081781
5,2,two_spots,sparse_tracker_decoy,baseline,0.214709,0.770595
5,3,frame,sparse_tracker_decoy,baseline,0.019051,0.188923
5,3,two_spots,sparse_tracker_decoy,baseline,0.277664,0.672794
5,4,frame,sparse_tracker_decoy,baseline,-0.022004,0.24701
5,4,two_spots,sparse_tracker_decoy,baseline,0.288758,0.434535
5,5,frame,sparse_tracker_decoy,baseline,-0.044476,0.096358
5,5,two_spots,sparse_tracker_decoy,baseline,0.910886,0.808272
6,0,frame,sparse_tracker_decoy,edge_guarded,-0.00744,-0.044073
6,0,two_spots,sparse_tracker_decoy,edge_guarded,-0.208534,-0.063901
6,1,frame,sparse_tracker_decoy,edge_guarded,-0.263431,-0.315563
6,1,two_spots,sparse_tracker_decoy,edge_guarded,-0.144302,-0.109086
6,2,frame,sparse_tracker_decoy,edge_guarded,0.154649,-0.052398
6,2,two_spots,sparse_tracker_decoy,edge_guarded,0.111985,0.077914
6,3,frame,sparse_tracker_decoy,edge_guarded,-0.4548,-0.517157
6,3,two_spots,sparse_tracker_decoy,edge_guarded,-0.069445,0.190257
6,4,frame,sparse_tracker_decoy,edge_guarded,-0.025465,-0.250272
6,4,two_spots,sparse_tracker_decoy,edge_guarded,-0.012054,0.302395
6,5,frame,sparse_tracker_decoy,edge_guarded,-0.181477,-0.313681
6,5,two_spots,sparse_tracker_decoy,edge_guarded,0.195649,0.313918
7,0,frame,sparse_tracker_decoy,occupancy_guarded,0.237069,0.49273
7,0,two_spots,sparse_tracker_decoy,occupancy_guarded,0.328567,0.56596
7,1,frame,sparse_tracker_decoy,occupancy_guarded,0.181908,0.457512
7,1,two_spots,sparse_tracker_decoy,occupancy_guarded,0.092688,0.332653
7,2,frame,sparse_tracker_decoy,occupancy_guarded,0.198871,0.477017
7,2,two_spots,sparse_tracker_decoy,occupancy_guarded,0.261585,0.470784
7,3,frame,sparse_tracker_decoy,occupancy_guarded,0.264707,0.520606
7,3,two_spots,sparse_tracker_decoy,occupancy_guarded,0.006117,0.422462
7,4,frame,sparse_tracker_decoy,occupancy_guarded,0.153374,0.383869
7,4,two_spots,sparse_tracker_decoy,occupancy_guarded,0.399786,0.80125
7,5,frame,sparse_tracker_decoy,occupancy_guarded,0.264848,0.4881
7,5,two_spots,sparse_tracker_decoy,occupancy_guarded,-0.151228,0.394637
8,0,frame,sparse_tracker_decoy,hybrid_guarded,0.019839,0.117501
8,0,two_spots,sparse_tracker_decoy,hybrid_guarded,0.262685,0.545044
8,1,frame,sparse_tracker_decoy,hybrid_guarded,-0.005826,0.091718
8,1,two_spots,sparse_tracker_decoy,hybrid_guarded,0.065034,0.613787
8,2,frame,sparse_tracker_decoy,hybrid_guarded,0.020597,0.19748
8,2,two_spots,sparse_tracker_decoy,hybrid_guarded,0.344582,0.649257
8,3,frame,sparse_tracker_decoy,hybrid_guarded,0.237263,0.341843
8,3,two_spots,sparse_tracker_decoy,hybrid_guarded,0.100853,0.393824
8,4,frame,sparse_tracker_decoy,hybrid_guarded,0.141282,0.170071
