config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,psnr_db,mse
1,0,train,cross,ordinary,1,0.12,0.05,13.089649,0.04909475
1,0,train,diag,ordinary,1,0.12,0.05,12.177135,0.06057403
1,0,train,box,ordinary,1,0.12,0.05,12.207499,0.06015201
1,0,train,bars,ordinary,1,0.12,0.05,13.326094,0.04649332
1,0,train,ring,ordinary,1,0.12,0.05,13.864106,0.04107612
1,0,train,chevron,ordinary,1,0.12,0.05,13.590125,0.04375095
1,0,train,cross,common_path,1,0.12,0.05,13.2058,0.04779913
1,0,train,diag,common_path,1,0.12,0.05,11.492902,0.07091038
1,0,train,box,common_path,1,0.12,0.05,11.752783,0.06679158
1,0,train,bars,common_path,1,0.12,0.05,12.792499,0.05257147
1,0,train,ring,common_path,1,0.12,0.05,12.580718,0.05519862
1,0,train,chevron,common_path,1,0.12,0.05,10.65137,0.08607222
1,0,train,cross,noncommon_path,1,0.12,0.05,12.874632,0.05158658
1,0,train,diag,noncommon_path,1,0.12,0.05,10.48933,0.08934433
1,0,train,box,noncommon_path,1,0.12,0.05,12.021166,0.06278898
1,0,train,bars,noncommon_path,1,0.12,0.05,12.408473,0.05743184
1,0,train,ring,noncommon_path,1,0.12,0.05,12.256903,0.05947161
1,0,train,chevron,noncommon_path,1,0.12,0.05,11.000987,0.07941477
1,0,train,cross,wrong_reference,1,0.12,0.05,12.969235,0.05047502
1,0,train,diag,wrong_reference,1,0.12,0.05,11.616525,0.06892035
1,0,train,box,wrong_reference,1,0.12,0.05,12.314119,0.05869324
1,0,train,bars,wrong_reference,1,0.12,0.05,13.079595,0.04920854
1,0,train,ring,wrong_reference,1,0.12,0.05,12.372664,0.05790734
1,0,train,chevron,wrong_reference,1,0.12,0.05,11.021599,0.07903875
1,0,ood,disk,ordinary,1,0.12,0.05,12.640375,0.05444556
1,0,ood,two_spots,ordinary,1,0.12,0.05,13.434265,0.0453496
1,0,ood,frame,ordinary,1,0.12,0.05,9.299544,0.11750209
1,0,ood,disk,common_path,1,0.12,0.05,14.229304,0.03776327
1,0,ood,two_spots,common_path,1,0.12,0.05,13.961401,0.04016612
1,0,ood,frame,common_path,1,0.12,0.05,9.639098,0.10866512
1,0,ood,disk,noncommon_path,1,0.12,0.05,13.601471,0.0436368
1,0,ood,two_spots,noncommon_path,1,0.12,0.05,14.133646,0.03860428
1,0,ood,frame,noncommon_path,1,0.12,0.05,9.505982,0.1120474
1,0,ood,disk,wrong_reference,1,0.12,0.05,14.335233,0.03685332
1,0,ood,two_spots,wrong_reference,1,0.12,0.05,13.902331,0.04071617
1,0,ood,frame,wrong_reference,1,0.12,0.05,9.447595,0.11356396
1,1,train,cross,ordinary,1,0.12,0.05,13.247824,0.04733883
1,1,train,diag,ordinary,1,0.12,0.05,13.984665,0.03995154
1,1,train,box,ordinary,1,0.12,0.05,12.052617,0.06233591
1,1,train,bars,ordinary,1,0.12,0.05,13.086965,0.04912511
1,1,train,ring,ordinary,1,0.12,0.05,13.330339,0.0464479
1,1,train,chevron,ordinary,1,0.12,0.05,13.611795,0.04353319
1,1,train,cross,common_path,1,0.12,0.05,13.048867,0.04955794
1,1,train,diag,common_path,1,0.12,0.05,10.788388,0.08339906
1,1,train,box,common_path,1,0.12,0.05,11.967468,0.06357015
1,1,train,bars,common_path,1,0.12,0.05,12.760773,0.05295692
1,1,train,ring,common_path,1,0.12,0.05,12.655359,0.05425804
1,1,train,chevron,common_path,1,0.12,0.05,11.387564,0.07265133
1,1,train,cross,noncommon_path,1,0.12,0.05,13.15391,0.04837366
1,1,train,diag,noncommon_path,1,0.12,0.05,10.677161,0.08556258
1,1,train,box,noncommon_path,1,0.12,0.05,12.038295,0.06254182
1,1,train,bars,noncommon_path,1,0.12,0.05,12.581114,0.05519358
1,1,train,ring,noncommon_path,1,0.12,0.05,12.410265,0.05740815
1,1,train,chevron,noncommon_path,1,0.12,0.05,11.691462,0.06774134
1,1,train,cross,wrong_reference,1,0.12,0.05,13.062228,0.04940571
1,1,train,diag,wrong_reference,1,0.12,0.05,12.094116,0.0617431
1,1,train,box,wrong_reference,1,0.12,0.05,12.173587,0.06062354
1,1,train,bars,wrong_reference,1,0.12,0.05,12.976574,0.05038979
1,1,train,ring,wrong_reference,1,0.12,0.05,12.77606,0.05277084
1,1,train,chevron,wrong_reference,1,0.12,0.05,11.841259,0.06544464
1,1,ood,disk,ordinary,1,0.12,0.05,13.39789,0.04573104
1,1,ood,two_spots,ordinary,1,0.12,0.05,13.467312,0.04500583
1,1,ood,frame,ordinary,1,0.12,0.05,9.360889,0.115854
1,1,ood,disk,common_path,1,0.12,0.05,13.492269,0.04474794
1,1,ood,two_spots,common_path,1,0.12,0.05,13.976153,0.04002992
1,1,ood,frame,common_path,1,0.12,0.05,9.393242,0.11499416
1,1,ood,disk,noncommon_path,1,0.12,0.05,13.859949,0.04111546
1,1,ood,two_spots,noncommon_path,1,0.12,0.05,14.041951,0.03942802
1,1,ood,frame,noncommon_path,1,0.12,0.05,9.483866,0.11261944
1,1,ood,disk,wrong_reference,1,0.12,0.05,13.984318,0.03995473
1,1,ood,two_spots,wrong_reference,1,0.12,0.05,13.938976,0.04037406
1,1,ood,frame,wrong_reference,1,0.12,0.05,9.51682,0.11176813
1,2,train,cross,ordinary,1,0.12,0.05,13.189747,0.04797615
1,2,train,diag,ordinary,1,0.12,0.05,12.606518,0.05487168
1,2,train,box,ordinary,1,0.12,0.05,12.298727,0.05890163
1,2,train,bars,ordinary,1,0.12,0.05,13.164364,0.04825736
1,2,train,ring,ordinary,1,0.12,0.05,13.662129,0.04303156
1,2,train,chevron,ordinary,1,0.12,0.05,13.689362,0.04276257
1,2,train,cross,common_path,1,0.12,0.05,13.09326,0.04905395
1,2,train,diag,common_path,1,0.12,0.05,10.714187,0.08483621
1,2,train,box,common_path,1,0.12,0.05,12.033631,0.06260902
1,2,train,bars,common_path,1,0.12,0.05,12.604726,0.05489431
1,2,train,ring,common_path,1,0.12,0.05,12.285333,0.05908357
1,2,train,chevron,common_path,1,0.12,0.05,11.011278,0.07922681
1,2,train,cross,noncommon_path,1,0.12,0.05,12.827154,0.05215363
1,2,train,diag,noncommon_path,1,0.12,0.05,10.989798,0.07961963
1,2,train,box,noncommon_path,1,0.12,0.05,11.884663,0.06479383
1,2,train,bars,noncommon_path,1,0.12,0.05,12.589509,0.055087
1,2,train,ring,noncommon_path,1,0.12,0.05,12.253558,0.05951743
1,2,train,chevron,noncommon_path,1,0.12,0.05,10.900272,0.08127797
1,2,train,cross,wrong_reference,1,0.12,0.05,12.975126,0.0504066
1,2,train,diag,wrong_reference,1,0.12,0.05,12.447909,0.05691269
1,2,train,box,wrong_reference,1,0.12,0.05,12.302249,0.05885388
1,2,train,bars,wrong_reference,1,0.12,0.05,12.8917,0.05138424
1,2,train,ring,wrong_reference,1,0.12,0.05,12.816825,0.05227783
1,2,train,chevron,wrong_reference,1,0.12,0.05,12.020127,0.06280399
1,2,ood,disk,ordinary,1,0.12,0.05,13.766324,0.04201145
1,2,ood,two_spots,ordinary,1,0.12,0.05,13.476011,0.04491578
1,2,ood,frame,ordinary,1,0.12,0.05,9.333978,0.11657414
1,2,ood,disk,common_path,1,0.12,0.05,13.941219,0.04035321
1,2,ood,two_spots,common_path,1,0.12,0.05,13.730312,0.04236125
1,2,ood,frame,common_path,1,0.12,0.05,9.466039,0.11308269
1,2,ood,disk,noncommon_path,1,0.12,0.05,14.0442,0.0394076
1,2,ood,two_spots,noncommon_path,1,0.12,0.05,13.898463,0.04075244
1,2,ood,frame,noncommon_path,1,0.12,0.05,9.499582,0.11221265
1,2,ood,disk,wrong_reference,1,0.12,0.05,14.226868,0.03778446
1,2,ood,two_spots,wrong_reference,1,0.12,0.05,14.003801,0.03977589
1,2,ood,frame,wrong_reference,1,0.12,0.05,9.701492,0.10711512
1,3,train,cross,ordinary,1,0.12,0.05,13.233491,0.04749533
1,3,train,diag,ordinary,1,0.12,0.05,13.660088,0.04305179
1,3,train,box,ordinary,1,0.12,0.05,11.937526,0.06400994
1,3,train,bars,ordinary,1,0.12,0.05,13.24299,0.04739156
1,3,train,ring,ordinary,1,0.12,0.05,13.794881,0.0417361
1,3,train,chevron,ordinary,1,0.12,0.05,13.583128,0.0438215
1,3,train,cross,common_path,1,0.12,0.05,13.157177,0.0483373
1,3,train,diag,common_path,1,0.12,0.05,10.821646,0.08276285
1,3,train,box,common_path,1,0.12,0.05,11.941269,0.06395479
1,3,train,bars,common_path,1,0.12,0.05,12.622662,0.05466808
1,3,train,ring,common_path,1,0.12,0.05,12.545276,0.05565093
1,3,train,chevron,common_path,1,0.12,0.05,11.003779,0.07936374
1,3,train,cross,noncommon_path,1,0.12,0.05,13.058258,0.0494509
1,3,train,diag,noncommon_path,1,0.12,0.05,10.553291,0.08803815
1,3,train,box,noncommon_path,1,0.12,0.05,11.984155,0.06332635
1,3,train,bars,noncommon_path,1,0.12,0.05,12.835568,0.05205269
1,3,train,ring,noncommon_path,1,0.12,0.05,11.995101,0.06316694
1,3,train,chevron,noncommon_path,1,0.12,0.05,11.240936,0.07514609
1,3,train,cross,wrong_reference,1,0.12,0.05,13.028235,0.04979394
1,3,train,diag,wrong_reference,1,0.12,0.05,11.517197,0.07051481
1,3,train,box,wrong_reference,1,0.12,0.05,12.213425,0.06006998
1,3,train,bars,wrong_reference,1,0.12,0.05,12.993029,0.05019923
1,3,train,ring,wrong_reference,1,0.12,0.05,13.091932,0.04906895
1,3,train,chevron,wrong_reference,1,0.12,0.05,11.541622,0.07011933
1,3,ood,disk,ordinary,1,0.12,0.05,13.317785,0.04658236
1,3,ood,two_spots,ordinary,1,0.12,0.05,13.316849,0.04659241
1,3,ood,frame,ordinary,1,0.12,0.05,9.307105,0.1172977
1,3,ood,disk,common_path,1,0.12,0.05,13.821037,0.0414855
1,3,ood,two_spots,common_path,1,0.12,0.05,13.525628,0.04440555
1,3,ood,frame,common_path,1,0.12,0.05,9.467907,0.11303405
1,3,ood,disk,noncommon_path,1,0.12,0.05,14.209983,0.03793164
1,3,ood,two_spots,noncommon_path,1,0.12,0.05,14.158276,0.03838596
1,3,ood,frame,noncommon_path,1,0.12,0.05,9.520392,0.11167624
1,3,ood,disk,wrong_reference,1,0.12,0.05,14.187443,0.03812902
1,3,ood,two_spots,wrong_reference,1,0.12,0.05,13.709239,0.0425673
1,3,ood,frame,wrong_reference,1,0.12,0.05,9.537538,0.11123622
2,0,train,cross,ordinary,1,0.12,0.1,13.167594,0.04822148
2,0,train,diag,ordinary,1,0.12,0.1,12.378258,0.0578328
2,0,train,box,ordinary,1,0.12,0.1,12.175126,0.06060206
2,0,train,bars,ordinary,1,0.12,0.1,13.274843,0.04704524
2,0,train,ring,ordinary,1,0.12,0.1,13.821806,0.04147815
2,0,train,chevron,ordinary,1,0.12,0.1,13.508977,0.04457613
2,0,train,cross,common_path,1,0.12,0.1,12.919327,0.05105841
2,0,train,diag,common_path,1,0.12,0.1,11.945702,0.06388955
2,0,train,box,common_path,1,0.12,0.1,11.913191,0.06436961
2,0,train,bars,common_path,1,0.12,0.1,12.759002,0.05297852
2,0,train,ring,common_path,1,0.12,0.1,12.605056,0.05489014
2,0,train,chevron,common_path,1,0.12,0.1,10.9011,0.08126246
2,0,train,cross,noncommon_path,1,0.12,0.1,12.964794,0.05052666
2,0,train,diag,noncommon_path,1,0.12,0.1,11.195996,0.07592772
2,0,train,box,noncommon_path,1,0.12,0.1,11.906014,0.06447608
2,0,train,bars,noncommon_path,1,0.12,0.1,12.808133,0.05238256
2,0,train,ring,noncommon_path,1,0.12,0.1,12.685468,0.05388317
2,0,train,chevron,noncommon_path,1,0.12,0.1,10.962379,0.0801239
2,0,train,cross,wrong_reference,1,0.12,0.1,12.870372,0.05163721
2,0,train,diag,wrong_reference,1,0.12,0.1,11.926618,0.06417091
2,0,train,box,wrong_reference,1,0.12,0.1,12.253051,0.05952438
2,0,train,bars,wrong_reference,1,0.12,0.1,13.045688,0.04959423
2,0,train,ring,wrong_reference,1,0.12,0.1,12.613459,0.05478404
2,0,train,chevron,wrong_reference,1,0.12,0.1,11.501861,0.07076425
2,0,ood,disk,ordinary,1,0.12,0.1,13.80013,0.04168569
2,0,ood,two_spots,ordinary,1,0.12,0.1,13.239457,0.04743013
2,0,ood,frame,ordinary,1,0.12,0.1,9.337146,0.11648912
