config_id,num_layers,reference_weight,phase_mix,repeat_count,ordinary_ood_mean_psnr_db_mean,common_ood_mean_psnr_db_mean,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_ordinary_db_std,common_minus_noncommon_db_mean,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_db_std,ranking_score
8,1,0.16,0.15,4,12.109828,12.548056,0.438228,0.390058,0.030544,0.163339,0.061736,-0.307492,0.221248,0.245884
10,1,0.16,0.25,4,12.219444,12.545456,0.326012,-0.024391,0.213817,0.134129,0.113373,-0.136176,0.245826,0.228133
43,2,0.2,0.15,4,12.04676,12.525198,0.478438,0.411819,0.043678,0.001266,-0.053178,-0.118348,0.074706,0.201022
36,2,0.16,0.05,4,11.949579,12.532578,0.582999,0.559289,0.027224,0.226775,-0.152184,-0.286387,0.137564,0.142664
17,1,0.24,0.1,4,12.01732,12.407846,0.390525,0.229417,0.154463,0.03563,-0.005618,-0.210095,0.168712,0.122563
2,1,0.12,0.1,4,12.026756,12.470866,0.444111,0.315328,0.141688,0.005008,-0.023788,-0.2499,0.167517,0.121646
22,1,0.28,0.1,4,12.055228,12.310112,0.254885,0.188681,0.04789,0.111083,-0.031817,-0.093472,0.057526,0.110256
44,2,0.2,0.2,4,12.166059,12.496948,0.330888,0.190527,0.123928,0.048653,-0.0628,-0.117975,0.047209,0.091724
4,1,0.12,0.2,4,12.041261,12.524066,0.482805,0.454938,0.029141,0.033571,-0.108848,-0.268971,0.118398,0.08778
6,1,0.16,0.05,4,12.054353,12.460555,0.406201,0.141384,0.191898,-0.037408,-0.021958,-0.248777,0.159213,0.079902
37,2,0.16,0.1,4,12.046916,12.493784,0.446869,0.326201,0.096983,-0.004,-0.064104,-0.269081,0.17019,0.075196
41,2,0.2,0.05,4,12.055781,12.508226,0.452445,0.253285,0.187554,0.024869,-0.061428,-0.270356,0.174349,0.069575
39,2,0.16,0.2,4,12.021907,12.514744,0.492837,0.338224,0.168527,-0.013512,-0.126047,-0.258483,0.088547,0.04811
14,1,0.2,0.2,4,12.058279,12.42355,0.365271,0.196127,0.122928,-0.019542,-0.110745,-0.149996,0.030072,0.037801
13,1,0.2,0.15,4,12.040389,12.470684,0.430295,0.318858,0.143886,0.122879,-0.15102,-0.221025,0.051776,0.037496
12,1,0.2,0.1,4,12.067208,12.479013,0.411805,0.277986,0.105066,-0.009418,-0.093257,-0.245332,0.122621,0.03647
48,2,0.24,0.15,4,12.012687,12.394127,0.38144,0.252089,0.11225,-0.027478,-0.08029,-0.242961,0.107021,0.030995
31,2,0.12,0.05,4,12.088697,12.496422,0.407725,0.206132,0.121968,-0.031775,-0.078006,-0.256898,0.163029,0.025334
