config_id,phase_mix,wrongref_mode,repeat_count,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_ordinary_db_std,common_minus_noncommon_db_mean,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_db_std,ranking_score
20,0.2,anti_phase,4,0.653596,0.556434,0.060938,0.258164,0.141314,0.02713,0.097384,0.475125
9,0.175,permuted_phase,4,0.502394,0.393285,0.141243,0.133019,0.130725,0.020517,0.108461,0.360717
21,0.1,orthogonal_phase,4,0.538416,0.401602,0.122629,0.139715,0.128504,-0.136623,0.164762,0.267685
8,0.15,permuted_phase,4,0.3978,0.251274,0.127583,0.150024,0.106955,-0.07323,0.133587,0.232747
19,0.175,anti_phase,4,0.459038,0.218557,0.14094,-0.005146,0.126462,-0.125963,0.150053,0.215084
12,0.125,wrong_amp_permuted_phase,4,0.54369,0.282748,0.198857,0.15268,0.073733,-0.118264,0.132358,0.208207
25,0.2,orthogonal_phase,4,0.453032,0.204529,0.149826,0.199351,0.047065,-0.068176,0.082322,0.198747
22,0.125,orthogonal_phase,4,0.477206,0.43324,0.034021,0.142109,0.029425,-0.061736,0.093906,0.18074
15,0.2,wrong_amp_permuted_phase,4,0.543894,0.420823,0.085221,0.071383,-0.022527,-0.065099,0.031566,0.136258
10,0.2,permuted_phase,4,0.344085,0.190029,0.105162,0.035853,0.037371,-0.037093,0.071614,0.135862
2,0.125,existing_amp_only,4,0.547804,0.339958,0.147113,0.052858,0.069584,-0.217934,0.173643,0.110459
11,0.1,wrong_amp_permuted_phase,4,0.552422,0.354954,0.170076,0.081847,0.009634,-0.122197,0.133423,0.101423
7,0.125,permuted_phase,4,0.459714,0.345266,0.092036,-0.055452,-0.011447,-0.056602,0.053057,0.088584
18,0.15,anti_phase,4,0.535562,0.412849,0.102133,-0.065171,0.057269,-0.187169,0.181123,0.083074
28,0.15,strong_mismatch,4,0.519548,0.378271,0.17261,0.059368,-0.030407,-0.153303,0.145368,-0.000576
14,0.175,wrong_amp_permuted_phase,4,0.395489,0.328291,0.04542,-0.02725,-0.025921,-0.171431,0.098631,-0.037921
23,0.15,orthogonal_phase,4,0.414234,0.264082,0.163718,-0.060472,-0.024539,-0.137335,0.126464,-0.038891
17,0.125,anti_phase,4,0.473053,0.215071,0.19774,0.056163,-0.040425,-0.25814,0.184774,-0.11799
4,0.175,existing_amp_only,4,0.449686,0.317951,0.087006,0.03722,-0.119656,-0.175187,0.036588,-0.122443
5,0.2,existing_amp_only,4,0.428169,0.360628,0.073684,0.051778,-0.118146,-0.198754,0.07163,-0.15445
26,0.1,strong_mismatch,4,0.399123,0.269255,0.180037,0.101346,-0.087756,-0.251242,0.097074,-0.164147
3,0.15,existing_amp_only,4,0.435605,0.221024,0.156378,-0.028585,-0.093998,-0.228574,0.121847,-0.180085
1,0.1,existing_amp_only,4,0.416268,0.328778,0.070891,-0.030339,-0.073856,-0.261397,0.20481,-0.206437
6,0.1,permuted_phase,4,0.192352,0.100453,0.058571,-0.07196,-0.05475,-0.227343,0.10045,-0.207042
24,0.175,orthogonal_phase,4,0.437283,0.314696,0.099859,-0.089343,-0.053264,-0.331544,0.168444,-0.207563
13,0.15,wrong_amp_permuted_phase,4,0.420748,0.249571,0.119355,-0.00231,-0.06851,-0.301418,0.194596,-0.215282
16,0.1,anti_phase,4,0.46492,0.227944,0.150774,-0.039856,-0.143321,-0.241101,0.087229,-0.235976
29,0.175,strong_mismatch,4,0.470992,0.198112,0.234669,0.046118,-0.124178,-0.265826,0.185671,-0.255161
30,0.2,strong_mismatch,4,0.381403,0.151178,0.136871,-0.05052,-0.122075,-0.293553,0.16688,-0.30557
27,0.125,strong_mismatch,4,0.388835,0.052766,0.204441,-0.070847,-0.15985,-0.464513,0.1993,-0.487248
