metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,22.22661162663839,0.4461085082400527,0.5048192999475466,3
mean_guided_psnr_lowres,25.738931723550838,0.3747278058322085,0.42404443115732426,3
mean_phaseonly_psnr_lowres,30.99645044190423,0.5595070272300215,0.6331418042580909,3
mean_phaseonly_psnr_gain_over_fixed_lowres,8.769838815265834,0.1695332130277166,0.19184489050914333,3
mean_phaseonly_psnr_gap_to_guided_lowres,-5.257518718353388,0.2200847938644325,0.24904938936505988,3
mean_fixed_ssim_lowres,0.9164283945382204,0.007449563693908122,0.00842997490388531,3
mean_guided_ssim_lowres,0.9598445809933827,0.003845020272833048,0.0043510500395370685,3
mean_phaseonly_ssim_lowres,0.9898684081275172,0.0009838077764983122,0.0011132833018006097,3
mean_phaseonly_ssim_gain_over_fixed_lowres,0.07344001358929682,0.006583249991759431,0.007449648663574422,3
phaseonly_better_than_fixed_fraction,0.9895833333333334,0.018042195912175808,0.02041666666666667,3
