dataset,filename,path,image_size,source_type,generation_recipe
imagenet,imagenet_proxy_000.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_000.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_001.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_001.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_002.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_002.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_003.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_003.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_004.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_004.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_005.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_005.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_006.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_006.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_007.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_007.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_008.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_008.png,128,project_local_proxy,layered texture + oriented structure
imagenet,imagenet_proxy_009.png,/workspace/memory/self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z/data/natural_objects/imagenet-1k-ilsvrc2012-validation/imagenet_proxy_009.png,128,project_local_proxy,layered texture + oriented structure
