method,ledger,mean_psnr_gain,std_psnr_gain,ci95_half_width,ci_low,ci_high,better_than_fixed_fraction,n_seeds,n_samples,n_samples_per_seed
parameter_matched_digital_surrogate,new_family_heldout_object_family,0.4598078494814713,0.05929183849796684,0.03674946223723667,0.4230583872442346,0.496557311718708,0.5,10,960,96
phase_only_stack,new_family_heldout_object_family,0.5211364944662015,0.28106812348439103,0.17420782778450689,0.3469286666816946,0.6953443222507083,0.5572916666666667,10,960,96
reference_psf_deconvolution,new_family_heldout_object_family,2.5107983652378256,0.10164022168082151,0.06299726206958142,2.4478011031682443,2.573795627307407,1.0,10,960,96
spectral_frontend,new_family_heldout_object_family,0.08074025175490343,0.10794503042697375,0.06690502301610135,0.01383522873880208,0.14764527477100478,0.49375,10,960,96
trainable_surrogate_ridge,new_family_heldout_object_family,-0.1386913336526934,0.0816518996625492,0.05060837172978511,-0.1892997053824785,-0.08808296192290829,0.4895833333333333,10,960,96
parameter_matched_digital_surrogate,same_family_heldout_aberration,4.326442390625845,0.09195226039713005,0.05699260145574266,4.269449789170102,4.383434992081587,1.0,10,1440,144
phase_only_stack,same_family_heldout_aberration,7.593081912645576,0.35813076129564136,0.22197174554940302,7.371110167096173,7.815053658194978,1.0,10,1440,144
reference_psf_deconvolution,same_family_heldout_aberration,2.9014546789908784,0.11645359227820999,0.0721786842883171,2.829275994702561,2.9736333632791956,1.0,10,1440,144
spectral_frontend,same_family_heldout_aberration,3.70163412177643,0.14406387281018115,0.08929171345849503,3.612342408317935,3.7909258352349253,0.99375,10,1440,144
trainable_surrogate_ridge,same_family_heldout_aberration,2.8977719335157346,0.061542660900951306,0.03814453641602167,2.859627397099713,2.9359164699317564,1.0,10,1440,144
