object_id,fixed_psnr_lowres,robust_method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
ImageNet-1k:imagenet_proxy_000,18.37913524723942,21.491821282170353,3.112686034930931,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,19.4185212442048,21.659172733591028,2.2406514893862273,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,17.144871038094426,20.277533652686287,3.1326626145918617,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,19.87239693750947,20.006920864418074,0.13452392690860293,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,20.36777785801965,25.35366933847625,4.985891480456601,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,19.64942581955879,22.80960544477566,3.1601796252168697,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.73105034676241,25.204255372404628,5.473205025642219,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,24.25134673091588,23.843743710153582,-0.4076030207622985,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.59203268222841,22.049145038837658,3.4571123566092474,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,19.87559582846149,21.93521214604154,2.0596163175800513,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,16.54464520459449,20.90661968605414,4.361974481459647,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,21.91276814000132,24.664919696877693,2.752151556876374,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,18.441468774705854,22.22622084077241,3.784752066066556,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,18.538235981075392,20.271667252904283,1.7334312718288913,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,17.286927749285475,21.60735321143388,4.320425462148407,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,21.283035485854747,21.20079361618828,-0.08224186966646485,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,20.164674870813446,24.827003382216752,4.662328511403306,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,20.053058153249864,23.535400813168316,3.4823426599184515,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.728304667830628,24.72050764806555,4.9922029802349215,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,27.19828963419568,24.362509662572936,-2.8357799716227454,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.416885301603873,21.86828829738686,3.4514029957829884,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,21.239195482710016,24.104368597158437,2.865173114448421,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,17.095284365085792,20.86692545872845,3.771641093642657,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,21.66281951363726,23.704422282033445,2.041602768396185,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,19.51877954062885,23.255734745596367,3.7369552049675185,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,19.521645115591774,21.165207471092256,1.6435623555004817,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,18.186379443095834,23.56832411504625,5.381944671950414,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,20.910408925742907,21.300556112358116,0.3901471866152093,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,21.4576363280704,26.55387826608211,5.096241938011708,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,20.375103631462995,23.25300356402147,2.877899932558474,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.892394837383875,24.544087491541955,4.651692654158079,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,27.146529710363495,24.758440372295517,-2.388089338067978,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.80117135181588,22.143639839849225,3.3424684880333437,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,21.147320837294792,23.40301156060196,2.2556907233071684,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,17.191992321163173,21.79814314481469,4.606150823651518,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,22.640345029946328,25.3993269601383,2.758981930191972,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,19.09297262457729,22.539494847550166,3.4465222229728774,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,17.70280693610308,19.3277968251892,1.6249898890861196,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,17.904859016290853,22.631502461408978,4.726643445118125,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,20.952538892944254,20.626242782847058,-0.3262961100971964,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,20.752529580949247,25.5597488386282,4.807219257678952,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,19.93116225765096,23.119325737177384,3.1881634795264233,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.412075569509152,23.770923198993156,4.3588476294840035,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,26.890020171332907,24.13637299496353,-2.753647176369377,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.268126109709225,21.6347744970925,3.3666483873832753,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,21.41476884025423,24.894109889954738,3.4793410497005084,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,17.522383041448904,20.86889979171692,3.346516750268016,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,21.256566914227342,23.51893531201435,2.2623683977870073,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,17.750234647757154,20.959176369872253,3.2089417221150995,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,19.299948974789118,21.59495516401197,2.2950061892228533,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,16.622471973112788,19.771509133971136,3.1490371608583487,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,20.696032609119307,21.232547815667807,0.5365152065485006,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,19.76316827026758,23.894390823863887,4.131222553596306,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,19.872126716637318,23.060956739231486,3.1888300225941677,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.65704810311735,24.72029917740455,5.063251074287198,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,25.92318706892768,24.587386482157076,-1.3358005867706062,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.51438484054861,21.644274232557525,3.1298893920089164,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,20.59954986294597,23.102555688390915,2.5030058254449443,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,16.76661491870148,21.75334502810719,4.986730109405709,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
