perturbation_family,level,dataset_name,dataset_version,method,seed,sample_count,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres
phase_mask_lateral_shift,1.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-16.117462533467418,2.201950058983128,0.0,9.051202217273609,25.16866475074103,26.980283997320132
phase_mask_lateral_shift,1.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-15.360055128734627,2.3805770339320795,0.0,9.53075031235951,24.89080544109414,27.03340698845976
phase_mask_lateral_shift,1.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-15.54203810526764,2.237468925212376,0.0,9.570038880470179,25.11207698573782,26.961102505543174
phase_mask_lateral_shift,1.0,UCID,1338 public citation subset,phase_only_stack,0,72,-12.203182451787402,1.8554204460581307,0.0,8.779380433466894,20.982562885254296,23.06411630882179
phase_mask_lateral_shift,1.0,UCID,1338 public citation subset,phase_only_stack,1,72,-10.79520270294111,2.180521757895533,0.0,9.861315256246836,20.656517959187948,23.23053303408501
phase_mask_lateral_shift,1.0,UCID,1338 public citation subset,phase_only_stack,2,72,-11.307395854335603,2.07257666515745,0.0,9.649368967182316,20.95676482151792,23.21200456270985
phase_mask_lateral_shift,2.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-16.98044811921108,2.3518555315337992,0.0,8.188216631529949,25.16866475074103,26.980283997320132
phase_mask_lateral_shift,2.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-14.895616214934039,2.466445499718735,0.0,9.9951892261601,24.89080544109414,27.03340698845976
phase_mask_lateral_shift,2.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-15.733352557186343,2.3398786668526825,0.0,9.378724428551473,25.11207698573782,26.961102505543174
phase_mask_lateral_shift,2.0,UCID,1338 public citation subset,phase_only_stack,0,72,-13.11595901983652,2.063166395056995,0.0,7.866603865417776,20.982562885254296,23.06411630882179
phase_mask_lateral_shift,2.0,UCID,1338 public citation subset,phase_only_stack,1,72,-10.592834523344031,2.287238111136124,0.0,10.063683435843915,20.656517959187948,23.23053303408501
phase_mask_lateral_shift,2.0,UCID,1338 public citation subset,phase_only_stack,2,72,-11.743993571875084,2.177570099254206,0.0,9.212771249642834,20.95676482151792,23.21200456270985
phase_mask_quantization,3.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-13.465343375844451,2.386308678401895,0.0,11.703321374896579,25.16866475074103,26.980283997320132
phase_mask_quantization,3.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-14.558499543724723,2.382763170324519,0.0,10.332305897369416,24.89080544109414,27.03340698845976
phase_mask_quantization,3.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-13.872395048627036,2.1595625725993797,0.0,11.239681937110781,25.11207698573782,26.961102505543174
phase_mask_quantization,3.0,UCID,1338 public citation subset,phase_only_stack,0,72,-9.406084974289566,2.051060390246642,0.0,11.57647791096473,20.982562885254296,23.06411630882179
phase_mask_quantization,3.0,UCID,1338 public citation subset,phase_only_stack,1,72,-9.91612370281077,2.495835742631369,0.0,10.740394256377177,20.656517959187948,23.23053303408501
phase_mask_quantization,3.0,UCID,1338 public citation subset,phase_only_stack,2,72,-9.663066778474636,2.219318103004428,0.0,11.293698043043282,20.95676482151792,23.21200456270985
phase_mask_quantization,4.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-10.88975578831209,2.1223165313646732,0.0,14.27890896242894,25.16866475074103,26.980283997320132
phase_mask_quantization,4.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-12.899482271195637,2.20047160513425,0.0,11.9913231698985,24.89080544109414,27.03340698845976
phase_mask_quantization,4.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-10.57555471997573,2.168445356148584,0.0,14.53652226576209,25.11207698573782,26.961102505543174
phase_mask_quantization,4.0,UCID,1338 public citation subset,phase_only_stack,0,72,-6.2962901536969245,2.2231798681318713,0.0,14.686272731557374,20.982562885254296,23.06411630882179
phase_mask_quantization,4.0,UCID,1338 public citation subset,phase_only_stack,1,72,-8.452524501797752,2.3796104399485967,0.0,12.203993457390192,20.656517959187948,23.23053303408501
phase_mask_quantization,4.0,UCID,1338 public citation subset,phase_only_stack,2,72,-6.526254367219409,2.1328420337334966,0.0,14.430510454298506,20.95676482151792,23.21200456270985
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-1.1197041892134756,0.9308472088233481,0.1111111111111111,24.05696308712896,25.176667276342435,26.931414702473123
