dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed,repeat_count,sample_count,mean_psnr_gain_over_fixed_lowres,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,clean_mean_psnr_gain_over_fixed_lowres,degradation_vs_clean_db
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,0,1,72,-1.13114415126351,24.03752059947752,25.16866475074103,26.980283997320132,-1.13114415126351,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,1,1,72,-0.9246579978410665,23.96614744325307,24.89080544109414,27.03340698845976,-0.9246579978410665,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,2,1,72,-1.2693915232595672,23.842685462478254,25.11207698573782,26.961102505543174,-1.2693915232595672,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,0,1,72,-1.149220844290415,24.019244220742635,25.16846506503305,26.98510807508084,-1.13114415126351,0.018076693026904955
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,1,1,72,-0.9233300918562636,23.963107373431555,24.88643746528782,27.0400859033449,-0.9246579978410665,-0.001327905984802924
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,2,1,72,-1.2754308412614077,23.834517456060635,25.109948297322042,26.962853326820326,-1.2693915232595672,0.0060393180018405435
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,0,1,72,-1.166108997212039,23.99702522417796,25.163134221390003,26.988302005397998,-1.13114415126351,0.034964845948529
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,1,1,72,-0.9244699635350754,23.95858352045303,24.883053483988103,27.04264427004224,-0.9246579978410665,-0.00018803430599112492
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,2,1,72,-1.2953494355063182,23.81152582854619,25.10687526405251,26.96524936863457,-1.2693915232595672,0.025957912246751036
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,0,1,72,-1.2322229233116757,23.93036803598761,25.162590959299283,27.00065377726152,-1.13114415126351,0.10107877204816562
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,1,1,72,-0.9568207301599989,23.92175276309286,24.87857349325286,27.05464144030664,-0.9246579978410665,0.03216273231893241
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,2,1,72,-1.3868270315622926,23.71774150182928,25.10456853339157,26.971841072941316,-1.2693915232595672,0.11743550830272542
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,0,4,288,-11.5216908115723,13.64697393916873,25.16866475074103,26.980283997320132,-1.13114415126351,10.39054666030879
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,1,4,288,-12.570153669224746,12.320651771869391,24.89080544109414,27.03340698845976,-0.9246579978410665,11.64549567138368
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,2,4,288,-11.803304958538334,13.308772027199485,25.11207698573782,26.961102505543174,-1.2693915232595672,10.533913435278766
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,0,4,288,-11.573319061528405,13.595146003504643,25.16846506503305,26.98510807508084,-1.13114415126351,10.442174910264896
