dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,pass_state
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21820670070948153,0.0935356244005715,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,-0.0001450109865791064,0.011480015670018932,-0.011625026656598038,0.011335004683439827,-0.2180616897229024,0.10217937672306389,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,0.0075453801945003325,0.013824913484310981,-0.006279533289810649,0.021370293678811315,-0.22575208090398188,0.10632796561777569,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,0.06786174384447992,0.030324478923477522,0.0375372649210024,0.09818622276795744,-0.28606844455396147,0.11943943286343267,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,11.570964447575824,0.3747116248135797,11.196252822762244,11.945676072389404,-11.789171148285304,0.46156735626025985,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,12.259562812500327,1.2083231957926734,11.051239616707655,13.467886008293,-12.477769513209807,1.2654577173217982,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,11.592925462981261,1.155675375933085,10.437250087048177,12.748600838914346,-11.811132163690742,1.1352672024691217,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,11.98708934626962,0.328344273058271,11.65874507321135,12.31543361932789,-12.2052960469791,0.3407257703553914,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,14.205562155163046,0.8523112545160056,13.35325090064704,15.05787340967905,-14.423768855872526,0.8878854265289905,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,14.580682046933495,1.356303391413685,13.22437865551981,15.936985438347179,-14.798888747642977,1.438730809140639,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.01,13.857827959988384,0.8674616425936398,12.990366317394745,14.725289602582023,-14.076034660697864,0.865043136798632,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.02,14.17884403550539,0.8439908142447616,13.334853221260628,15.022834849750152,-14.397050736214872,0.7968771174632198,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.0,15.747538192669502,1.14242091731055,14.605117275358952,16.88995910998005,-15.965744893378984,1.2083152594211024,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.005,15.457175914190309,0.3111727344662689,15.14600317972404,15.768348648656577,-15.67538261489979,0.3869210800058649,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.01,15.59996366427716,0.6346827790827987,14.965280885194362,16.23464644335996,-15.81817036498664,0.7153507111379958,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.02,15.77628810774493,0.6560801813368735,15.120207926408057,16.432368289081804,-15.994494808454412,0.6760492543036366,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.0,8.481704758848396,1.853161243010646,6.62854351583775,10.334866001859043,-8.699911459557878,1.8121630605716843,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.005,8.124963687118274,1.9644583708132493,6.160505316305025,10.089422057931523,-8.343170387827756,1.9236821580556838,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.01,8.3887223769206,2.264307509849672,6.124414867070927,10.653029886770272,-8.60692907763008,2.2236012868853727,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.02,8.532521138317696,2.5491037647410253,5.983417373576671,11.08162490305872,-8.750727839027178,2.532698076153993,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.0,12.461617639220465,0.6419949125735788,11.819622726646887,13.103612551794043,-12.679824339929946,0.7203755739137739,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.005,12.074850228523266,0.7453322646009896,11.329517963922276,12.820182493124255,-12.293056929232746,0.8215694574167346,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.01,12.48568368915529,0.4778812222570875,12.007802466898202,12.963564911412377,-12.70389038986477,0.39076691735150615,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.02,12.562941181667318,0.9049955386265479,11.65794564304077,13.467936720293865,-12.7811478823768,0.8149449999964694,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.0,13.830085374532127,0.5260964017367913,13.303988972795334,14.356181776268919,-14.04829207524161,0.5508508753096625,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.005,14.783612937312865,0.8419177510135857,13.94169518629928,15.625530688326451,-15.001819638022345,0.9138175139400384,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.01,14.732820898051827,0.8377552918499178,13.895065606201909,15.570576189901745,-14.951027598761309,0.8423448599925042,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.02,15.07386151016047,1.1510873151739873,13.922774194986482,16.224948825334458,-15.292068210869951,1.2365056009605606,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.0,15.873227806331991,0.34802349117201736,15.525204315159973,16.221251297504008,-16.091434507041473,0.26918598102422137,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.005,15.806303203489634,0.41904011807256686,15.387263085417066,16.2253433215622,-16.024509904199114,0.512561026767267,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.01,15.935111050364831,0.3806561684762334,15.554454881888597,16.315767218841064,-16.15331775107431,0.4684465518818917,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.02,15.750275299115705,0.3666467196714038,15.3836285794443,16.116922018787108,-15.968481999825187,0.41879741587737584,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.0,12.07047703011771,1.4603477824760907,10.61012924764162,13.5308248125938,-12.288683730827193,1.4385842369584219,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.005,12.603185443669169,1.560561048335332,11.042624395333837,14.1637464920045,-12.821392144378649,1.5126359855179092,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.01,12.172203600006405,1.48708700732494,10.685116592681466,13.659290607331345,-12.390410300715887,1.434962076838772,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.02,12.011479496701034,1.8067741773481856,10.204705319352849,13.818253674049219,-12.229686197410516,1.7823907804231063,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.0,13.19481744030094,0.5315154349299742,12.663302005370966,13.726332875230913,-13.41302414101042,0.6001355469506544,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.005,13.59193059911037,0.5564730087641773,13.035457590346192,14.148403607874547,-13.81013729981985,0.49616486302958157,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.01,13.336809458233184,0.817349503262142,12.519459954971042,14.154158961495325,-13.555016158942664,0.757476522005588,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.02,14.017835815310113,0.9015588319441091,13.116276983366003,14.919394647254222,-14.236042516019594,0.9489124704167363,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.0,14.635147583502958,0.44550492081122256,14.189642662691735,15.08065250431418,-14.853354284212438,0.5286033859752193,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.005,15.357646344845842,0.10154477071501376,15.256101574130827,15.459191115560856,-15.575853045555325,0.18309637065017786,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.01,15.07719825141299,0.6909319151387976,14.386266336274192,15.768130166551787,-15.295404952122473,0.7593540722029061,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.02,14.83234531773781,0.6576793546923734,14.174665963045436,15.490024672430183,-15.05055201844729,0.7498188359458225,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.0,16.092137218148064,0.35896743155113003,15.733169786596934,16.451104649699193,-16.310343918857544,0.4436279161211314,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.005,15.772687114430072,0.8794109775454025,14.89327613688467,16.652098091975475,-15.990893815139556,0.9596213724583947,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.01,15.667028675921046,0.6254174503735673,15.041611225547479,16.292446126294614,-15.885235376630527,0.7010117321801191,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.02,15.864468238865578,0.5780032255833693,15.286465013282209,16.442471464448946,-16.08267493957506,0.6311677841341559,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.0,14.767771156514156,0.7074531203296419,14.060318036184514,15.475224276843798,-14.985977857223636,0.6514146140303535,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.005,15.27745739384695,0.7796002290524077,14.497857164794542,16.057057622899357,-15.495664094556432,0.7689412310533557,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.01,14.712756225431923,0.2967682253636628,14.41598800006826,15.009524450795585,-14.930962926141405,0.2050731895649266,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.02,14.840015513298058,0.9955356201552255,13.844479893142832,15.835551133453283,-15.058222214007538,0.9806943350026167,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.0,15.011334998083276,0.7358321254928287,14.275502872590447,15.747167123576105,-15.229541698792756,0.6435910542958662,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.005,15.081204708900449,0.6310560099642611,14.450148698936188,15.71226071886471,-15.29941140960993,0.5440534104511613,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.01,15.138137894970106,0.30299018470047595,14.835147710269629,15.441128079670582,-15.356344595679586,0.3049979587592436,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.02,15.010247772083815,0.4881702647926882,14.522077507291128,15.498418036876503,-15.228454472793297,0.39685035034704164,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.0,15.712167509462263,0.28452180402427957,15.427645705437984,15.996689313486543,-15.930374210171744,0.35056882750711654,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.005,15.562964553606001,0.5031582574196745,15.059806296186327,16.066122811025675,-15.781171254315481,0.5507078474965221,fail
