dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,3,1,72,-0.21820670070948153,0.0935356244005715,-0.31174232511005306,-0.12467107630891003,0.0,0.0,0.0,0.0,24.83897569181485,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,3,1,72,-0.2180616897229024,0.10217937672306389,-0.3202410664459663,-0.11588231299983852,-0.0001450109865791064,0.011480015670018932,-0.011625026656598038,0.011335004683439827,24.836888586158068,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,3,1,72,-0.22575208090398188,0.10632796561777569,-0.3320800465217576,-0.1194241152862062,0.0075453801945003325,0.013824913484310981,-0.006279533289810649,0.021370293678811315,24.825268908906224,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,3,1,72,-0.28606844455396147,0.11943943286343267,-0.40550787741739414,-0.1666290116905288,0.06786174384447992,0.030324478923477522,0.0375372649210024,0.09818622276795744,24.762509217427276,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,3,4,288,-11.789171148285304,0.46156735626025985,-12.250738504545563,-11.327603792025045,11.570964447575824,0.3747116248135797,11.196252822762244,11.945676072389404,13.268011244239027,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,3,4,288,-12.477769513209807,1.2654577173217982,-13.743227230531605,-11.21231179588801,12.259562812500327,1.2083231957926734,11.051239616707655,13.467886008293,12.577180762671162,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,3,4,288,-11.811132163690742,1.1352672024691217,-12.946399366159863,-10.67586496122162,11.592925462981261,1.155675375933085,10.437250087048177,12.748600838914346,13.239888826119463,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,3,4,288,-12.2052960469791,0.3407257703553914,-12.546021817334491,-11.86457027662371,11.98708934626962,0.328344273058271,11.65874507321135,12.31543361932789,12.84328161500214,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,3,4,288,-14.423768855872526,0.8878854265289905,-15.311654282401516,-13.535883429343535,14.205562155163046,0.8523112545160056,13.35325090064704,15.05787340967905,10.633413536651803,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,3,4,288,-14.798888747642977,1.438730809140639,-16.237619556783617,-13.360157938502338,14.580682046933495,1.356303391413685,13.22437865551981,15.936985438347179,10.256061528237998,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.01,3,4,288,-14.076034660697864,0.865043136798632,-14.941077797496497,-13.210991523899231,13.857827959988384,0.8674616425936398,12.990366317394745,14.725289602582023,10.97498632911234,25.0510209898102,26.998731881358268,0.0,fail
