dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed,repeat_count,sample_count,mean_psnr_gain_over_fixed_lowres,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,clean_mean_psnr_gain_over_fixed_lowres,degradation_vs_clean_db
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,0,1,72,-0.3094482873361583,24.859216463404874,25.16866475074103,26.980283997320132,-0.3094482873361583,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,1,1,72,-0.1483274822343396,24.742477958859798,24.89080544109414,27.03340698845976,-0.1483274822343396,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,2,1,72,-0.19684433255794667,24.91523265317987,25.11207698573782,26.961102505543174,-0.19684433255794667,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,0,1,72,-0.31980034542420693,24.84866471960884,25.16846506503305,26.98510807508084,-0.3094482873361583,0.010352058088048621
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,1,1,72,-0.14743696945992754,24.73900049582789,24.88643746528782,27.0400859033449,-0.1483274822343396,-0.0008905127744120722
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,2,1,72,-0.1869477542845728,24.92300054303747,25.109948297322042,26.962853326820326,-0.19684433255794667,-0.009896578273373868
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,0,1,72,-0.3310022821397507,24.832131939250253,25.163134221390003,26.988302005397998,-0.3094482873361583,0.02155399480359238
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,1,1,72,-0.15030931157646826,24.73274417241164,24.883053483988103,27.04264427004224,-0.1483274822343396,0.0019818293421286493
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,2,1,72,-0.19594464899572664,24.910930615056785,25.10687526405251,26.96524936863457,-0.19684433255794667,-0.0008996835622200328
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,0,1,72,-0.3959619114248441,24.766629047874442,25.162590959299283,27.00065377726152,-0.3094482873361583,0.08651362408868579
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,1,1,72,-0.18548108514949424,24.693092408103364,24.87857349325286,27.05464144030664,-0.1483274822343396,0.03715360291515463
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,2,1,72,-0.276762337087546,24.827806196304024,25.10456853339157,26.971841072941316,-0.19684433255794667,0.07991800452959932
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,0,4,288,-12.167366521810026,13.001298228931004,25.16866475074103,26.980283997320132,-0.3094482873361583,11.857918234473868
