dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,max_passing_wavelength_drift_fraction,first_mean_fail_wavelength_drift_fraction,first_certain_fail_wavelength_drift_fraction,clean_point_gain_db,clean_point_state,failure_threshold_gain_db,baseline_max_passing_wavelength_drift_fraction,baseline_clean_point_gain_db,baseline_clean_point_state,robust_max_passing_wavelength_drift_fraction,robust_clean_point_gain_db,robust_clean_point_state,clean_point_gain_delta_vs_unmitigated_db,clean_point_gain_delta_vs_robustmask_db
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,,0.0,0.0,-0.44087097841919515,fail,0.0,,-1.1083978907880478,fail,,-0.2182067007094815,fail,0.6675269123688528,-0.22266427770971364
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,,0.0,0.0,-12.64562904479156,fail,0.0,,-11.965049813111795,fail,,-11.789171148285304,fail,-0.680579231679765,-0.8564578965062566
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,,0.0,0.0,-14.873952263360001,fail,0.0,,-14.043373322706673,fail,,-14.423768855872526,fail,-0.8305789406533286,-0.45018340748747576
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,,0.0,0.0,-16.306049356959303,fail,0.0,,-15.625619192475634,fail,,-15.965744893378984,fail,-0.6804301644836688,-0.34030446358031874
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,,0.0,0.0,-9.192606011424267,fail,0.0,,-7.725517566108668,fail,,-8.699911459557878,fail,-1.467088445315599,-0.4926945518663892
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,,0.0,0.0,-13.617096825259651,fail,0.0,,-12.15871393135563,fail,,-12.679824339929946,fail,-1.4583828939040213,-0.9372724853297054
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,,0.0,0.0,-15.28816672674238,fail,0.0,,-14.092729720373908,fail,,-14.04829207524161,fail,-1.195437006368472,-1.2398746515007701
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,,0.0,0.0,-16.393037721464843,fail,0.0,,-15.738799464460891,fail,,-16.091434507041473,fail,-0.6542382570039518,-0.3016032144233698
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,,0.0,0.0,-13.042576277763423,fail,0.0,,-11.53053482000696,fail,,-12.288683730827191,fail,-1.5120414577564638,-0.7538925469362319
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,,0.0,0.0,-14.49763695650781,fail,0.0,,-13.267958008297596,fail,,-13.41302414101042,fail,-1.2296789482102142,-1.0846128154973904
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,,0.0,0.0,-15.405392629462556,fail,0.0,,-14.447396387142424,fail,,-14.853354284212438,fail,-0.9579962423201316,-0.5520383452501179
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,,0.0,0.0,-15.967494594514354,fail,0.0,,-15.975174359231636,fail,,-16.310343918857544,fail,0.007679764717281046,0.3428493243431898
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,,0.0,0.0,-15.255986773035602,fail,0.0,,-14.046162212127555,fail,,-14.985977857223636,fail,-1.2098245609080465,-0.2700089158119656
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,,0.0,0.0,-15.440930523883003,fail,0.0,,-14.58599758890596,fail,,-15.229541698792756,fail,-0.8549329349770431,-0.21138882509024626
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,,0.0,0.0,-15.966608837813531,fail,0.0,,-14.92826559467038,fail,,-15.930374210171744,fail,-1.0383432431431512,-0.03623462764178775
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,,0.0,0.0,-16.275546405477005,fail,0.0,,-15.91450672652964,fail,,-16.413119729354943,fail,-0.36103967894736577,0.13757332387793753
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,,,2.3951466919836326,pass,0.0,0.02,1.640902872982333,pass,0.02,2.5992926149610134,pass,0.7542438190012997,-0.20414592297738077
UCID,1338 public citation subset,0.0,mild,0.25,0.5,,0.0,0.0,-8.305629442203829,fail,0.0,,-7.594903811601263,fail,,-7.430296191870082,fail,-0.7107256306025658,-0.875333250333747
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,,0.0,0.0,-10.618022436611836,fail,0.0,,-9.804542204893403,fail,,-9.981700646520745,fail,-0.8134802317184331,-0.6363217900910918
UCID,1338 public citation subset,0.0,severe,1.0,2.0,,0.0,0.0,-12.076321190136865,fail,0.0,,-11.429345136820388,fail,,-11.812644106865664,fail,-0.646976053316477,-0.263677083271201
UCID,1338 public citation subset,0.05,clean,0.0,0.0,,0.0,0.0,-4.728884103502328,fail,0.0,,-3.630260229214859,fail,,-4.330870185688018,fail,-1.0986238742874694,-0.3980139178143105
UCID,1338 public citation subset,0.05,mild,0.25,0.5,,0.0,0.0,-9.275097279800702,fail,0.0,,-7.765491159980706,fail,,-8.168474573594944,fail,-1.5096061198199964,-1.1066227062057585
UCID,1338 public citation subset,0.05,moderate,0.5,1.0,,0.0,0.0,-11.004066970521622,fail,0.0,,-9.815734281554834,fail,,-9.611652998964075,fail,-1.1883326889667885,-1.3924139715575468
UCID,1338 public citation subset,0.05,severe,1.0,2.0,,0.0,0.0,-12.233650996559108,fail,0.0,,-11.527719796982856,fail,,-11.792123948136084,fail,-0.705931199576252,-0.4415270484230245
UCID,1338 public citation subset,0.1,clean,0.0,0.0,,0.0,0.0,-8.465366785574771,fail,0.0,,-7.088061235243842,fail,,-7.770245915338809,fail,-1.377305550330929,-0.6951208702359617
UCID,1338 public citation subset,0.1,mild,0.25,0.5,,0.0,0.0,-10.221841546647466,fail,0.0,,-8.878718905675521,fail,,-8.94720217330998,fail,-1.343122640971945,-1.274639373337486
UCID,1338 public citation subset,0.1,moderate,0.5,1.0,,0.0,0.0,-11.06906789805658,fail,0.0,,-10.194243580667251,fail,,-10.510753598043856,fail,-0.8748243173893293,-0.5583143000127251
UCID,1338 public citation subset,0.1,severe,1.0,2.0,,0.0,0.0,-11.711242274196282,fail,0.0,,-11.741114968225776,fail,,-12.08525984077756,fail,0.02987269402949444,0.37401756658127816
UCID,1338 public citation subset,0.2,clean,0.0,0.0,,0.0,0.0,-10.950450116071929,fail,0.0,,-9.68006227960234,fail,,-10.650341810465845,fail,-1.2703878364695882,-0.30010830560608426
UCID,1338 public citation subset,0.2,mild,0.25,0.5,,0.0,0.0,-11.191235946817395,fail,0.0,,-10.23222149132129,fail,,-10.86665332303608,fail,-0.9590144554961046,-0.32458262378131586
UCID,1338 public citation subset,0.2,moderate,0.5,1.0,,0.0,0.0,-11.707037486639342,fail,0.0,,-10.57501192764359,fail,,-11.675352534099671,fail,-1.1320255589957515,-0.03168495253967052
UCID,1338 public citation subset,0.2,severe,1.0,2.0,,0.0,0.0,-12.13244880361755,fail,0.0,,-11.681163431284205,fail,,-12.191282558463396,fail,-0.451285372333345,0.05883375484584619
