dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,3,1,72,-0.44087097841919515,0.19888263554709895,-0.639753613966294,-0.2419883428720962,0.0,0.0,0.0,0.0,24.616311414105137,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,3,1,72,-0.44563506224330823,0.20070826841399592,-0.6463433306573041,-0.24492679382931232,0.004764083824113012,0.010206502460842967,-0.005442418636729955,0.01497058628495598,24.60931521363766,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,3,1,72,-0.46016283509657896,0.20396599022280085,-0.6641288253193798,-0.25619684487377814,0.019291856677383774,0.028794891899257342,-0.009503035221873568,0.048086748576641115,24.59085815471363,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,3,1,72,-0.5433717770497073,0.23878889674489542,-0.7821606737946027,-0.30458288030481184,0.10250079863051213,0.08397392208802627,0.01852687654248586,0.1864747207185384,24.50520588493153,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,3,4,288,-12.64562904479156,2.209555393302153,-14.855184438093714,-10.436073651489407,12.204758066372364,2.1172453228892887,10.087512743483074,14.322003389261653,12.411553347732768,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,3,4,288,-11.468687332746375,2.2193644635001153,-13.68805179624649,-9.24932286924626,11.027816354327179,2.0220209858400753,9.005795368487103,13.049837340167254,13.586262943134598,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,3,4,288,-13.179614910949077,1.7578230563716108,-14.937437967320689,-11.421791854577465,12.73874393252988,1.6095818079307587,11.129162124599121,14.34832574046064,11.87140607886113,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,3,4,288,-11.575182134842871,3.2627641505911535,-14.837946285434025,-8.312417984251717,11.134311156423673,3.1228090307021503,8.011502125721522,14.257120187125823,13.47339552713837,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,3,4,288,-14.873952263360001,1.2267341289071236,-16.100686392267125,-13.647218134452878,14.433081284940805,1.0765642878450454,13.35651699709576,15.50964557278585,10.18323012916433,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,3,4,288,-14.254916306276508,1.1380291636344917,-15.392945469911,-13.116887142642016,13.814045327857313,1.0817593137953163,12.732286014061996,14.89580464165263,10.800033969604463,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.01,3,4,288,-15.132213725324155,0.6016082231897577,-15.733821948513912,-14.530605502134398,14.69134274690496,0.45618008691002804,14.235162659994932,15.147522833814987,9.918807264486048,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.02,3,4,288,-15.078576784064722,1.7414567757803747,-16.820033559845097,-13.337120008284348,14.63770580564553,1.7053599245732824,12.932345881072248,16.34306573021881,9.970000877916513,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.0,3,4,288,-16.306049356959303,0.2734862303355886,-16.57953558729489,-16.032563126623714,15.865178378540106,0.08730142187066027,15.777876956669445,15.952479800410767,8.751133035565028,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.005,3,4,288,-16.490468805555928,0.5905950787990479,-17.081063884354975,-15.89987372675688,16.049597827136733,0.4951780820153833,15.554419745121349,16.544775909152115,8.564481470325042,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.01,3,4,288,-16.320008519274307,0.37333933078478726,-16.693347850059094,-15.946669188489519,15.879137540855112,0.471477321835004,15.407660219020109,16.350614862690115,8.731012470535898,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.02,3,4,288,-16.21120408349057,0.7751297483685777,-16.98633383185915,-15.436074335121994,15.770333105071378,0.5790352565741597,15.191297848497218,16.34936836164554,8.837373578490668,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.0,3,4,288,-9.192606011424267,2.112030765863481,-11.304636777287747,-7.080575245560786,8.75173503300507,2.1623815583123163,6.5893534746927545,10.914116591317388,15.86457638110006,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.005,3,4,288,-9.558424622317578,2.1067852245440166,-11.665209846861593,-7.451639397773561,9.117553643898383,2.096985138794466,7.020568505103917,11.214538782692848,15.49652565356339,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.01,3,4,288,-10.018526383544446,1.5931407094964012,-11.611667093040847,-8.425385674048044,9.577655405125247,1.7364219872896605,7.8412334178355865,11.314077392414907,15.032494606265763,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.02,3,4,288,-10.031343646331308,1.2120909192171225,-11.24343456554843,-8.819252727114186,9.590472667912113,1.2327989476755141,8.3576737202366,10.823271615587627,15.017234015649928,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.0,3,4,288,-13.617096825259651,2.4027055503227577,-16.019802375582408,-11.214391274936894,13.176225846840458,2.3304110961588207,10.845814750681637,15.506636942999279,11.44008556726468,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.005,3,4,288,-13.372787269742387,1.9672383245118694,-15.340025594254257,-11.405548945230517,12.931916291323192,1.8655314517293025,11.06638483959389,14.797447743052494,11.682163006138582,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.01,3,4,288,-12.931852715448164,1.5655106387512159,-14.49736335419938,-11.366342076696949,12.490981737028967,1.4250535772833854,11.065928159745582,13.916035314312353,12.119168274362044,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.02,3,4,288,-12.9425147366225,1.9578556272305454,-14.900370363853046,-10.984659109391956,12.501643758203306,1.8061685708668562,10.69547518733645,14.307812329070162,12.106062925358737,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.0,3,4,288,-15.28816672674238,0.5203630935020253,-15.808529820244406,-14.767803633240355,14.847295748323186,0.34754679490863116,14.499748953414555,15.194842543231816,9.769015665781948,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.005,3,4,288,-15.593008900081438,0.8593268133149781,-16.452335713396415,-14.73368208676646,15.152137921662245,0.9035025404863536,14.248635381175891,16.0556404621486,9.461941375799531,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.01,3,4,288,-15.363648778468766,0.5530576544191765,-15.916706432887942,-14.81059112404959,14.922777800049573,0.35497305761358766,14.567804742435985,15.277750857663161,9.687372211341438,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.02,3,4,288,-14.994310812099586,0.9434036257140942,-15.93771443781368,-14.050907186385492,14.553439833680393,0.7879249085639473,13.765514925116445,15.341364742244341,10.05426684988165,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.0,3,4,288,-16.393037721464843,0.43380484371988104,-16.826842565184723,-15.959232877744961,15.952166743045646,0.2405550164887771,15.71161172655687,16.192721759534425,8.664144671059487,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.005,3,4,288,-16.237689180095856,0.8301068977900783,-17.067796077885934,-15.407582282305778,15.79681820167666,0.7028702410637494,15.09394796061291,16.49968844274041,8.817261095785115,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.01,3,4,288,-16.18022073445197,0.5411619157874287,-16.7213826502394,-15.639058818664543,15.739349756032775,0.4886846632415283,15.250665092791246,16.2280344192743,8.870800255358235,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.02,3,4,288,-16.317625080968337,0.296577748921911,-16.61420282989025,-16.021047332046425,15.87675410254914,0.4031142703159606,15.47363983223318,16.279868372865103,8.730952581012902,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.0,3,4,288,-13.042576277763423,0.6095312924694798,-13.652107570232904,-12.433044985293943,12.601705299344227,0.7202200362619385,11.881485263082288,13.321925335606165,12.014606114760904,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.005,3,4,288,-12.981918660754829,0.807032509753133,-13.788951170507962,-12.174886151001695,12.541047682335636,0.8084242196874125,11.732623462648224,13.349471902023048,12.07303161512614,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.01,3,4,288,-12.813680657153654,1.1417766849428672,-13.955457342096521,-11.671903972210787,12.372809678734457,1.0954581035454038,11.277351575189053,13.468267782279861,12.237340332656553,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.02,3,4,288,-13.206888837054715,1.446977873023867,-14.653866710078582,-11.759910964030848,12.76601785863552,1.4675895797497285,11.29842827888579,14.233607438385249,11.841688824926521,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.0,3,4,288,-14.49763695650781,0.6381268781150595,-15.13576383462287,-13.85951007839275,14.056765978088613,0.4697017758916051,13.587064202197007,14.526467753980219,10.55954543601652,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.005,3,4,288,-14.213658651560117,1.7714988898031871,-15.985157541363304,-12.44215976175693,13.77278767314092,1.7371950326995853,12.035592640441335,15.509982705840505,10.841291624320855,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.01,3,4,288,-14.412332979826695,1.0886940566500283,-15.501027036476724,-13.323638923176667,13.9714620014075,0.9735607993215476,12.997901202085952,14.945022800729049,10.63868800998351,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.02,3,4,288,-13.685565859656506,0.7975577834036712,-14.483123643060178,-12.888008076252834,13.24469488123731,0.87553964581891,12.3691552354184,14.120234527056219,11.363011802324733,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.0,3,4,288,-15.405392629462556,0.6660628619819977,-16.071455491444553,-14.739329767480559,14.964521651043363,0.6744034247993267,14.290118226244036,15.638925075842689,9.651789763061773,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.005,3,4,288,-15.514803283378917,0.2542104725255932,-15.76901375590451,-15.260592810853325,15.07393230495972,0.21288169858818687,14.861050606371533,15.286814003547908,9.540146992502054,25.05495027588097,26.996015768415358,0.0,fail
