dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed,repeat_count,sample_count,mean_psnr_gain_over_fixed_lowres,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,clean_mean_psnr_gain_over_fixed_lowres,degradation_vs_clean_db
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,0,1,72,-0.6188533619376929,24.549811388803338,25.16866475074103,26.980283997320132,-0.6188533619376929,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,1,1,72,-0.2674367171836973,24.623368723910442,24.89080544109414,27.03340698845976,-0.2674367171836973,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,2,1,72,-0.43632285613619526,24.675754129601625,25.11207698573782,26.961102505543174,-0.43632285613619526,0.0
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,0,1,72,-0.6200801130238508,24.548384952009197,25.16846506503305,26.98510807508084,-0.6188533619376929,0.0012267510861578845
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,1,1,72,-0.26548616156065635,24.620951303727164,24.88643746528782,27.0400859033449,-0.2674367171836973,-0.0019505556230409726
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,2,1,72,-0.4513389121454174,24.658609385176625,25.109948297322042,26.962853326820326,-0.43632285613619526,0.015016056009222123
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,0,1,72,-0.6268498859651052,24.536284335424895,25.163134221390003,26.988302005397998,-0.6188533619376929,0.007996524027412244
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,1,1,72,-0.26888556205030384,24.614167921937803,24.883053483988103,27.04264427004224,-0.2674367171836973,0.0014488448666065135
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,2,1,72,-0.4847530572743278,24.622122206778183,25.10687526405251,26.96524936863457,-0.43632285613619526,0.04843020113813257
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,0,1,72,-0.705666773951083,24.4569241853482,25.162590959299283,27.00065377726152,-0.6188533619376929,0.0868134120133901
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,1,1,72,-0.3048277120294489,24.57374578122341,24.87857349325286,27.05464144030664,-0.2674367171836973,0.03739099484575159
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,2,1,72,-0.61962084516859,24.48494768822298,25.10456853339157,26.971841072941316,-0.43632285613619526,0.1832979890323947
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,0,4,288,-14.5717173764566,10.59694737428443,25.16866475074103,26.980283997320132,-0.6188533619376929,13.952864014518907
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,1,4,288,-12.69758104946353,12.193224391630608,24.89080544109414,27.03340698845976,-0.2674367171836973,12.430144332279832
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,2,4,288,-10.66758870845455,14.444488277283268,25.11207698573782,26.961102505543174,-0.43632285613619526,10.231265852318355
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,0,4,288,-13.31186446747115,11.856600597561899,25.16846506503305,26.98510807508084,-0.6188533619376929,12.693011105533456
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,1,4,288,-9.40756854411849,15.478868921169331,24.88643746528782,27.0400859033449,-0.2674367171836973,9.140131826934793
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,2,4,288,-11.686628986649481,13.42331931067256,25.109948297322042,26.962853326820326,-0.43632285613619526,11.250306130513286
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,0,4,288,-14.94104422691808,10.222089994471922,25.163134221390003,26.988302005397998,-0.6188533619376929,14.322190864980387
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,1,4,288,-12.592220486717544,12.290832997270561,24.883053483988103,27.04264427004224,-0.2674367171836973,12.324783769533846
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,2,4,288,-12.005580019211605,13.101295244840905,25.10687526405251,26.96524936863457,-0.43632285613619526,11.56925716307541
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,0,4,288,-14.786462092381157,10.376128866918128,25.162590959299283,27.00065377726152,-0.6188533619376929,14.167608730443463
