method,object_id,fixed_psnr_lowres,guided_psnr_lowres,method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
phase_only_stack,natural_object_eval_object_00,26.761397083260086,28.203795996094097,25.12531692281587,-1.636080160444216,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_01,29.280019767186864,29.88855062261497,28.017094492447473,-1.2629252747393913,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_02,23.729149713734806,25.041307899826077,22.75093310923851,-0.9782166044962963,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_03,25.281016212952807,26.383786520111812,23.808029030092918,-1.4729871828598888,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_04,26.228848875267026,27.30693974945074,24.076106698468976,-2.15274217679805,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_05,24.11596052223843,25.65806263156493,22.981160811412302,-1.1347997108261296,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_06,25.70490625102257,27.008338821399818,24.483575813620888,-1.221330437401683,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_07,21.605922750868988,23.16890919384299,21.192874974931648,-0.4130477759373399,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_08,24.574931648663846,25.27960817232838,23.44507035721877,-1.1298612914450743,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_09,25.72687137189792,26.765139198695927,23.970492176826326,-1.7563791950715952,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_10,27.240342910415904,28.403698049288142,26.209750094454968,-1.0305928159609365,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_11,21.10153436555518,22.32987344444367,22.345631052683373,1.2440966871281915,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_00,27.7124921582196,29.682409064414674,25.508039070571336,-2.2044530876482646,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_01,30.35935587138447,32.343297586571985,28.599109030006904,-1.7602468413775654,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_02,24.337118845515402,26.774618967287324,22.928122801134393,-1.4089960443810092,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_03,25.337556954253003,26.99160208672295,23.7012024491814,-1.6363545050716013,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_04,26.000978698810616,27.550394077293667,23.98948249752221,-2.0114962012884057,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_05,23.928953243300075,25.694395438934553,22.759476842711504,-1.1694764005885716,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_06,26.55535453296903,28.741508288712645,24.787744789316474,-1.7676097436525566,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_07,22.246608011468446,24.29950975889212,21.49589871389683,-0.7507092975716176,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_08,24.682652435450997,26.401775612869343,23.172712464878288,-1.5099399705727095,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_09,26.03509499288373,28.105843222831687,24.289627598346428,-1.7454673945373038,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_10,27.487783962454735,29.31711556864469,26.394159523024566,-1.0936244394301688,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
