condition_family,condition_level,dataset_name,robust_mean_psnr_gain_over_fixed_lowres,robust_better_than_fixed_fraction,baseline_mean_psnr_gain_over_fixed_lowres,baseline_better_than_fixed_fraction,gain_delta_vs_baseline,condition
clean_reference,0.0,Kodak-PCD0992,-0.2182066351494748,0.375,-1.1083977770498856,0.1203703703703703,0.8901911419004108,clean_reference:0.0
clean_reference,0.0,UCID,2.5992925535582234,0.9861111111111112,1.6409028192375472,0.8148148148148148,0.9583897343206762,clean_reference:0.0
phase_mask_lateral_shift,1.0,Kodak-PCD0992,-0.3332593193276914,0.324074074074074,-15.67318525582323,0.0,15.339925936495538,phase_mask_lateral_shift:1.0
phase_mask_lateral_shift,1.0,UCID,2.33289966693076,0.9629629629629628,-11.435260336354704,0.0,13.768160003285464,phase_mask_lateral_shift:1.0
phase_mask_lateral_shift,2.0,Kodak-PCD0992,-16.56275642094957,0.0,-15.86980563044382,0.0,-0.6929507905057477,phase_mask_lateral_shift:2.0
phase_mask_lateral_shift,2.0,UCID,-12.346381391554402,0.0,-11.817595705018546,0.0,-0.5287856865358567,phase_mask_lateral_shift:2.0
phase_mask_quantization,3.0,Kodak-PCD0992,-0.327367205891341,0.324074074074074,-13.965412656065403,0.0,13.638045450174063,phase_mask_quantization:3.0
phase_mask_quantization,3.0,UCID,2.414001465499803,0.9675925925925926,-9.661758485191658,0.0,12.07575995069146,phase_mask_quantization:3.0
phase_mask_quantization,4.0,Kodak-PCD0992,-0.2535854440644686,0.3564814814814814,-11.454930926494486,0.0,11.201345482430018,phase_mask_quantization:4.0
phase_mask_quantization,4.0,UCID,2.597164642825427,0.9722222222222222,-7.091689674238029,0.0,9.688854317063456,phase_mask_quantization:4.0
