sample_id,psnr_fixed,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,method,object_family,aberration_id,psnr_guided,better_than_fixed,condition
Kodak-PCD0992:kodim01,26.76139708326009,25.49944469152603,-1.2619523917340558,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim02,29.280019767186864,27.73333876084307,-1.546681006343796,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim03,23.72914971373481,24.002955276081583,0.2738055623467801,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim04,25.281016212952807,24.422293478090573,-0.8587227348622335,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim05,26.228848875267023,24.10735636843688,-2.121492506830148,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim06,24.11596052223843,25.113227846662085,0.9972673244236532,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim07,25.70490625102257,25.47761805506369,-0.2272881959588808,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim08,21.605922750868988,22.37695490120226,0.7710321503332729,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim09,24.57493164866385,24.48471376298749,-0.0902178856763598,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim10,25.72687137189792,25.265572842891004,-0.4612985290069176,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim11,27.240342910415904,26.085926697393997,-1.1544162130219109,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim12,21.10153436555518,23.781792874470653,2.680258508915472,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim01,27.7124921582196,26.001602103167887,-1.7108900550517134,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim02,30.35935587138447,28.443887059638957,-1.915468811745516,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim03,24.3371188455154,24.435482862140844,0.0983640166254424,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim04,25.337556954253003,24.28662913518632,-1.0509278190666826,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim05,26.000978698810616,24.199997986356173,-1.800980712454443,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim06,23.928953243300075,24.714234441769392,0.7852811984693169,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim07,26.55535453296903,25.554953175341137,-1.0004013576278936,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim08,22.24660801146845,22.74829728824798,0.5016892767795333,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim09,24.682652435451,24.085934208442517,-0.5967182270084841,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim10,26.03509499288373,25.77107471771488,-0.2640202751688498,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim11,27.48778396245473,26.198725780900944,-1.2890581815537914,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
