config_id,repeat_seed,split,sample,condition,phase_mix,wrongref_mode,psnr_db,mse
1,0,train,cross,ordinary,0.18,anti_phase,13.112296,0.0488394
1,0,train,diag,ordinary,0.18,anti_phase,12.547065,0.05562801
1,0,train,box,ordinary,0.18,anti_phase,12.140954,0.06108078
1,0,train,bars,ordinary,0.18,anti_phase,13.27993,0.04699017
1,0,train,ring,ordinary,0.18,anti_phase,13.643967,0.04321189
1,0,train,chevron,ordinary,0.18,anti_phase,13.645571,0.04319593
1,0,train,cross,common_path,0.18,anti_phase,12.876063,0.05156959
1,0,train,diag,common_path,0.18,anti_phase,9.991904,0.1001866
1,0,train,box,common_path,0.18,anti_phase,11.839972,0.06546404
1,0,train,bars,common_path,0.18,anti_phase,12.6076,0.05485801
1,0,train,ring,common_path,0.18,anti_phase,12.069698,0.06209123
1,0,train,chevron,common_path,0.18,anti_phase,10.779951,0.08356125
1,0,train,cross,noncommon_path,0.18,anti_phase,12.911738,0.05114772
1,0,train,diag,noncommon_path,0.18,anti_phase,10.519575,0.08872428
1,0,train,box,noncommon_path,0.18,anti_phase,11.806802,0.06596595
1,0,train,bars,noncommon_path,0.18,anti_phase,12.133598,0.06118432
1,0,train,ring,noncommon_path,0.18,anti_phase,12.245716,0.059625
1,0,train,chevron,noncommon_path,0.18,anti_phase,10.414096,0.09090556
1,0,train,cross,wrong_reference,0.18,anti_phase,12.956031,0.05062872
1,0,train,diag,wrong_reference,0.18,anti_phase,12.05981,0.06223276
1,0,train,box,wrong_reference,0.18,anti_phase,12.183703,0.0604825
1,0,train,bars,wrong_reference,0.18,anti_phase,12.780413,0.05271798
1,0,train,ring,wrong_reference,0.18,anti_phase,12.457391,0.05678857
1,0,train,chevron,wrong_reference,0.18,anti_phase,11.254735,0.07490771
1,0,ood,disk,ordinary,0.18,anti_phase,13.592875,0.04372326
1,0,ood,two_spots,ordinary,0.18,anti_phase,13.323584,0.0465202
1,0,ood,frame,ordinary,0.18,anti_phase,9.421738,0.1142421
1,0,ood,disk,common_path,0.18,anti_phase,14.099527,0.03890875
1,0,ood,two_spots,common_path,0.18,anti_phase,13.834135,0.04136057
1,0,ood,frame,common_path,0.18,anti_phase,9.566495,0.110497
1,0,ood,disk,noncommon_path,0.18,anti_phase,13.714388,0.04251686
1,0,ood,two_spots,noncommon_path,0.18,anti_phase,13.723941,0.04242345
