config_id,repeat_seed,phase_mix,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
1,0,0.18,anti_phase,12.112732,12.500052,12.296707,12.515486,0.38732,0.203345,-0.015434
1,1,0.18,anti_phase,12.266938,12.418268,12.539106,12.365812,0.15133,-0.120838,0.052456
1,2,0.18,anti_phase,11.886038,12.605029,12.456185,12.380218,0.718991,0.148844,0.224811
1,3,0.18,anti_phase,12.140423,12.649739,12.376897,12.461349,0.509316,0.272842,0.18839
1,4,0.18,anti_phase,12.202075,12.492911,12.568334,12.352296,0.290836,-0.075423,0.140615
1,5,0.18,anti_phase,12.021714,12.453178,12.397349,12.556015,0.431464,0.055828,-0.102838
1,6,0.18,anti_phase,12.143449,12.654807,12.627503,12.494502,0.511358,0.027304,0.160305
1,7,0.18,anti_phase,12.09128,12.539272,12.652613,12.577424,0.447992,-0.113341,-0.038151
1,8,0.18,anti_phase,12.194331,12.590891,12.207336,12.61138,0.39656,0.383555,-0.020489
1,9,0.18,anti_phase,12.176661,12.424784,12.47329,12.34247,0.248123,-0.048507,0.082313
2,0,0.185,anti_phase,12.063038,12.6503,12.480184,12.665188,0.587262,0.170116,-0.014888
2,1,0.185,anti_phase,12.102405,12.500779,12.583687,12.564289,0.398374,-0.082908,-0.06351
2,2,0.185,anti_phase,12.221418,12.639573,12.535538,12.445582,0.418154,0.104035,0.19399
2,3,0.185,anti_phase,12.04525,12.637136,12.464695,12.522326,0.591885,0.17244,0.114809
2,4,0.185,anti_phase,12.02041,12.679024,12.536333,12.459287,0.658614,0.142691,0.219737
2,5,0.185,anti_phase,11.974272,12.452984,12.269517,12.618443,0.478712,0.183466,-0.165459
2,6,0.185,anti_phase,12.067682,12.510759,12.432062,12.624666,0.443078,0.078698,-0.113906
2,7,0.185,anti_phase,11.992941,12.577496,12.638486,12.468817,0.584555,-0.06099,0.108679
2,8,0.185,anti_phase,11.918936,12.668031,12.63682,12.494613,0.749095,0.031211,0.173418
2,9,0.185,anti_phase,11.96809,12.48385,12.533637,12.584948,0.51576,-0.049787,-0.101099
3,0,0.19,anti_phase,11.980747,12.361848,12.629087,12.537249,0.381101,-0.267239,-0.175401
3,1,0.19,anti_phase,12.008065,12.492385,12.57304,12.413389,0.48432,-0.080656,0.078996
3,2,0.19,anti_phase,12.1877,12.53092,12.415685,12.454531,0.34322,0.115235,0.076389
3,3,0.19,anti_phase,12.112224,12.507201,12.602962,12.637152,0.394977,-0.095761,-0.129951
3,4,0.19,anti_phase,12.300328,12.322322,12.628846,12.525961,0.021994,-0.306524,-0.203638
3,5,0.19,anti_phase,12.036781,12.485972,12.415378,12.396508,0.449191,0.070594,0.089464
3,6,0.19,anti_phase,12.157132,12.467077,12.315666,12.46759,0.309945,0.151411,-0.000513
3,7,0.19,anti_phase,12.176648,12.492955,12.355838,12.564603,0.316307,0.137118,-0.071648
3,8,0.19,anti_phase,12.003569,12.541879,12.503921,12.661601,0.53831,0.037958,-0.119723
3,9,0.19,anti_phase,12.009102,12.649295,12.486621,12.618461,0.640193,0.162673,0.030833
4,0,0.195,anti_phase,12.044453,12.388152,12.489716,12.533574,0.343699,-0.101564,-0.145423
4,1,0.195,anti_phase,12.032597,12.557286,12.58251,12.521848,0.524689,-0.025224,0.035437
4,2,0.195,anti_phase,12.042485,12.456401,12.529491,12.691275,0.413916,-0.07309,-0.234874
4,3,0.195,anti_phase,11.936868,12.589868,12.352255,12.439693,0.653,0.237614,0.150176
4,4,0.195,anti_phase,11.941158,12.606294,12.280458,12.240509,0.665136,0.325836,0.365785
4,5,0.195,anti_phase,12.197311,12.509083,12.613046,12.561459,0.311772,-0.103963,-0.052376
4,6,0.195,anti_phase,11.984827,12.595622,12.429557,12.540098,0.610795,0.166065,0.055524
4,7,0.195,anti_phase,12.102013,12.663988,12.453062,12.551557,0.561975,0.210925,0.11243
4,8,0.195,anti_phase,12.007026,12.408925,12.486198,12.523452,0.401899,-0.077274,-0.114527
4,9,0.195,anti_phase,11.965134,12.532746,12.595727,12.339493,0.567612,-0.062981,0.193253
5,0,0.2,anti_phase,11.953925,12.621546,12.521114,12.608066,0.667621,0.100431,0.013479
5,1,0.2,anti_phase,12.176013,12.300829,12.476261,12.301521,0.124816,-0.175432,-0.000692
5,2,0.2,anti_phase,12.055807,12.54337,12.622732,12.464982,0.487563,-0.079362,0.078388
5,3,0.2,anti_phase,12.103148,12.639805,12.544563,12.487625,0.536657,0.095243,0.15218
5,4,0.2,anti_phase,12.04427,12.407378,12.553784,12.519296,0.363108,-0.146406,-0.111918
5,5,0.2,anti_phase,12.143727,12.521811,12.663231,12.321588,0.378085,-0.141419,0.200223
5,6,0.2,anti_phase,12.100971,12.453529,12.64665,12.481595,0.352558,-0.193121,-0.028065
5,7,0.2,anti_phase,12.100926,12.420902,12.616153,12.785734,0.319976,-0.195251,-0.364832
5,8,0.2,anti_phase,12.169007,12.47469,12.528289,12.456054,0.305682,-0.053599,0.018636
5,9,0.2,anti_phase,12.11716,12.746373,12.553246,12.645421,0.629214,0.193127,0.100953
6,0,0.205,anti_phase,12.074912,12.552039,12.582206,12.391164,0.477127,-0.030168,0.160875
6,1,0.205,anti_phase,12.048527,12.537685,12.420352,12.670479,0.489159,0.117334,-0.132794
6,2,0.205,anti_phase,12.092791,12.457156,12.344483,12.447668,0.364365,0.112674,0.009488
6,3,0.205,anti_phase,12.043761,12.54958,12.448234,12.506066,0.505818,0.101345,0.043514
6,4,0.205,anti_phase,11.97565,12.441554,12.376973,12.607594,0.465903,0.06458,-0.166041
6,5,0.205,anti_phase,12.182305,12.355848,12.573334,12.343103,0.173544,-0.217486,0.012746
6,6,0.205,anti_phase,12.09674,12.448775,12.592206,12.426719,0.352034,-0.143431,0.022056
6,7,0.205,anti_phase,11.962844,12.503576,12.622033,12.563915,0.540732,-0.118457,-0.060339
6,8,0.205,anti_phase,11.849844,12.423241,12.321847,12.598171,0.573397,0.101395,-0.174929
6,9,0.205,anti_phase,11.890704,12.653464,12.524855,12.341919,0.76276,0.128609,0.311546
7,0,0.21,anti_phase,11.996797,12.442813,12.566631,12.702068,0.446015,-0.123818,-0.259256
