config_id,repeat_seed,num_layers,reference_weight,phase_mix,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
1,0,1,0.16,0.14,task_matched_decoy,12.111423,12.561258,12.500763,12.484481,0.449835,0.060495,0.076777
1,1,1,0.16,0.14,task_matched_decoy,12.060812,12.558495,12.324684,12.430521,0.497683,0.233811,0.127974
1,2,1,0.16,0.14,task_matched_decoy,12.159872,12.617505,12.4325,12.734592,0.457633,0.185005,-0.117087
1,3,1,0.16,0.14,task_matched_decoy,11.989484,12.567994,12.367839,12.296525,0.57851,0.200156,0.271469
1,4,1,0.16,0.14,task_matched_decoy,12.06378,12.552207,12.566103,12.752016,0.488427,-0.013896,-0.199809
1,5,1,0.16,0.14,task_matched_decoy,12.037386,12.554068,12.492436,12.520218,0.516682,0.061632,0.03385
1,6,1,0.16,0.14,task_matched_decoy,12.016409,12.50685,12.350889,12.441779,0.490441,0.155961,0.065071
1,7,1,0.16,0.14,task_matched_decoy,12.078644,12.905966,12.487225,12.378533,0.827321,0.41874,0.527432
2,0,1,0.16,0.15,task_matched_decoy,11.935673,12.576831,12.400716,12.629803,0.641158,0.176115,-0.052972
2,1,1,0.16,0.15,task_matched_decoy,12.108804,12.500606,12.526993,12.439024,0.391802,-0.026386,0.061582
2,2,1,0.16,0.15,task_matched_decoy,12.050798,12.477719,12.514552,12.509558,0.426921,-0.036832,-0.031839
2,3,1,0.16,0.15,task_matched_decoy,11.897585,12.488135,12.524635,12.490672,0.59055,-0.0365,-0.002536
2,4,1,0.16,0.15,task_matched_decoy,11.973494,12.640607,12.576772,12.44661,0.667113,0.063835,0.193998
2,5,1,0.16,0.15,task_matched_decoy,12.15501,12.398514,12.256891,12.748108,0.243504,0.141622,-0.349594
2,6,1,0.16,0.15,task_matched_decoy,11.83181,12.48264,12.47036,12.5938,0.650831,0.01228,-0.11116
2,7,1,0.16,0.15,task_matched_decoy,12.074306,12.558818,12.366263,12.492622,0.484512,0.192556,0.066196
3,0,1,0.16,0.16,task_matched_decoy,11.932331,12.525641,12.488547,12.478645,0.59331,0.037095,0.046996
3,1,1,0.16,0.16,task_matched_decoy,12.091529,12.33893,12.305194,12.530017,0.247401,0.033736,-0.191087
3,2,1,0.16,0.16,task_matched_decoy,12.09984,12.441788,12.562947,12.511265,0.341948,-0.121159,-0.069477
3,3,1,0.16,0.16,task_matched_decoy,12.108752,12.51604,12.649274,12.569716,0.407288,-0.133235,-0.053677
3,4,1,0.16,0.16,task_matched_decoy,12.054991,12.424846,12.532566,12.536935,0.369855,-0.10772,-0.11209
3,5,1,0.16,0.16,task_matched_decoy,12.046806,12.41283,12.385042,12.531784,0.366024,0.027788,-0.118954
3,6,1,0.16,0.16,task_matched_decoy,11.933691,12.545903,12.529231,12.552311,0.612212,0.016672,-0.006408
3,7,1,0.16,0.16,task_matched_decoy,12.160189,12.527505,12.548433,12.588798,0.367316,-0.020928,-0.061293
4,0,1,0.16,0.17,task_matched_decoy,12.116127,12.475107,12.51201,12.300325,0.35898,-0.036903,0.174782
4,1,1,0.16,0.17,task_matched_decoy,12.166986,12.281763,12.636369,12.56884,0.114777,-0.354606,-0.287077
4,2,1,0.16,0.17,task_matched_decoy,12.037808,12.429156,12.42527,12.658125,0.391348,0.003886,-0.228969
4,3,1,0.16,0.17,task_matched_decoy,12.107133,12.564171,12.377634,12.539123,0.457038,0.186537,0.025048
4,4,1,0.16,0.17,task_matched_decoy,12.011883,12.598766,12.543216,12.411791,0.586883,0.05555,0.186975
4,5,1,0.16,0.17,task_matched_decoy,12.157272,12.579483,12.434822,12.621898,0.422211,0.144661,-0.042416
4,6,1,0.16,0.17,task_matched_decoy,12.271052,12.550572,12.503319,12.769227,0.279519,0.047253,-0.218655
4,7,1,0.16,0.17,task_matched_decoy,12.148372,12.489009,12.492746,12.683978,0.340637,-0.003737,-0.19497
5,0,1,0.16,0.18,task_matched_decoy,12.275589,12.416271,12.572631,12.732971,0.140682,-0.156361,-0.316701
5,1,1,0.16,0.18,task_matched_decoy,12.166292,12.459081,12.428469,12.52244,0.292789,0.030612,-0.06336
5,2,1,0.16,0.18,task_matched_decoy,12.111938,12.404317,12.316105,12.66428,0.292379,0.088212,-0.259963
5,3,1,0.16,0.18,task_matched_decoy,12.191607,12.409492,12.491786,12.61981,0.217885,-0.082294,-0.210318
5,4,1,0.16,0.18,task_matched_decoy,12.156498,12.257899,12.483276,12.489832,0.101401,-0.225376,-0.231933
