config_id,num_layers,reference_weight,phase_mix,wrongref_mode,repeat_count,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_ordinary_db_std,common_minus_noncommon_db_mean,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_db_std,ranking_score
9,1,0.16,0.17,anti_phase_plus_decoy,8,0.491473,0.345809,0.11519,0.079364,0.100578,-0.013324,0.089597,0.339986
1,1,0.16,0.14,task_matched_decoy,8,0.538317,0.449835,0.115314,0.162738,0.09821,-0.199809,0.210951,0.116067
7,1,0.16,0.15,anti_phase_plus_decoy,8,0.398499,0.268991,0.086809,-0.068756,-0.009815,-0.170229,0.114426,-0.090499
3,1,0.16,0.16,task_matched_decoy,8,0.413169,0.247401,0.117716,-0.033469,-0.070749,-0.191087,0.067916,-0.186654
8,1,0.16,0.16,anti_phase_plus_decoy,8,0.50247,0.246885,0.201308,0.058202,0.003042,-0.3338,0.167125,-0.205532
2,1,0.16,0.15,task_matched_decoy,8,0.512049,0.243504,0.141738,0.060836,-0.028291,-0.349594,0.149083,-0.257139
10,1,0.16,0.18,anti_phase_plus_decoy,8,0.462742,0.373353,0.063674,0.05961,-0.035797,-0.288865,0.215498,-0.261015
4,1,0.16,0.17,task_matched_decoy,8,0.368924,0.114777,0.128499,0.00533,-0.07316,-0.287077,0.175278,-0.361203
6,1,0.16,0.14,anti_phase_plus_decoy,8,0.374532,0.050787,0.159789,-0.05804,-0.115369,-0.393208,0.176255,-0.553958
5,1,0.16,0.18,task_matched_decoy,8,0.296014,0.101401,0.134906,-0.044885,-0.153958,-0.316701,0.154315,-0.565716
