repeat_seed,sample,ordinary_psnr_db,common_psnr_db,noncommon_psnr_db,wrongref_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db,wrongref_minus_ordinary_db,wrongref_beats_common,noncommon_beats_common
0,frame,9.370901,9.380036,9.461502,9.538068,0.009135,-0.081466,-0.158032,0.167167,True,True
0,two_spots,13.419118,14.076091,14.059687,14.112303,0.656973,0.016404,-0.036212,0.693185,True,False
1,frame,9.307827,9.451308,9.462661,9.505302,0.143481,-0.011353,-0.053994,0.197475,True,True
1,two_spots,13.131704,14.072374,13.741294,13.822185,0.94067,0.33108,0.250189,0.690481,False,False
2,frame,9.363921,9.359322,9.531921,9.458038,-0.004599,-0.172599,-0.098716,0.094117,True,True
2,two_spots,13.346328,14.004812,13.954274,13.982448,0.658484,0.050538,0.022364,0.63612,False,False
3,frame,9.327096,9.649496,9.463897,9.395703,0.3224,0.185599,0.253793,0.068607,False,False
3,two_spots,13.256625,13.871371,13.934463,13.888911,0.614746,-0.063092,-0.01754,0.632286,True,True
4,frame,9.309891,9.500563,9.481,9.552471,0.190672,0.019563,-0.051908,0.24258,True,False
4,two_spots,13.261714,13.888388,13.983517,13.886073,0.626674,-0.095129,0.002315,0.624359,False,True
5,frame,9.327411,9.494159,9.415756,9.476725,0.166748,0.078403,0.017434,0.149314,False,False
5,two_spots,13.207098,14.148937,13.959227,13.868138,0.941839,0.18971,0.280799,0.66104,False,False
6,frame,9.237106,9.422115,9.350209,9.269843,0.185009,0.071906,0.152272,0.032737,False,False
6,two_spots,13.272418,13.951078,13.702315,14.005545,0.67866,0.248763,-0.054467,0.733127,True,False
7,frame,9.327984,9.579296,9.338549,9.371552,0.251312,0.240747,0.207744,0.043568,False,False
7,two_spots,13.211418,14.273264,14.017785,14.141954,1.061846,0.255479,0.13131,0.930536,False,False
