config_id,repeat_seed,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db,risk_pair_q10_db_repeat,risk_pair_min_db_repeat,risk_pair_positive_fraction_repeat
1,0,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.123803,12.466211,12.385127,12.374601,0.342408,0.081084,0.09161,-0.131391,-0.154406,0.5
1,1,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.013044,12.432137,12.463798,12.487033,0.419094,-0.031661,-0.054896,-0.149178,-0.158588,0.0
1,2,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.218804,12.537695,12.527512,12.231438,0.318892,0.010184,0.306258,0.009809,0.005768,1.0
1,3,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.931051,12.587989,12.421068,12.635099,0.656938,0.166921,-0.047109,-0.269655,-0.312027,0.5
1,4,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.113385,12.374818,12.521802,12.231914,0.261433,-0.146984,0.142904,-0.134936,-0.164616,0.5
1,5,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.07395,12.557301,12.388224,12.599771,0.483351,0.169077,-0.04247,-0.137078,-0.150543,0.0
1,6,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.157451,12.500281,12.332423,12.291283,0.34283,0.167858,0.208998,0.09895,0.097293,1.0
1,7,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.026256,12.638262,12.707694,12.639865,0.612006,-0.069432,-0.001603,-0.149579,-0.167499,0.5
2,0,1,0.14,0.16,1.0,anti_phase_plus_decoy,11.98171,12.447772,12.570334,12.404354,0.466062,-0.122561,0.043418,0.021147,0.007964,1.0
2,1,1,0.14,0.16,1.0,anti_phase_plus_decoy,12.108274,12.716523,12.457336,12.488319,0.60825,0.259187,0.228204,0.229244,0.174303,1.0
2,2,1,0.14,0.16,1.0,anti_phase_plus_decoy,11.952945,12.507713,12.29396,12.458817,0.554769,0.213754,0.048897,-0.161461,-0.210059,0.5
