config_id,repeat_seed,sample,reference_weight,phase_mix,input_phase_coupling,common_minus_wrongref_db,common_minus_ordinary_db
1,0,frame,0.14,0.16,0.9,0.075744,0.294308
1,0,two_spots,0.14,0.16,0.9,-0.154406,0.461205
1,1,frame,0.14,0.16,0.9,-0.064489,0.115112
1,1,two_spots,0.14,0.16,0.9,-0.158588,0.555343
1,2,frame,0.14,0.16,0.9,0.04618,0.165398
1,2,two_spots,0.14,0.16,0.9,0.005768,0.616968
1,3,frame,0.14,0.16,0.9,0.111695,0.120735
1,3,two_spots,0.14,0.16,0.9,-0.312027,0.493456
1,4,frame,0.14,0.16,0.9,0.132178,0.106477
1,4,two_spots,0.14,0.16,0.9,-0.164616,0.419877
1,5,frame,0.14,0.16,0.9,-0.015885,0.121098
1,5,two_spots,0.14,0.16,0.9,-0.150543,0.826861
1,6,frame,0.14,0.16,0.9,0.11387,0.315479
1,6,two_spots,0.14,0.16,0.9,0.097293,0.475946
1,7,frame,0.14,0.16,0.9,0.011695,0.260688
1,7,two_spots,0.14,0.16,0.9,-0.167499,0.549354
2,0,frame,0.14,0.16,1.0,0.007964,0.099624
2,0,two_spots,0.14,0.16,1.0,0.139793,0.813794
2,1,frame,0.14,0.16,1.0,0.174303,0.263582
2,1,two_spots,0.14,0.16,1.0,0.723717,1.148776
2,2,frame,0.14,0.16,1.0,-0.210059,0.092663
2,2,two_spots,0.14,0.16,1.0,0.275923,0.684976
2,3,frame,0.14,0.16,1.0,-0.034819,0.013165
2,3,two_spots,0.14,0.16,1.0,-0.805313,0.639592
2,4,frame,0.14,0.16,1.0,0.103906,0.386244
2,4,two_spots,0.14,0.16,1.0,-0.230634,0.643831
2,5,frame,0.14,0.16,1.0,-0.063934,0.129501
2,5,two_spots,0.14,0.16,1.0,0.3435,0.699408
2,6,frame,0.14,0.16,1.0,-0.02227,0.179968
2,6,two_spots,0.14,0.16,1.0,-0.240862,0.718132
2,7,frame,0.14,0.16,1.0,-0.176819,0.307468
2,7,two_spots,0.14,0.16,1.0,0.480485,1.073435
3,0,frame,0.14,0.16,1.1,0.079143,0.166042
3,0,two_spots,0.14,0.16,1.1,-0.046779,0.672476
3,1,frame,0.14,0.16,1.1,0.0605,0.22583
3,1,two_spots,0.14,0.16,1.1,0.686084,1.165898
3,2,frame,0.14,0.16,1.1,-0.053454,0.107968
3,2,two_spots,0.14,0.16,1.1,-0.020441,0.533514
3,3,frame,0.14,0.16,1.1,-0.204553,0.06101
3,3,two_spots,0.14,0.16,1.1,0.108121,0.950635
3,4,frame,0.14,0.16,1.1,0.112598,0.192746
