config_id,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,repeat_count,risk_pair_q10_db,risk_pair_min_db,risk_pair_positive_fraction,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,ranking_score
4,1,0.16,0.16,0.9,anti_phase_plus_decoy,8,-0.130955,-0.164229,0.5625,0.481722,0.164352,0.048397,-0.249543,0.127906
28,1,0.16,0.18,0.9,anti_phase_plus_decoy,8,-0.148178,-0.337792,0.5625,0.39356,0.243451,0.086863,-0.059098,-0.150999
42,1,0.16,0.19,1.1,anti_phase_plus_decoy,8,-0.155928,-0.236077,0.4375,0.399033,0.310927,-0.022852,-0.192457,-0.168071
11,1,0.2,0.16,1.0,anti_phase_plus_decoy,8,-0.152223,-0.304231,0.5,0.399545,0.172818,0.000199,-0.333583,-0.185776
1,1,0.14,0.16,0.9,anti_phase_plus_decoy,8,-0.166058,-0.312027,0.5,0.429619,0.261433,0.075462,-0.054896,-0.202636
30,1,0.16,0.18,1.1,anti_phase_plus_decoy,8,-0.167509,-0.330964,0.5,0.46622,0.280619,0.02686,-0.205409,-0.224068
21,1,0.18,0.17,1.1,anti_phase_plus_decoy,8,-0.201035,-0.248842,0.4375,0.420814,0.131573,0.038468,-0.042545,-0.275179
3,1,0.14,0.16,1.1,anti_phase_plus_decoy,8,-0.216197,-0.338365,0.5625,0.469575,0.262608,0.012129,-0.191648,-0.306276
17,1,0.16,0.17,1.0,anti_phase_plus_decoy,8,-0.195259,-0.217306,0.25,0.438835,0.206261,0.077029,-0.036058,-0.357975
10,1,0.2,0.16,0.9,anti_phase_plus_decoy,8,-0.173005,-0.460344,0.5625,0.416925,0.287921,0.048776,-0.282014,-0.358401
