config_id,repeat_seed,split,sample,condition,wrongref_mode,encoding_mode,psnr_db,mse
1,0,train,cross,ordinary,edge_echo_decoy,baseline,13.296592,0.04681023
1,0,train,diag,ordinary,edge_echo_decoy,baseline,12.882957,0.05148779
1,0,train,box,ordinary,edge_echo_decoy,baseline,12.214958,0.06004879
1,0,train,bars,ordinary,edge_echo_decoy,baseline,13.225498,0.04758282
1,0,train,ring,ordinary,edge_echo_decoy,baseline,13.784654,0.0418345
1,0,train,chevron,ordinary,edge_echo_decoy,baseline,13.616225,0.04348881
1,0,train,cross,common_path,edge_echo_decoy,baseline,12.912253,0.05114164
1,0,train,diag,common_path,edge_echo_decoy,baseline,9.990916,0.10020938
1,0,train,box,common_path,edge_echo_decoy,baseline,11.79981,0.06607224
1,0,train,bars,common_path,edge_echo_decoy,baseline,12.496269,0.05628246
1,0,train,ring,common_path,edge_echo_decoy,baseline,12.449787,0.05688809
1,0,train,chevron,common_path,edge_echo_decoy,baseline,10.515694,0.08880361
1,0,train,cross,noncommon_path,edge_echo_decoy,baseline,12.868584,0.05165847
1,0,train,diag,noncommon_path,edge_echo_decoy,baseline,10.526998,0.08857276
1,0,train,box,noncommon_path,edge_echo_decoy,baseline,11.809258,0.06592866
1,0,train,bars,noncommon_path,edge_echo_decoy,baseline,12.707898,0.05360561
1,0,train,ring,noncommon_path,edge_echo_decoy,baseline,11.912616,0.06437814
1,0,train,chevron,noncommon_path,edge_echo_decoy,baseline,11.092893,0.07775185
1,0,train,cross,wrong_reference,edge_echo_decoy,baseline,13.729454,0.04236963
1,0,train,diag,wrong_reference,edge_echo_decoy,baseline,12.49921,0.05624436
1,0,train,box,wrong_reference,edge_echo_decoy,baseline,12.766013,0.05289306
1,0,train,bars,wrong_reference,edge_echo_decoy,baseline,13.885109,0.04087795
1,0,train,ring,wrong_reference,edge_echo_decoy,baseline,13.236125,0.04746653
1,0,train,chevron,wrong_reference,edge_echo_decoy,baseline,13.088924,0.04910295
1,0,ood,disk,ordinary,edge_echo_decoy,baseline,13.221708,0.04762437
1,0,ood,two_spots,ordinary,edge_echo_decoy,baseline,13.324844,0.04650671
1,0,ood,frame,ordinary,edge_echo_decoy,baseline,9.28929,0.11777986
1,0,ood,disk,common_path,edge_echo_decoy,baseline,13.791046,0.04177297
1,0,ood,two_spots,common_path,edge_echo_decoy,baseline,14.09399,0.03895839
1,0,ood,frame,common_path,edge_echo_decoy,baseline,9.41027,0.11454417
1,0,ood,disk,noncommon_path,edge_echo_decoy,baseline,13.440089,0.04528883
1,0,ood,two_spots,noncommon_path,edge_echo_decoy,baseline,13.810719,0.04158418
1,0,ood,frame,noncommon_path,edge_echo_decoy,baseline,9.407358,0.114621
1,0,ood,disk,wrong_reference,edge_echo_decoy,baseline,13.44131,0.0452761
1,0,ood,two_spots,wrong_reference,edge_echo_decoy,baseline,14.530867,0.03523005
1,0,ood,frame,wrong_reference,edge_echo_decoy,baseline,9.862848,0.10320843
1,1,train,cross,ordinary,edge_echo_decoy,baseline,13.228465,0.04755032
1,1,train,diag,ordinary,edge_echo_decoy,baseline,13.605157,0.04359978
1,1,train,box,ordinary,edge_echo_decoy,baseline,12.29163,0.05899796
1,1,train,bars,ordinary,edge_echo_decoy,baseline,13.303113,0.04674
1,1,train,ring,ordinary,edge_echo_decoy,baseline,13.483316,0.04484028
1,1,train,chevron,ordinary,edge_echo_decoy,baseline,13.5706,0.04394809
1,1,train,cross,common_path,edge_echo_decoy,baseline,12.858218,0.05178193
1,1,train,diag,common_path,edge_echo_decoy,baseline,11.070383,0.07815589
1,1,train,box,common_path,edge_echo_decoy,baseline,11.817496,0.06580371
1,1,train,bars,common_path,edge_echo_decoy,baseline,12.368825,0.05795855
1,1,train,ring,common_path,edge_echo_decoy,baseline,12.088359,0.06182499
1,1,train,chevron,common_path,edge_echo_decoy,baseline,10.687109,0.08536682
1,1,train,cross,noncommon_path,edge_echo_decoy,baseline,12.864239,0.05171018
1,1,train,diag,noncommon_path,edge_echo_decoy,baseline,10.56863,0.08772776
1,1,train,box,noncommon_path,edge_echo_decoy,baseline,11.78097,0.06635948
1,1,train,bars,noncommon_path,edge_echo_decoy,baseline,12.153032,0.06091115
1,1,train,ring,noncommon_path,edge_echo_decoy,baseline,11.943148,0.06392713
1,1,train,chevron,noncommon_path,edge_echo_decoy,baseline,10.752054,0.08409973
1,1,train,cross,wrong_reference,edge_echo_decoy,baseline,13.654711,0.04310512
1,1,train,diag,wrong_reference,edge_echo_decoy,baseline,13.202243,0.0478383
1,1,train,box,wrong_reference,edge_echo_decoy,baseline,12.920078,0.05104959
1,1,train,bars,wrong_reference,edge_echo_decoy,baseline,13.683513,0.0428202
1,1,train,ring,wrong_reference,edge_echo_decoy,baseline,13.773491,0.04194217
1,1,train,chevron,wrong_reference,edge_echo_decoy,baseline,12.062727,0.06219097
1,1,ood,disk,ordinary,edge_echo_decoy,baseline,13.26707,0.04712952
1,1,ood,two_spots,ordinary,edge_echo_decoy,baseline,13.369898,0.04602673
1,1,ood,frame,ordinary,edge_echo_decoy,baseline,9.256608,0.11866952
1,1,ood,disk,common_path,edge_echo_decoy,baseline,13.466888,0.04501023
1,1,ood,two_spots,common_path,edge_echo_decoy,baseline,14.271533,0.03739786
1,1,ood,frame,common_path,edge_echo_decoy,baseline,9.664261,0.10803735
1,1,ood,disk,noncommon_path,edge_echo_decoy,baseline,13.977076,0.04002141
1,1,ood,two_spots,noncommon_path,edge_echo_decoy,baseline,13.94276,0.0403389
1,1,ood,frame,noncommon_path,edge_echo_decoy,baseline,9.387321,0.11515105
1,1,ood,disk,wrong_reference,edge_echo_decoy,baseline,14.75216,0.03347989
1,1,ood,two_spots,wrong_reference,edge_echo_decoy,baseline,14.517717,0.03533689
1,1,ood,frame,wrong_reference,edge_echo_decoy,baseline,9.914553,0.10198696
1,2,train,cross,ordinary,edge_echo_decoy,baseline,13.187249,0.04800374
1,2,train,diag,ordinary,edge_echo_decoy,baseline,12.638105,0.05447403
1,2,train,box,ordinary,edge_echo_decoy,baseline,12.144659,0.0610287
1,2,train,bars,ordinary,edge_echo_decoy,baseline,13.286079,0.04692369
1,2,train,ring,ordinary,edge_echo_decoy,baseline,13.492024,0.04475047
1,2,train,chevron,ordinary,edge_echo_decoy,baseline,13.716543,0.04249577
