repeat_seed,split,sample,condition,wrongref_mode,encoding_mode,psnr_db,mse
0,train,cross,ordinary,sparse_tracker_decoy,occupancy_guarded,13.010401,0.04999883
0,train,diag,ordinary,sparse_tracker_decoy,occupancy_guarded,13.332428,0.04642556
0,train,box,ordinary,sparse_tracker_decoy,occupancy_guarded,12.055756,0.06229087
0,train,bars,ordinary,sparse_tracker_decoy,occupancy_guarded,13.249268,0.0473231
0,train,ring,ordinary,sparse_tracker_decoy,occupancy_guarded,13.461481,0.0450663
0,train,chevron,ordinary,sparse_tracker_decoy,occupancy_guarded,13.619939,0.04345164
0,train,cross,common_path,sparse_tracker_decoy,occupancy_guarded,13.482866,0.04484493
0,train,diag,common_path,sparse_tracker_decoy,occupancy_guarded,13.111345,0.04885011
0,train,box,common_path,sparse_tracker_decoy,occupancy_guarded,12.507536,0.05613664
0,train,bars,common_path,sparse_tracker_decoy,occupancy_guarded,13.949413,0.04027715
0,train,ring,common_path,sparse_tracker_decoy,occupancy_guarded,13.456054,0.04512265
0,train,chevron,common_path,sparse_tracker_decoy,occupancy_guarded,12.805907,0.05240942
0,train,cross,noncommon_path,sparse_tracker_decoy,occupancy_guarded,13.621429,0.04343673
0,train,diag,noncommon_path,sparse_tracker_decoy,occupancy_guarded,13.538615,0.04427295
0,train,box,noncommon_path,sparse_tracker_decoy,occupancy_guarded,12.479601,0.05649888
0,train,bars,noncommon_path,sparse_tracker_decoy,occupancy_guarded,13.65826,0.04306991
0,train,ring,noncommon_path,sparse_tracker_decoy,occupancy_guarded,13.48251,0.04484862
0,train,chevron,noncommon_path,sparse_tracker_decoy,occupancy_guarded,13.098223,0.04899793
0,train,cross,wrong_reference,sparse_tracker_decoy,occupancy_guarded,13.341944,0.04632396
0,train,diag,wrong_reference,sparse_tracker_decoy,occupancy_guarded,13.945422,0.04031418
0,train,box,wrong_reference,sparse_tracker_decoy,occupancy_guarded,12.210279,0.06011352
0,train,bars,wrong_reference,sparse_tracker_decoy,occupancy_guarded,13.649281,0.04315905
0,train,ring,wrong_reference,sparse_tracker_decoy,occupancy_guarded,13.608094,0.04357031
0,train,chevron,wrong_reference,sparse_tracker_decoy,occupancy_guarded,12.755092,0.05302623
0,ood,disk,ordinary,sparse_tracker_decoy,occupancy_guarded,13.708833,0.04257128
0,ood,two_spots,ordinary,sparse_tracker_decoy,occupancy_guarded,13.618623,0.0434648
0,ood,frame,ordinary,sparse_tracker_decoy,occupancy_guarded,9.293187,0.1176742
0,ood,disk,common_path,sparse_tracker_decoy,occupancy_guarded,14.66593,0.03415128
0,ood,two_spots,common_path,sparse_tracker_decoy,occupancy_guarded,13.932599,0.04043339
0,ood,frame,common_path,sparse_tracker_decoy,occupancy_guarded,9.783562,0.10510995
0,ood,disk,noncommon_path,sparse_tracker_decoy,occupancy_guarded,13.85685,0.0411448
0,ood,two_spots,noncommon_path,sparse_tracker_decoy,occupancy_guarded,14.045243,0.03939814
0,ood,frame,noncommon_path,sparse_tracker_decoy,occupancy_guarded,9.821799,0.10418859
0,ood,disk,wrong_reference,sparse_tracker_decoy,occupancy_guarded,14.223513,0.03781366
0,ood,two_spots,wrong_reference,sparse_tracker_decoy,occupancy_guarded,13.828008,0.04141896
0,ood,frame,wrong_reference,sparse_tracker_decoy,occupancy_guarded,9.619004,0.10916907
1,train,cross,ordinary,sparse_tracker_decoy,occupancy_guarded,13.058227,0.04945126
