repeat_seed,sample,wrongref_mode,encoding_mode,common_minus_wrongref_db,common_minus_ordinary_db
0,frame,sparse_tracker_decoy,occupancy_guarded,0.164558,0.490374
0,two_spots,sparse_tracker_decoy,occupancy_guarded,0.104591,0.313975
1,frame,sparse_tracker_decoy,occupancy_guarded,0.245286,0.425873
1,two_spots,sparse_tracker_decoy,occupancy_guarded,0.294155,0.362743
2,frame,sparse_tracker_decoy,occupancy_guarded,0.103055,0.387368
2,two_spots,sparse_tracker_decoy,occupancy_guarded,0.061192,0.326932
3,frame,sparse_tracker_decoy,occupancy_guarded,0.27524,0.585764
3,two_spots,sparse_tracker_decoy,occupancy_guarded,0.618397,0.847264
4,frame,sparse_tracker_decoy,occupancy_guarded,0.13581,0.367723
4,two_spots,sparse_tracker_decoy,occupancy_guarded,0.244088,0.515063
5,frame,sparse_tracker_decoy,occupancy_guarded,0.194377,0.519416
5,two_spots,sparse_tracker_decoy,occupancy_guarded,0.561039,0.815396
6,frame,sparse_tracker_decoy,occupancy_guarded,0.217376,0.554412
6,two_spots,sparse_tracker_decoy,occupancy_guarded,0.285103,0.554767
7,frame,sparse_tracker_decoy,occupancy_guarded,0.258952,0.564244
7,two_spots,sparse_tracker_decoy,occupancy_guarded,0.514621,0.562522
8,frame,sparse_tracker_decoy,occupancy_guarded,0.171705,0.402372
8,two_spots,sparse_tracker_decoy,occupancy_guarded,0.63213,0.620942
9,frame,sparse_tracker_decoy,occupancy_guarded,0.36297,0.493207
9,two_spots,sparse_tracker_decoy,occupancy_guarded,-0.024772,0.540949
10,frame,sparse_tracker_decoy,occupancy_guarded,0.150747,0.369649
10,two_spots,sparse_tracker_decoy,occupancy_guarded,0.594452,0.802208
11,frame,sparse_tracker_decoy,occupancy_guarded,0.131299,0.438698
11,two_spots,sparse_tracker_decoy,occupancy_guarded,0.010357,0.030892
12,frame,sparse_tracker_decoy,occupancy_guarded,0.295963,0.522448
12,two_spots,sparse_tracker_decoy,occupancy_guarded,0.57355,0.733513
13,frame,sparse_tracker_decoy,occupancy_guarded,0.200693,0.381547
13,two_spots,sparse_tracker_decoy,occupancy_guarded,0.469587,0.63514
