repeat_seed,sample,condition,psnr_db,mse
0,disk,ordinary,13.708833,0.04257128
0,two_spots,ordinary,13.618623,0.0434648
0,frame,ordinary,9.293187,0.1176742
0,diamond,ordinary,13.999925,0.03981141
0,corner_dots,ordinary,14.133779,0.03860309
0,half_ring,ordinary,15.90954,0.02564756
0,triple_bars,ordinary,13.20047,0.04785782
0,offcenter_disk,ordinary,13.047844,0.04956962
0,zigzag,ordinary,11.399243,0.07245623
0,disk,common_path,14.66593,0.03415128
0,two_spots,common_path,13.932599,0.04043339
0,frame,common_path,9.783562,0.10510995
0,diamond,common_path,14.407487,0.03624526
0,corner_dots,common_path,14.595805,0.03470719
0,half_ring,common_path,16.270796,0.02360046
0,triple_bars,common_path,13.133591,0.04860052
0,offcenter_disk,common_path,13.301887,0.0467532
0,zigzag,common_path,10.963317,0.0801066
0,disk,noncommon_path,13.85685,0.0411448
0,two_spots,noncommon_path,14.045243,0.03939814
0,frame,noncommon_path,9.821799,0.10418859
0,diamond,noncommon_path,14.350246,0.03672615
0,corner_dots,noncommon_path,14.546684,0.03510197
0,half_ring,noncommon_path,16.234279,0.02379973
0,triple_bars,noncommon_path,13.090945,0.04908011
0,offcenter_disk,noncommon_path,13.465427,0.04502537
0,zigzag,noncommon_path,10.984742,0.07971238
0,disk,wrong_reference,14.223513,0.03781366
0,two_spots,wrong_reference,13.828008,0.04141896
0,frame,wrong_reference,9.619004,0.10916907
0,diamond,wrong_reference,13.946174,0.0403072
0,corner_dots,wrong_reference,14.720163,0.03372747
0,half_ring,wrong_reference,15.827258,0.02613811
0,triple_bars,wrong_reference,13.138621,0.04854426
0,offcenter_disk,wrong_reference,13.198577,0.04787869
0,zigzag,wrong_reference,11.510243,0.07062781
1,disk,ordinary,13.945838,0.04031032
1,two_spots,ordinary,13.429882,0.0453954
1,frame,ordinary,9.309933,0.11722136
1,diamond,ordinary,13.74977,0.04217188
1,corner_dots,ordinary,14.087278,0.03901864
1,half_ring,ordinary,15.847985,0.02601366
1,triple_bars,ordinary,13.184898,0.04802974
1,offcenter_disk,ordinary,12.419402,0.05728749
1,zigzag,ordinary,10.936027,0.08061156
1,disk,common_path,14.395584,0.03634474
1,two_spots,common_path,13.792625,0.04175779
1,frame,common_path,9.735805,0.10627215
1,diamond,common_path,14.87592,0.03253929
1,corner_dots,common_path,14.339092,0.0368206
1,half_ring,common_path,16.134039,0.02435545
1,triple_bars,common_path,12.899041,0.05129746
1,offcenter_disk,common_path,13.601477,0.04363674
1,zigzag,common_path,10.878287,0.08169046
1,disk,noncommon_path,14.399499,0.036312
1,two_spots,noncommon_path,14.071734,0.03915855
1,frame,noncommon_path,9.791365,0.10492127
1,diamond,noncommon_path,14.402584,0.03628621
1,corner_dots,noncommon_path,14.928172,0.03215013
