repeat_seed,sample,common_minus_wrongref_db,common_minus_ordinary_db
0,disk,0.442417,0.957097
0,two_spots,0.104591,0.313976
0,frame,0.164558,0.490375
0,diamond,0.461313,0.407562
0,corner_dots,-0.124358,0.462026
0,half_ring,0.443538,0.361256
0,triple_bars,-0.00503,-0.066879
0,offcenter_disk,0.10331,0.254043
0,zigzag,-0.546926,-0.435926
1,disk,0.536249,0.449746
1,two_spots,0.294155,0.362743
1,frame,0.245285,0.425872
1,diamond,0.636713,1.12615
1,corner_dots,0.273735,0.251814
1,half_ring,-0.247129,0.286054
1,triple_bars,-0.292639,-0.285857
1,offcenter_disk,0.424173,1.182075
1,zigzag,-0.752164,-0.05774
2,disk,0.305683,1.627875
2,two_spots,0.061193,0.326932
2,frame,0.103055,0.387368
2,diamond,0.556991,0.804137
2,corner_dots,0.231711,0.443998
2,half_ring,-0.319864,0.280728
2,triple_bars,-0.208644,-0.011397
2,offcenter_disk,0.60831,0.877318
2,zigzag,-0.417429,-0.370653
3,disk,0.666899,0.736275
3,two_spots,0.618397,0.847264
3,frame,0.275239,0.585764
3,diamond,0.055546,0.645074
3,corner_dots,0.138385,0.322235
3,half_ring,-0.042675,0.093586
3,triple_bars,0.078452,0.098909
3,offcenter_disk,-0.048105,0.333913
3,zigzag,-0.496659,-0.321505
4,disk,0.076872,0.946984
4,two_spots,0.244088,0.515063
4,frame,0.13581,0.367723
4,diamond,0.024158,0.686289
4,corner_dots,-0.011347,0.407237
4,half_ring,-0.185798,0.191992
4,triple_bars,-0.273746,-0.132795
4,offcenter_disk,1.301844,1.165251
4,zigzag,-0.539025,0.115525
5,disk,-0.074594,0.889656
5,two_spots,0.561038,0.815396
5,frame,0.194377,0.519416
5,diamond,0.319123,0.817654
5,corner_dots,0.035017,0.424706
5,half_ring,-0.042633,0.350508
5,triple_bars,-0.315959,-0.093574
5,offcenter_disk,0.374085,0.484797
5,zigzag,-0.266786,-0.406624
6,disk,-0.360071,0.972772
6,two_spots,0.285103,0.554767
6,frame,0.217376,0.554412
6,diamond,0.699681,0.874425
6,corner_dots,0.177514,0.565187
6,half_ring,-0.041416,-0.137511
6,triple_bars,0.077856,0.012873
6,offcenter_disk,0.080663,1.055392
6,zigzag,-1.204329,-0.533514
7,disk,0.705688,1.195062
7,two_spots,0.51462,0.562521
7,frame,0.258952,0.564243
7,diamond,-0.245706,0.413568
7,corner_dots,-0.042983,0.429594
7,half_ring,-0.372726,0.093348
7,triple_bars,-0.271059,-0.209502
7,offcenter_disk,-0.991508,0.03504
7,zigzag,0.144193,0.087635
8,disk,0.590268,0.663864
8,two_spots,0.63213,0.620943
8,frame,0.171705,0.402372
8,diamond,0.581887,0.80877
8,corner_dots,0.27758,0.340119
8,half_ring,0.663923,0.461182
8,triple_bars,-0.06343,0.089592
8,offcenter_disk,0.726187,1.070463
8,zigzag,0.51938,0.533943
9,disk,0.761621,1.551129
9,two_spots,-0.024772,0.54095
9,frame,0.36297,0.493207
9,diamond,0.23694,1.09604
9,corner_dots,0.537979,0.441271
9,half_ring,-0.216193,0.026728
9,triple_bars,-0.008005,-0.094027
9,offcenter_disk,-0.048431,0.455661
9,zigzag,-0.092936,0.208442
10,disk,-0.065912,0.60132
10,two_spots,0.594452,0.802208
10,frame,0.150746,0.369649
10,diamond,0.025923,0.127451
10,corner_dots,0.274145,0.475402
10,half_ring,0.248204,0.51275
10,triple_bars,0.159617,0.127037
10,offcenter_disk,0.75919,1.259592
10,zigzag,-0.196461,0.163738
11,disk,0.500902,0.822666
11,two_spots,0.010357,0.030892
11,frame,0.131298,0.438698
11,diamond,0.275398,1.319452
11,corner_dots,0.175639,0.461879
11,half_ring,0.166523,0.319563
11,triple_bars,-0.255241,-0.089626
11,offcenter_disk,-0.08324,0.836292
11,zigzag,-0.523714,-0.185784
12,disk,0.145925,0.570289
12,two_spots,0.57355,0.733513
12,frame,0.295963,0.522448
12,diamond,0.615405,1.114532
12,corner_dots,-0.242455,-0.098431
12,half_ring,-0.428507,-0.110991
12,triple_bars,-0.191118,0.111428
12,offcenter_disk,0.19091,0.492615
12,zigzag,-0.50391,-0.200505
13,disk,-0.403977,0.654197
13,two_spots,0.469587,0.635141
13,frame,0.200693,0.381546
13,diamond,-0.341463,0.806258
13,corner_dots,0.11516,0.292831
13,half_ring,-0.086178,0.432064
13,triple_bars,-0.05265,0.056149
13,offcenter_disk,-0.232277,1.088267
13,zigzag,-0.698091,-0.48984
