repeat_seed,expanded_ood_count,common_minus_ordinary_db,common_minus_wrongref_db,expanded_pair_q10_repeat,expanded_pair_min_repeat,expanded_pair_positive_fraction_repeat
0,9,0.304836,0.115935,-0.208872,-0.546926,0.666667
1,9,0.415651,0.124264,-0.384544,-0.752164,0.666667
2,9,0.485145,0.102334,-0.339377,-0.417429,0.666667
3,9,0.371279,0.138387,-0.137816,-0.496659,0.666667
4,9,0.473697,0.085873,-0.326802,-0.539025,0.555556
5,9,0.422437,0.087074,-0.276621,-0.315959,0.555556
6,9,0.435423,-0.007514,-0.528923,-1.204329,0.666667
7,9,0.35239,-0.033392,-0.496482,-0.991508,0.444444
8,9,0.554583,0.455514,0.124678,-0.06343,0.888889
9,9,0.524378,0.167686,-0.117587,-0.216193,0.444444
10,9,0.493239,0.216656,-0.092022,-0.196461,0.777778
11,9,0.439337,0.044214,-0.308936,-0.523714,0.666667
12,9,0.348322,0.05064,-0.443588,-0.50391,0.555556
13,9,0.428513,-0.114355,-0.4628,-0.698091,0.333333
