split,sample,condition,psnr_db,mse
train,cross,ordinary,11.875106,0.06493658
train,cross,common_path,8.888376,0.12917023
train,cross,noncommon_path,9.864145,0.10317762
train,cross,wrong_reference,9.2729,0.11822519
train,diag,ordinary,10.756434,0.08401496
train,diag,common_path,9.164968,0.12120017
train,diag,noncommon_path,7.604808,0.17358781
train,diag,wrong_reference,8.949348,0.12736943
train,box,ordinary,10.433333,0.09050378
train,box,common_path,8.148223,0.15317142
train,box,noncommon_path,8.095946,0.15502631
train,box,wrong_reference,9.400048,0.11481408
train,bars,ordinary,11.404085,0.07237548
train,bars,common_path,8.74818,0.13340805
train,bars,noncommon_path,9.062425,0.12409593
train,bars,wrong_reference,9.657481,0.10820614
train,ring,ordinary,11.145363,0.07681812
train,ring,common_path,8.859732,0.13002498
train,ring,noncommon_path,7.922769,0.16133296
train,ring,wrong_reference,8.78701,0.13222055
train,chevron,ordinary,12.826887,0.05215684
train,chevron,common_path,8.955152,0.12719933
train,chevron,noncommon_path,8.622024,0.13734019
train,chevron,wrong_reference,9.036974,0.1248253
ood,disk,ordinary,12.64093,0.0544386
ood,disk,common_path,11.252012,0.07495469
ood,disk,noncommon_path,11.497671,0.07083256
ood,disk,wrong_reference,11.263592,0.07475509
ood,two_spots,ordinary,13.137277,0.04855928
ood,two_spots,common_path,12.335905,0.05839954
ood,two_spots,noncommon_path,11.868269,0.06503888
ood,two_spots,wrong_reference,12.738759,0.05322603
ood,frame,ordinary,9.874822,0.10292428
ood,frame,common_path,8.673364,0.13572616
ood,frame,noncommon_path,8.705554,0.13472389
ood,frame,wrong_reference,8.490482,0.14156367
