config_id,num_layers,reference_weight,phase_mix,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
2,1,0.2,0.35,11.888711,12.563404,12.639057,12.576496,0.674693,-0.075653,-0.013091
1,1,0.2,0.15,11.906189,12.535983,12.404549,12.555836,0.629795,0.131435,-0.019853
3,1,0.2,0.55,12.053087,12.563809,12.349672,12.659194,0.510723,0.214137,-0.095385
33,3,0.2,0.55,11.870873,12.26696,12.256822,12.259265,0.396087,0.010138,0.007696
32,3,0.2,0.35,11.930631,12.325107,12.129916,12.309556,0.394477,0.195191,0.015551
16,2,0.2,0.15,12.14296,12.51529,12.267729,12.503722,0.37233,0.24756,0.011568
17,2,0.2,0.35,12.003353,12.284498,12.215033,12.602204,0.281146,0.069466,-0.317705
18,2,0.2,0.55,12.021147,12.284018,12.470538,12.578807,0.26287,-0.18652,-0.29479
31,3,0.2,0.15,11.899924,12.044746,11.909621,12.255968,0.144822,0.135125,-0.211222
21,2,0.4,0.55,11.83126,11.641925,11.817411,12.043253,-0.189335,-0.175487,-0.401328
5,1,0.4,0.35,11.938025,11.639726,11.82799,12.115784,-0.298299,-0.188264,-0.476058
4,1,0.4,0.15,12.034598,11.708431,11.827053,11.967784,-0.326167,-0.118622,-0.259353
36,3,0.4,0.55,11.686925,11.337643,11.430059,11.698418,-0.349282,-0.092415,-0.360774
35,3,0.4,0.35,11.765721,11.379807,11.419258,11.817887,-0.385914,-0.039451,-0.438081
19,2,0.4,0.15,12.132933,11.68436,11.910262,12.029038,-0.448573,-0.225902,-0.344678
6,1,0.4,0.55,12.176412,11.716076,11.84397,11.962491,-0.460336,-0.127894,-0.246415
20,2,0.4,0.35,12.177079,11.60193,11.953892,12.119951,-0.575149,-0.351962,-0.518021
34,3,0.4,0.15,12.008296,11.401261,11.497354,11.718473,-0.607035,-0.096092,-0.317212
9,1,0.65,0.55,11.893278,10.989166,10.582085,10.932336,-0.904112,0.407081,0.05683
24,2,0.65,0.55,11.767182,10.700967,10.974461,11.011031,-1.066214,-0.273494,-0.310064
22,2,0.65,0.15,12.109017,10.764629,10.68183,11.087075,-1.344388,0.082799,-0.322446
8,1,0.65,0.35,12.160349,10.784341,10.630596,11.081982,-1.376008,0.153745,-0.297641
7,1,0.65,0.15,12.081859,10.660761,10.821212,11.044217,-1.421098,-0.160451,-0.383456
23,2,0.65,0.35,12.03068,10.503955,10.48077,11.152112,-1.526725,0.023185,-0.648157
38,3,0.65,0.35,11.970365,10.170003,10.19764,10.67286,-1.800362,-0.027638,-0.502857
12,1,0.9,0.55,12.04812,10.154297,10.023022,10.367664,-1.893823,0.131275,-0.213367
41,3,0.9,0.35,11.728961,9.829825,9.650894,9.712753,-1.899137,0.178931,0.117071
27,2,0.9,0.55,12.03434,10.127559,9.715257,9.946483,-1.906781,0.412302,0.181077
37,3,0.65,0.15,12.082864,10.130197,10.392452,10.854883,-1.952667,-0.262255,-0.724686
10,1,0.9,0.15,12.157061,10.080062,9.892654,10.396837,-2.076999,0.187409,-0.316775
26,2,0.9,0.35,11.93874,9.835576,9.62035,10.314827,-2.103163,0.215226,-0.47925
42,3,0.9,0.55,11.756989,9.603834,9.406897,9.52614,-2.153155,0.196937,0.077695
25,2,0.9,0.15,11.999591,9.842377,9.989743,10.052533,-2.157215,-0.147366,-0.210156
15,1,1.1,0.55,12.110009,9.843619,9.38928,9.742515,-2.26639,0.454339,0.101103
39,3,0.65,0.55,11.99903,9.709462,9.926849,10.604843,-2.289568,-0.217387,-0.895381
11,1,0.9,0.35,12.166743,9.82391,9.929175,10.20906,-2.342833,-0.105265,-0.38515
28,2,1.1,0.15,11.967293,9.586548,9.319709,9.751928,-2.380745,0.266839,-0.16538
30,2,1.1,0.55,12.013513,9.460592,9.168737,9.458463,-2.55292,0.291856,0.002129
40,3,0.9,0.15,12.070183,9.449291,9.229595,9.579497,-2.620892,0.219696,-0.130207
45,3,1.1,0.55,12.101451,9.469921,8.974762,9.539466,-2.63153,0.495158,-0.069546
29,2,1.1,0.35,12.057718,9.386256,9.021067,9.778937,-2.671461,0.365189,-0.392681
14,1,1.1,0.35,12.014899,9.292268,9.389508,9.541547,-2.722632,-0.09724,-0.249279
43,3,1.1,0.15,11.742882,8.99083,8.543887,8.638975,-2.752052,0.446943,0.351855
13,1,1.1,0.15,12.141476,9.082364,9.429513,9.725777,-3.059112,-0.347149,-0.643413
44,3,1.1,0.35,11.977853,8.916026,8.788988,9.257197,-3.061826,0.127039,-0.34117
