config_id,num_layers,reference_weight,phase_mix,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
2,1,0.2,0.35,11.888711,12.563404,12.639057,12.576496,0.674693,-0.075653,-0.013091
1,1,0.2,0.15,11.906189,12.535983,12.404549,12.555836,0.629795,0.131435,-0.019853
3,1,0.2,0.55,12.053087,12.563809,12.349672,12.659194,0.510723,0.214137,-0.095385
33,3,0.2,0.55,11.870873,12.26696,12.256822,12.259265,0.396087,0.010138,0.007696
32,3,0.2,0.35,11.930631,12.325107,12.129916,12.309556,0.394477,0.195191,0.015551
16,2,0.2,0.15,12.14296,12.51529,12.267729,12.503722,0.37233,0.24756,0.011568
17,2,0.2,0.35,12.003353,12.284498,12.215033,12.602204,0.281146,0.069466,-0.317705
18,2,0.2,0.55,12.021147,12.284018,12.470538,12.578807,0.26287,-0.18652,-0.29479
31,3,0.2,0.15,11.899924,12.044746,11.909621,12.255968,0.144822,0.135125,-0.211222
21,2,0.4,0.55,11.83126,11.641925,11.817411,12.043253,-0.189335,-0.175487,-0.401328
