config_id,repeat_seed,num_layers,reference_weight,phase_mix,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
1,0,1,0.12,0.05,11.791395,12.609935,12.4137,12.56172,0.81854,0.196235,0.048215
1,1,1,0.12,0.05,12.075364,12.287221,12.461922,12.480038,0.211857,-0.174701,-0.192817
1,2,1,0.12,0.05,12.192104,12.37919,12.480749,12.644054,0.187086,-0.101559,-0.264864
1,3,1,0.12,0.05,11.98058,12.271524,12.62955,12.478073,0.290944,-0.358027,-0.206549
2,0,1,0.12,0.1,12.125578,12.561372,12.516625,12.348695,0.435794,0.044747,0.212677
2,1,1,0.12,0.1,11.967149,12.282477,12.49107,12.532378,0.315328,-0.208593,-0.2499
2,2,1,0.12,0.1,12.072823,12.420787,12.452801,12.500506,0.347964,-0.032014,-0.079719
2,3,1,0.12,0.1,11.941473,12.61883,12.402938,12.597038,0.677357,0.215892,0.021792
3,0,1,0.12,0.15,12.265969,12.552411,12.557668,12.592641,0.286442,-0.005257,-0.04023
3,1,1,0.12,0.15,12.022386,12.420904,12.189332,12.419939,0.398519,0.231572,0.000965
3,2,1,0.12,0.15,12.155518,12.415075,12.563804,12.470309,0.259557,-0.148729,-0.055234
3,3,1,0.12,0.15,12.058932,12.418509,12.538272,12.699659,0.359577,-0.119763,-0.28115
4,0,1,0.12,0.2,11.989626,12.457997,12.581656,12.42346,0.468371,-0.123659,0.034537
4,1,1,0.12,0.2,12.120917,12.652416,12.561761,12.822658,0.531499,0.090655,-0.170243
4,2,1,0.12,0.2,12.130948,12.585886,12.339715,12.616601,0.454938,0.246171,-0.030715
4,3,1,0.12,0.2,11.923552,12.399966,12.478848,12.668937,0.476414,-0.078882,-0.268971
5,0,1,0.12,0.25,11.993141,12.453502,12.505637,12.392157,0.460361,-0.052135,0.061345
5,1,1,0.12,0.25,12.047559,12.466727,12.466657,12.622735,0.419168,7e-05,-0.156008
5,2,1,0.12,0.25,12.26669,12.676467,12.578146,12.704025,0.409777,0.09832,-0.027558
5,3,1,0.12,0.25,12.101949,12.271554,12.381019,12.571534,0.169605,-0.109465,-0.299979
6,0,1,0.16,0.05,12.072173,12.493267,12.510776,12.408689,0.421095,-0.017508,0.084579
6,1,1,0.16,0.05,12.150634,12.292017,12.472227,12.379064,0.141384,-0.18021,-0.087047
6,2,1,0.16,0.05,11.962751,12.645107,12.454721,12.481695,0.682355,0.190385,0.163412
6,3,1,0.16,0.05,12.031856,12.411827,12.554127,12.660605,0.379972,-0.1423,-0.248777
7,0,1,0.16,0.1,12.140319,12.500704,12.353971,12.590494,0.360385,0.146733,-0.089789
7,1,1,0.16,0.1,12.122964,12.330038,12.516398,12.519922,0.207074,-0.186359,-0.189884
7,2,1,0.16,0.1,11.905427,12.416736,12.547742,12.598112,0.511308,-0.131007,-0.181376
7,3,1,0.16,0.1,11.928021,12.537779,12.654715,12.640961,0.609758,-0.116936,-0.103182
8,0,1,0.16,0.15,12.104389,12.494447,12.433944,12.401772,0.390058,0.060503,0.092675
8,1,1,0.16,0.15,11.990905,12.424624,12.491362,12.732116,0.433719,-0.066738,-0.307492
8,2,1,0.16,0.15,12.188276,12.654187,12.219692,12.397841,0.465911,0.434495,0.256346
8,3,1,0.16,0.15,12.155743,12.618966,12.39387,12.41355,0.463223,0.225096,0.205416
9,0,1,0.16,0.2,12.068925,12.504465,12.669226,12.495654,0.43554,-0.164761,0.008811
9,1,1,0.16,0.2,12.128797,12.497265,12.526447,12.510286,0.368468,-0.029182,-0.013021
9,2,1,0.16,0.2,12.154585,12.527516,12.388693,12.502677,0.372931,0.138823,0.024839
9,3,1,0.16,0.2,12.12174,12.305575,12.473437,12.610042,0.183836,-0.167861,-0.304467
10,0,1,0.16,0.25,12.269713,12.656957,12.345517,12.248656,0.387244,0.311441,0.408301
10,1,1,0.16,0.25,12.115291,12.671122,12.431794,12.366622,0.555831,0.239329,0.3045
10,2,1,0.16,0.25,12.334619,12.310229,12.517768,12.433361,-0.024391,-0.207539,-0.123132
10,3,1,0.16,0.25,12.158151,12.543515,12.35023,12.679691,0.385364,0.193284,-0.136176
11,0,1,0.2,0.05,12.212631,12.500007,12.514005,12.567403,0.287376,-0.013998,-0.067395
