config_id,repeat_seed,phase_mix,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
1,0,0.1,existing_amp_only,12.124285,12.505442,12.659899,12.517613,0.381157,-0.154458,-0.012171
1,1,0.1,existing_amp_only,11.980977,12.501554,12.453491,12.266625,0.520576,0.048063,0.234929
1,2,0.1,existing_amp_only,11.985696,12.420256,12.474705,12.677043,0.43456,-0.054448,-0.256787
1,3,0.1,existing_amp_only,12.056435,12.385213,12.345724,12.64661,0.328778,0.039489,-0.261397
2,0,0.125,existing_amp_only,12.052908,12.590184,12.463758,12.390678,0.537276,0.126426,0.199507
2,1,0.125,existing_amp_only,12.100525,12.440484,12.553241,12.658417,0.339958,-0.112757,-0.217934
2,2,0.125,existing_amp_only,12.041749,12.797265,12.476367,12.583148,0.755516,0.320898,0.214117
2,3,0.125,existing_amp_only,11.971828,12.530293,12.653428,12.447646,0.558465,-0.123135,0.082647
3,0,0.15,existing_amp_only,12.073217,12.61492,12.335575,12.537154,0.541703,0.279345,0.077765
3,1,0.15,existing_amp_only,11.915303,12.536737,12.697481,12.574891,0.621434,-0.160743,-0.038154
3,2,0.15,existing_amp_only,12.210965,12.431989,12.514797,12.660563,0.221024,-0.082807,-0.228574
3,3,0.15,existing_amp_only,12.054843,12.413103,12.563237,12.600132,0.35826,-0.150134,-0.187029
4,0,0.175,existing_amp_only,12.142703,12.582154,12.482088,12.656578,0.439452,0.100066,-0.074423
4,1,0.175,existing_amp_only,12.078639,12.562274,12.565897,12.667508,0.483635,-0.003622,-0.105234
4,2,0.175,existing_amp_only,11.918506,12.476214,12.454954,12.599994,0.557708,0.021259,-0.12378
4,3,0.175,existing_amp_only,12.196267,12.514218,12.483043,12.689405,0.317951,0.031175,-0.175187
5,0,0.2,existing_amp_only,12.097304,12.457932,12.460873,12.579615,0.360628,-0.002941,-0.121683
5,1,0.2,existing_amp_only,12.095258,12.531939,12.393416,12.535649,0.43668,0.138522,-0.00371
5,2,0.2,existing_amp_only,12.057375,12.427476,12.426096,12.62623,0.370101,0.00138,-0.198754
5,3,0.2,existing_amp_only,12.032402,12.577668,12.507516,12.726104,0.545265,0.070151,-0.148436
6,0,0.1,permuted_phase,12.256885,12.498241,12.437306,12.483012,0.241356,0.060935,0.015229
6,1,0.1,permuted_phase,12.270577,12.453107,12.380779,12.470882,0.182531,0.072328,-0.017775
6,2,0.1,permuted_phase,12.211959,12.312412,12.576246,12.539755,0.100453,-0.263834,-0.227343
6,3,0.1,permuted_phase,12.169387,12.414456,12.571725,12.403567,0.245068,-0.157269,0.010889
7,0,0.125,permuted_phase,12.051224,12.650197,12.466615,12.575132,0.598973,0.183582,0.075065
7,1,0.125,permuted_phase,12.079428,12.424694,12.537049,12.481296,0.345266,-0.112355,-0.056602
7,2,0.125,permuted_phase,12.069767,12.540346,12.544579,12.551474,0.470579,-0.004233,-0.011128
7,3,0.125,permuted_phase,11.953158,12.377198,12.665999,12.430321,0.424039,-0.288801,-0.053124
8,0,0.15,permuted_phase,12.088133,12.48291,12.288072,12.55614,0.394777,0.194838,-0.07323
8,1,0.15,permuted_phase,12.153663,12.75361,12.300829,12.500184,0.599948,0.452781,0.253426
8,2,0.15,permuted_phase,12.213689,12.464963,12.513053,12.249246,0.251274,-0.04809,0.215717
8,3,0.15,permuted_phase,12.090877,12.436079,12.435511,12.404173,0.345202,0.000568,0.031907
9,0,0.175,permuted_phase,12.135551,12.528835,12.268389,12.417931,0.393285,0.260446,0.110904
9,1,0.175,permuted_phase,12.083291,12.493036,12.401036,12.411452,0.409745,0.092,0.081584
9,2,0.175,permuted_phase,12.033303,12.497012,12.519347,12.476494,0.463709,-0.022335,0.020517
9,3,0.175,permuted_phase,11.985487,12.728325,12.52636,12.41843,0.742838,0.201965,0.309895
10,0,0.2,permuted_phase,12.074429,12.491306,12.521256,12.353458,0.416876,-0.02995,0.137848
10,1,0.2,permuted_phase,12.120104,12.310133,12.285359,12.347226,0.190029,0.024774,-0.037093
10,2,0.2,permuted_phase,12.180029,12.487601,12.6007,12.510858,0.307572,-0.113099,-0.023257
10,3,0.2,permuted_phase,12.127311,12.589172,12.327486,12.517187,0.461861,0.261686,0.071985
11,0,0.1,wrong_amp_permuted_phase,12.123191,12.478146,12.413445,12.565464,0.354954,0.064701,-0.087318
11,1,0.1,wrong_amp_permuted_phase,11.842449,12.639175,12.487355,12.419608,0.796725,0.15182,0.219567
11,2,0.1,wrong_amp_permuted_phase,11.941547,12.559797,12.339902,12.531312,0.61825,0.219894,0.028484
11,3,0.1,wrong_amp_permuted_phase,11.949064,12.388823,12.497849,12.51102,0.439759,-0.109026,-0.122197
12,0,0.125,wrong_amp_permuted_phase,12.173304,12.456052,12.36639,12.574316,0.282748,0.089662,-0.118264
12,1,0.125,wrong_amp_permuted_phase,11.981776,12.652309,12.40419,12.561355,0.670534,0.248119,0.090954
12,2,0.125,wrong_amp_permuted_phase,11.855593,12.646616,12.352603,12.391574,0.791023,0.294013,0.255042
12,3,0.125,wrong_amp_permuted_phase,12.021442,12.451898,12.472972,12.384697,0.430456,-0.021074,0.067201
13,0,0.15,wrong_amp_permuted_phase,11.998658,12.482311,12.519912,12.494378,0.483652,-0.037602,-0.012067
13,1,0.15,wrong_amp_permuted_phase,12.091076,12.340647,12.416035,12.642066,0.249571,-0.075388,-0.301418
13,2,0.15,wrong_amp_permuted_phase,11.860336,12.429726,12.460544,12.60808,0.569391,-0.030817,-0.178354
13,3,0.15,wrong_amp_permuted_phase,12.211259,12.591639,12.457072,12.373839,0.38038,0.134567,0.2178
14,0,0.175,wrong_amp_permuted_phase,12.100931,12.491555,12.52983,12.390018,0.390624,-0.038275,0.101537
14,1,0.175,wrong_amp_permuted_phase,12.011939,12.467082,12.429636,12.458185,0.455142,0.037446,0.008897
14,2,0.175,wrong_amp_permuted_phase,12.092836,12.500736,12.657713,12.543424,0.4079,-0.156976,-0.042688
14,3,0.175,wrong_amp_permuted_phase,12.183264,12.511555,12.462751,12.682986,0.328291,0.048805,-0.171431
15,0,0.2,wrong_amp_permuted_phase,12.020732,12.441555,12.409451,12.466857,0.420823,0.032104,-0.025302
15,1,0.2,wrong_amp_permuted_phase,12.063038,12.651509,12.476534,12.675208,0.588471,0.174975,-0.0237
15,2,0.2,wrong_amp_permuted_phase,11.990988,12.50766,12.595563,12.572759,0.516672,-0.087903,-0.065099
15,3,0.2,wrong_amp_permuted_phase,12.023753,12.673363,12.507007,12.649369,0.64961,0.166356,0.023993
16,0,0.1,anti_phase,12.045045,12.486074,12.633306,12.488323,0.441029,-0.147232,-0.002249
16,1,0.1,anti_phase,11.883509,12.469463,12.551404,12.710564,0.585954,-0.08194,-0.241101
16,2,0.1,anti_phase,12.155997,12.383941,12.313208,12.553153,0.227944,0.070733,-0.169212
16,3,0.1,anti_phase,11.950875,12.555627,12.556613,12.716352,0.604752,-0.000985,-0.160724
17,0,0.125,anti_phase,12.049091,12.581999,12.305205,12.559008,0.532908,0.276794,0.022991
17,1,0.125,anti_phase,11.952406,12.70706,12.389692,12.478972,0.754654,0.317368,0.228088
17,2,0.125,anti_phase,12.141769,12.35684,12.621146,12.61498,0.215071,-0.264306,-0.25814
17,3,0.125,anti_phase,12.112224,12.501803,12.607007,12.656442,0.38958,-0.105203,-0.154639
18,0,0.15,anti_phase,12.113686,12.612899,12.726445,12.337558,0.499214,-0.113546,0.275341
18,1,0.15,anti_phase,12.004795,12.540214,12.463968,12.361204,0.535419,0.076246,0.17901
18,2,0.15,anti_phase,11.620768,12.315532,12.678397,12.502701,0.694764,-0.362865,-0.187169
18,3,0.15,anti_phase,12.139339,12.552188,12.412706,12.590293,0.412849,0.139482,-0.038105
19,0,0.175,anti_phase,12.003569,12.539647,12.504283,12.66561,0.536078,0.035364,-0.125963
