config_id,phase_mix,wrongref_mode,repeat_count,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_ordinary_db_std,common_minus_noncommon_db_mean,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_db_std,ranking_score
20,0.2,anti_phase,4,0.653596,0.556434,0.060938,0.258164,0.141314,0.02713,0.097384,0.475125
9,0.175,permuted_phase,4,0.502394,0.393285,0.141243,0.133019,0.130725,0.020517,0.108461,0.360717
21,0.1,orthogonal_phase,4,0.538416,0.401602,0.122629,0.139715,0.128504,-0.136623,0.164762,0.267685
8,0.15,permuted_phase,4,0.3978,0.251274,0.127583,0.150024,0.106955,-0.07323,0.133587,0.232747
19,0.175,anti_phase,4,0.459038,0.218557,0.14094,-0.005146,0.126462,-0.125963,0.150053,0.215084
12,0.125,wrong_amp_permuted_phase,4,0.54369,0.282748,0.198857,0.15268,0.073733,-0.118264,0.132358,0.208207
25,0.2,orthogonal_phase,4,0.453032,0.204529,0.149826,0.199351,0.047065,-0.068176,0.082322,0.198747
22,0.125,orthogonal_phase,4,0.477206,0.43324,0.034021,0.142109,0.029425,-0.061736,0.093906,0.18074
15,0.2,wrong_amp_permuted_phase,4,0.543894,0.420823,0.085221,0.071383,-0.022527,-0.065099,0.031566,0.136258
10,0.2,permuted_phase,4,0.344085,0.190029,0.105162,0.035853,0.037371,-0.037093,0.071614,0.135862
