project,stage,artifact_group,status,local_path,recommended_drive_section,recommended_subpath,notes,exists,file_size_bytes,modified_utc
self-calibrating-diffractive-ncomms,memory-state,report,local-ready,/workspace/memory/self-calibrating-diffractive-ncomms/archive-checklist.md,09-archive,09-archive/2026-04-29/memory,memory-side project state document,True,4385,2026-04-29T02:03:53Z
self-calibrating-diffractive-ncomms,memory-state,report,local-ready,/workspace/memory/self-calibrating-diffractive-ncomms/drive-index.md,09-archive,09-archive/2026-04-29/memory,memory-side project state document,True,3347,2026-04-29T02:03:53Z
self-calibrating-diffractive-ncomms,memory-state,report,local-ready,/workspace/memory/self-calibrating-diffractive-ncomms/iteration-log.md,09-archive,09-archive/2026-04-29/memory,memory-side project state document,True,5020,2026-04-29T02:03:53Z
self-calibrating-diffractive-ncomms,memory-state,manuscript,local-ready,/workspace/memory/self-calibrating-diffractive-ncomms/manuscript-v1-strict.md,06-manuscript,06-manuscript/2026-04-29/memory,memory-side project state document,True,22803,2026-04-29T00:08:20Z
self-calibrating-diffractive-ncomms,memory-state,report,local-ready,/workspace/memory/self-calibrating-diffractive-ncomms/project-state.md,09-archive,09-archive/2026-04-29/memory,memory-side project state document,True,7312,2026-04-29T01:42:43Z
self-calibrating-diffractive-ncomms,memory-state,report,local-ready,/workspace/memory/self-calibrating-diffractive-ncomms/reference-ledger-v1.md,02-literature,02-literature/2026-04-29/memory,memory-side project state document,True,7576,2026-04-27T11:50:51Z
self-calibrating-diffractive-ncomms,memory-state,review,local-ready,/workspace/memory/self-calibrating-diffractive-ncomms/review-round-manuscript-v1-strict.md,06-manuscript,06-manuscript/2026-04-29/memory,memory-side project state document,True,2848,2026-04-29T00:08:20Z
self-calibrating-diffractive-ncomms,memory-state,report,local-ready,/workspace/memory/self-calibrating-diffractive-ncomms/supervision-log.md,08-review-and-supervision,08-review-and-supervision/2026-04-29/memory,memory-side project state document,True,4256,2026-04-29T01:35:36Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/environment_smoke_test.json,04-data,04-data/2026-04-29/environment,generated output ready for cloud archive,True,818,2026-04-29T00:12:45Z
self-calibrating-diffractive-ncomms,active-workspace,report,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/environment_smoke_test.md,09-archive,09-archive/2026-04-29/environment,generated output ready for cloud archive,True,314,2026-04-29T00:12:45Z
self-calibrating-diffractive-ncomms,active-workspace,figure,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/environment_smoke_test.png,05-figures,05-figures/2026-04-29/environment,generated output ready for cloud archive,True,2974,2026-04-29T00:12:45Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round6_numpy_passive_d2nn_metrics.csv,04-data,04-data/2026-04-29/round6,generated output ready for cloud archive,True,1675,2026-04-29T00:23:59Z
self-calibrating-diffractive-ncomms,active-workspace,figure,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round6_numpy_passive_d2nn_panel.png,05-figures,05-figures/2026-04-29/round6,generated output ready for cloud archive,True,13825,2026-04-29T00:23:59Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round6_numpy_passive_d2nn_summary.json,04-data,04-data/2026-04-29/round6,generated output ready for cloud archive,True,1710,2026-04-29T00:23:59Z
self-calibrating-diffractive-ncomms,active-workspace,report,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round6_numpy_passive_d2nn_summary.md,09-archive,09-archive/2026-04-29/round6,generated output ready for cloud archive,True,414,2026-04-29T00:23:59Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round6_numpy_passive_d2nn_training_history.json,04-data,04-data/2026-04-29/round6,generated output ready for cloud archive,True,5085,2026-04-29T00:23:59Z
self-calibrating-diffractive-ncomms,active-workspace,figure,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round7_best_config_panel.png,05-figures,05-figures/2026-04-29/round7,generated output ready for cloud archive,True,12028,2026-04-29T01:33:28Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round7_best_config_training_history.json,04-data,04-data/2026-04-29/round7,generated output ready for cloud archive,True,4531,2026-04-29T01:33:28Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round7_parameter_scan_detail.csv,04-data,04-data/2026-04-29/round7,generated output ready for cloud archive,True,96614,2026-04-29T01:33:28Z
self-calibrating-diffractive-ncomms,active-workspace,figure,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round7_parameter_scan_heatmap.png,05-figures,05-figures/2026-04-29/round7,generated output ready for cloud archive,True,11950,2026-04-29T01:33:28Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round7_parameter_scan_summary.csv,04-data,04-data/2026-04-29/round7,generated output ready for cloud archive,True,3925,2026-04-29T01:33:28Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round7_parameter_scan_summary.json,04-data,04-data/2026-04-29/round7,generated output ready for cloud archive,True,6067,2026-04-29T01:33:28Z
self-calibrating-diffractive-ncomms,active-workspace,report,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round7_parameter_scan_summary.md,09-archive,09-archive/2026-04-29/round7,generated output ready for cloud archive,True,493,2026-04-29T01:33:28Z
self-calibrating-diffractive-ncomms,active-workspace,data,local-ready,/workspace/self-calibrating-diffractive-ncomms/outputs/round7_parameter_scan_top10.csv,04-data,04-data/2026-04-29/round7,generated output ready for cloud archive,True,1047,2026-04-29T01:33:28Z
self-calibrating-diffractive-ncomms,active-workspace,code,local-ready,/workspace/self-calibrating-diffractive-ncomms/scripts/environment_smoke_test.py,07-code,07-code/2026-04-29/scripts,runtime script or protocol needed for reproduction,True,3036,2026-04-29T00:12:42Z
self-calibrating-diffractive-ncomms,active-workspace,protocol,local-ready,/workspace/self-calibrating-diffractive-ncomms/scripts/minimal_passive_d2nn_protocol.md,03-theory,03-theory/2026-04-29/scripts,runtime script or protocol needed for reproduction,True,835,2026-04-29T00:12:42Z
self-calibrating-diffractive-ncomms,active-workspace,code,local-ready,/workspace/self-calibrating-diffractive-ncomms/scripts/round6_numpy_passive_d2nn.py,07-code,07-code/2026-04-29/scripts,runtime script or protocol needed for reproduction,True,13382,2026-04-29T00:23:54Z
self-calibrating-diffractive-ncomms,active-workspace,code,local-ready,/workspace/self-calibrating-diffractive-ncomms/scripts/round7_parameter_scan.py,07-code,07-code/2026-04-29/scripts,runtime script or protocol needed for reproduction,True,13570,2026-04-29T01:32:54Z
self-calibrating-diffractive-ncomms,history-gap,data,missing-from-active-workspace,/workspace/self-calibrating-diffractive-ncomms/outputs/round5_minimal_d2nn_metrics.csv,04-data,04-data/2026-04-29/round5,referenced in project memory but not present in current active workspace,False,,
self-calibrating-diffractive-ncomms,history-gap,data,missing-from-active-workspace,/workspace/self-calibrating-diffractive-ncomms/outputs/round5b_selfcalibrating_d2nn_metrics.csv,04-data,04-data/2026-04-29/round5b,referenced in project memory but not present in current active workspace,False,,
self-calibrating-diffractive-ncomms,history-gap,figure,missing-from-active-workspace,/workspace/self-calibrating-diffractive-ncomms/outputs/round5b_selfcalibrating_d2nn_panel.png,05-figures,05-figures/2026-04-29/round5b,referenced in project memory but not present in current active workspace,False,,
self-calibrating-diffractive-ncomms,history-gap,code,missing-from-active-workspace,/workspace/self-calibrating-diffractive-ncomms/round5_minimal_d2nn_comparison.py,07-code,07-code/2026-04-29/memory,referenced in project memory but not present in current active workspace,False,,
self-calibrating-diffractive-ncomms,history-gap,code,missing-from-active-workspace,/workspace/self-calibrating-diffractive-ncomms/round5b_selfcalibrating_d2nn.py,07-code,07-code/2026-04-29/memory,referenced in project memory but not present in current active workspace,False,,
