config_id,repeat_seed,wrongref_mode,encoding_mode,common_minus_ordinary_db,common_minus_wrongref_db,risk_pair_q10_repeat,risk_pair_min_repeat,risk_pair_positive_fraction_repeat
1,0,edge_echo_decoy,baseline,0.486489,-0.179906,-0.451008,-0.452578,0.0
1,1,edge_echo_decoy,baseline,0.503035,-0.593916,-0.249882,-0.250293,0.0
1,2,edge_echo_decoy,baseline,0.21968,-0.949718,-0.571829,-0.58355,0.0
1,3,edge_echo_decoy,baseline,0.100346,-0.746369,-0.722671,-0.746083,0.0
1,4,edge_echo_decoy,baseline,0.263529,-0.640434,-0.567117,-0.619564,0.0
1,5,edge_echo_decoy,baseline,0.414512,-0.427197,-0.661156,-0.675673,0.0
2,0,edge_echo_decoy,edge_guarded,-0.10154,-0.487046,-0.812332,-0.855972,0.0
2,1,edge_echo_decoy,edge_guarded,0.097937,-0.313759,-0.853569,-0.884501,0.0
2,2,edge_echo_decoy,edge_guarded,0.202879,-0.422692,-0.752327,-0.787584,0.0
2,3,edge_echo_decoy,edge_guarded,0.007909,-0.344214,-0.755103,-0.794004,0.0
2,4,edge_echo_decoy,edge_guarded,0.023007,-0.161245,-0.914051,-0.964693,0.0
2,5,edge_echo_decoy,edge_guarded,-0.108383,-0.52569,-0.985075,-1.050326,0.0
3,0,edge_echo_decoy,occupancy_guarded,0.515069,-0.26007,-0.623798,-0.669258,0.0
3,1,edge_echo_decoy,occupancy_guarded,0.646963,-0.125674,-0.366054,-0.382477,0.0
3,2,edge_echo_decoy,occupancy_guarded,0.759476,-0.086994,-0.224809,-0.229409,0.0
3,3,edge_echo_decoy,occupancy_guarded,0.63564,-0.001873,-0.268603,-0.27983,0.0
3,4,edge_echo_decoy,occupancy_guarded,1.084401,0.407571,-0.144777,-0.156139,0.0
3,5,edge_echo_decoy,occupancy_guarded,0.650528,0.099421,-0.194374,-0.19513,0.0
4,0,edge_echo_decoy,hybrid_guarded,0.302107,-0.259441,-0.577935,-0.615738,0.0
4,1,edge_echo_decoy,hybrid_guarded,0.395171,-0.128412,-0.419275,-0.447273,0.0
4,2,edge_echo_decoy,hybrid_guarded,0.086479,-0.254808,-0.346084,-0.35095,0.0
4,3,edge_echo_decoy,hybrid_guarded,0.180825,-0.462153,-0.343236,-0.358857,0.0
4,4,edge_echo_decoy,hybrid_guarded,0.224463,-0.491642,-0.449959,-0.462538,0.0
4,5,edge_echo_decoy,hybrid_guarded,0.44677,-0.053592,-0.394877,-0.408408,0.0
5,0,sparse_tracker_decoy,baseline,0.513463,-0.109721,-0.195932,-0.220051,0.5
5,1,sparse_tracker_decoy,baseline,0.544371,-0.161185,0.042198,0.011803,1.0
5,2,sparse_tracker_decoy,baseline,0.287714,-0.146697,0.013705,-0.008629,0.5
5,3,sparse_tracker_decoy,baseline,0.491089,0.101374,0.044912,0.019051,1.0
5,4,sparse_tracker_decoy,baseline,0.250994,-0.139582,0.009072,-0.022004,0.5
5,5,sparse_tracker_decoy,baseline,0.717391,0.307038,0.05106,-0.044476,0.5
6,0,sparse_tracker_decoy,edge_guarded,0.009247,-0.639107,-0.188425,-0.208534,0.0
6,1,sparse_tracker_decoy,edge_guarded,-0.022314,-0.243927,-0.251518,-0.263431,0.0
6,2,sparse_tracker_decoy,edge_guarded,0.271341,0.04724,0.116251,0.111985,1.0
6,3,sparse_tracker_decoy,edge_guarded,0.089008,-0.17554,-0.416264,-0.4548,0.0
6,4,sparse_tracker_decoy,edge_guarded,0.096757,-0.051143,-0.024124,-0.025465,0.0
6,5,sparse_tracker_decoy,edge_guarded,0.079911,-0.187225,-0.143764,-0.181477,0.5
7,0,sparse_tracker_decoy,occupancy_guarded,0.769986,0.216825,0.246218,0.237069,1.0
7,1,sparse_tracker_decoy,occupancy_guarded,0.592788,0.276829,0.10161,0.092688,1.0
7,2,sparse_tracker_decoy,occupancy_guarded,0.668651,0.174633,0.205142,0.198871,1.0
7,3,sparse_tracker_decoy,occupancy_guarded,0.570876,-0.115386,0.031976,0.006117,1.0
7,4,sparse_tracker_decoy,occupancy_guarded,0.638811,0.420916,0.178015,0.153374,1.0
7,5,sparse_tracker_decoy,occupancy_guarded,0.6554,0.351517,-0.10962,-0.151228,0.5
8,0,sparse_tracker_decoy,hybrid_guarded,0.274354,-0.104664,0.044124,0.019839,1.0
8,1,sparse_tracker_decoy,hybrid_guarded,0.225373,-0.022244,0.00126,-0.005826,0.5
8,2,sparse_tracker_decoy,hybrid_guarded,0.353799,-0.077446,0.052996,0.020597,1.0
8,3,sparse_tracker_decoy,hybrid_guarded,0.400053,0.186005,0.114494,0.100853,1.0
8,4,sparse_tracker_decoy,hybrid_guarded,0.346055,-0.040582,0.171018,0.141282,1.0
8,5,sparse_tracker_decoy,hybrid_guarded,0.511378,0.067053,0.115968,0.108371,1.0
9,0,hybrid_risk_decoy,baseline,0.448641,-0.210569,-0.450204,-0.486332,0.0
9,1,hybrid_risk_decoy,baseline,0.761867,-0.36268,-0.367559,-0.397413,0.0
9,2,hybrid_risk_decoy,baseline,0.375472,-0.423732,-0.502699,-0.525207,0.0
9,3,hybrid_risk_decoy,baseline,0.518657,-0.474395,-0.370341,-0.379962,0.0
9,4,hybrid_risk_decoy,baseline,0.311706,-0.824748,-0.67805,-0.699294,0.0
9,5,hybrid_risk_decoy,baseline,0.302785,-0.511819,-0.505171,-0.548875,0.0
10,0,hybrid_risk_decoy,edge_guarded,0.114496,-0.301825,-0.485177,-0.490396,0.0
10,1,hybrid_risk_decoy,edge_guarded,-0.108691,-0.296597,-0.465581,-0.490011,0.0
10,2,hybrid_risk_decoy,edge_guarded,-0.015799,-0.457545,-0.797995,-0.834924,0.0
10,3,hybrid_risk_decoy,edge_guarded,-0.026781,-0.29174,-0.629895,-0.683891,0.0
10,4,hybrid_risk_decoy,edge_guarded,0.102511,-0.216517,-0.528842,-0.540635,0.0
10,5,hybrid_risk_decoy,edge_guarded,0.090178,-0.154762,-0.386537,-0.417336,0.0
11,0,hybrid_risk_decoy,occupancy_guarded,0.660369,0.012605,-0.088243,-0.102175,0.5
11,1,hybrid_risk_decoy,occupancy_guarded,0.5452,-0.023484,-0.276594,-0.311629,0.5
11,2,hybrid_risk_decoy,occupancy_guarded,0.621188,-0.115245,-0.42785,-0.468735,0.0
11,3,hybrid_risk_decoy,occupancy_guarded,0.587149,0.038674,-0.3328,-0.357818,0.0
11,4,hybrid_risk_decoy,occupancy_guarded,0.554836,0.189818,-0.091078,-0.096262,0.0
11,5,hybrid_risk_decoy,occupancy_guarded,0.458093,-0.178463,-0.056309,-0.080976,0.5
12,0,hybrid_risk_decoy,hybrid_guarded,0.184381,-0.08139,-0.106315,-0.112101,0.0
12,1,hybrid_risk_decoy,hybrid_guarded,0.291125,-0.228523,-0.217496,-0.22314,0.0
12,2,hybrid_risk_decoy,hybrid_guarded,0.29064,0.06008,-0.223069,-0.224608,0.0
12,3,hybrid_risk_decoy,hybrid_guarded,0.364682,0.140128,-0.11098,-0.123075,0.0
12,4,hybrid_risk_decoy,hybrid_guarded,0.089687,-0.211613,-0.229859,-0.235872,0.0
12,5,hybrid_risk_decoy,hybrid_guarded,0.449297,0.038699,-0.145548,-0.158932,0.0
