model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_B,s_wave,0.0,0.05,-80.0,1.0000301974496921,3.0197449692297372e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-79.16666666666667,1.0000325188946932,3.251889469329743e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-78.33333333333333,1.0000351005119974,3.510051199743962e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-77.5,1.0000379831294894,3.798312948962277e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-76.66666666666667,1.0000412162433618,4.121624336175452e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-75.83333333333333,1.0000448604449748,4.4860444974797576e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-75.0,1.0000489907315036,4.8990731503512335e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-74.16666666666667,1.0000537011194364,5.370111943616015e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-73.33333333333333,1.0000591112437478,5.911124374772592e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-72.5,1.000065376118558,6.537611855788445e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-71.66666666666667,1.0000727012479416,7.270124794156566e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-70.83333333333333,1.0000813676633582,8.136766335833213e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-70.0,1.000091778372146,9.177837214596795e-05,0.0
baseline,K_B,s_wave,0.0,0.05,-69.16666666666667,1.0001045647133049,0.00010456471330510751,0.0
baseline,K_B,s_wave,0.0,0.05,-68.33333333333333,1.0001209490295462,0.00012094902954618025,0.0
baseline,K_B,s_wave,0.0,0.05,-67.5,1.0001445643085043,0.00014456430850449817,0.0
baseline,K_B,s_wave,0.0,0.05,-66.66666666666667,1.000182799745849,0.00018279974584881078,0.0
baseline,K_B,s_wave,0.0,0.05,-65.83333333333333,1.0002389447286137,0.00023894472861363334,0.0
baseline,K_B,s_wave,0.0,0.05,-65.0,1.0003270985831962,0.00032709858319651794,0.0
baseline,K_B,s_wave,0.0,0.05,-64.16666666666667,1.0004865429973009,0.00048654299730062795,0.0
baseline,K_B,s_wave,0.0,0.05,-63.33333333333333,1.0007339450902337,0.0007339450902337518,0.0
baseline,K_B,s_wave,0.0,0.05,-62.5,1.0010839470262556,0.001083947026255645,0.0
baseline,K_B,s_wave,0.0,0.05,-61.66666666666666,1.0015742875866758,0.0015742875866755818,0.0
baseline,K_B,s_wave,0.0,0.05,-60.83333333333333,1.0022486291564041,0.002248629156404069,0.0
baseline,K_B,s_wave,0.0,0.05,-60.0,1.0030901308377231,0.003090130837723263,0.0
baseline,K_B,s_wave,0.0,0.05,-59.16666666666666,1.0037992703653809,0.0037992703653805314,0.0
baseline,K_B,s_wave,0.0,0.05,-58.33333333333333,1.0043359773332594,0.0043359773332592695,0.0
baseline,K_B,s_wave,0.0,0.05,-57.5,1.0047401121431547,0.004740112143155281,0.0
baseline,K_B,s_wave,0.0,0.05,-56.66666666666666,1.005035288638303,0.005035288638302227,0.0
baseline,K_B,s_wave,0.0,0.05,-55.83333333333333,1.0052300640085179,0.005230064008517565,0.0
baseline,K_B,s_wave,0.0,0.05,-55.0,1.0054024726303268,0.005402472630326539,0.0
baseline,K_B,s_wave,0.0,0.05,-54.16666666666666,1.0055980240221472,0.005598024022147399,0.0
baseline,K_B,s_wave,0.0,0.05,-53.33333333333333,1.005842960692177,0.005842960692176622,0.0
baseline,K_B,s_wave,0.0,0.05,-52.5,1.0061862761745937,0.006186276174593528,0.0
baseline,K_B,s_wave,0.0,0.05,-51.66666666666666,1.0064255262157573,0.006425526215757019,0.0
baseline,K_B,s_wave,0.0,0.05,-50.83333333333333,1.0067076682903238,0.006707668290323994,0.0
baseline,K_B,s_wave,0.0,0.05,-50.0,1.0068747252621173,0.006874725262116524,0.0
baseline,K_B,s_wave,0.0,0.05,-49.16666666666666,1.007078770243046,0.007078770243045343,0.0
baseline,K_B,s_wave,0.0,0.05,-48.33333333333333,1.0074060269236629,0.007406026923662127,0.0
baseline,K_B,s_wave,0.0,0.05,-47.5,1.0073901744575757,0.007390174457575805,0.0
baseline,K_B,s_wave,0.0,0.05,-46.66666666666666,1.007698289259604,0.007698289259604961,0.0
baseline,K_B,s_wave,0.0,0.05,-45.83333333333333,1.0077748541185088,0.0077748541185088905,0.0
baseline,K_B,s_wave,0.0,0.05,-45.0,1.0081186002052938,0.008118600205293744,0.0
baseline,K_B,s_wave,0.0,0.05,-44.16666666666666,1.0083035858577203,0.008303585857720907,0.0
baseline,K_B,s_wave,0.0,0.05,-43.33333333333333,1.0085833866719898,0.008583386671990068,0.0
baseline,K_B,s_wave,0.0,0.05,-42.5,1.00870900355944,0.008709003559439155,0.0
baseline,K_B,s_wave,0.0,0.05,-41.66666666666666,1.0089878335165272,0.008987833516527157,0.0
baseline,K_B,s_wave,0.0,0.05,-40.83333333333333,1.0090965135609158,0.009096513560916326,0.0
baseline,K_B,s_wave,0.0,0.05,-40.0,1.0092887863918043,0.009288786391803423,0.0
