pairing,barrier_Z,eta_meV,baseline_zero_bias_conductance,baseline_peak_minus_background,compressed_v3_zero_bias_conductance,compressed_v3_peak_minus_background,delta_zero_bias_conductance,delta_peak_minus_background
s_wave,0.0,0.05,8.038874665947937,7.004204573364401,6.777138734371389,5.7529578827580945,-1.2617359315765473,-1.2512466906063064
s_wave,0.5,0.05,6.63109973275835,5.744792956830096,5.621710987497111,4.818769880498969,-1.009388745261239,-0.926023076331127
s_wave,1.0,0.05,4.519437332973968,3.8556755320286387,3.8885693671856942,3.417487877110283,-0.6308679657882741,-0.43818765491835565
s_wave,2.0,0.05,2.407774933189588,1.9665581072271825,2.1554277468742784,2.0162058737215975,-0.2523471863153097,0.049647766494415047
s_wave,0.0,0.2,7.923609251112545,6.888985528120356,6.682534934136048,5.65838318193846,-1.2410743169764968,-1.2306023461818967
s_wave,0.5,0.2,6.538887400890037,5.652511592447511,5.546027947308841,4.743035440352284,-0.9928594535811959,-0.9094761520952268
s_wave,1.0,0.2,4.461804625556272,3.79780068893824,3.841267467068025,3.3700138279730156,-0.6205371584882475,-0.4277868609652242
s_wave,2.0,0.2,2.3847218502225087,1.9430897854289695,2.1365069868272095,1.9969922155937476,-0.2482148633952992,0.05390243016477814
s_wave,0.0,0.5,7.342026074019092,6.307659370265011,6.2052019996686205,5.181211564715264,-1.1368240743504714,-1.1264478055497467
s_wave,0.5,0.5,6.073620859215274,5.186861472053625,5.164161599734898,4.360883162142535,-0.9094592594803759,-0.8259783099110898
s_wave,1.0,0.5,4.171013037009546,3.5056646247365464,3.6026009998343107,3.130390558283437,-0.5684120371752353,-0.37527406645310935
s_wave,2.0,0.5,2.268405214803818,1.824467777419467,2.0410403999337237,1.8998979544243395,-0.2273648148700942,0.07543017700487242
nodal_even,0.0,0.05,7.822117974752799,6.802698364567483,6.513335519358377,5.501323301253261,-1.3087824553944216,-1.3013750633142225
nodal_even,0.5,0.05,6.457694379802241,5.58663775678151,5.410668415486703,4.619895725146178,-1.0470259643155382,-0.9667420316353317
nodal_even,1.0,0.05,4.411058987376401,3.7625468451025457,3.7566677596791886,3.297754360985551,-0.6543912276972121,-0.4647924841169946
nodal_even,2.0,0.05,2.3644235949505603,1.938455933423581,2.1026671038716755,1.9756129968249254,-0.26175649107888477,0.0371570634013445
nodal_even,0.0,0.2,7.052668980883618,6.033274082484555,5.748225939836682,4.736228416534955,-1.3044430410469356,-1.2970456659496001
nodal_even,0.5,0.2,5.842135184706895,4.970982947186264,4.798580751869347,4.00773901543086,-1.0435544328375483,-0.9632439317554038
nodal_even,1.0,0.2,4.026334490441808,3.3775462442388235,3.3741129699183414,2.9150049137747156,-0.6522215205234669,-0.46254133046410795
nodal_even,2.0,0.2,2.2105337961767235,1.7841095412913854,1.9496451879673364,1.8222708121185713,-0.2608886082093871,0.0381612708271859
nodal_even,0.0,0.5,5.7001289803925,4.680871080218661,4.61631208579448,3.6043960014284613,-1.0838168945980202,-1.0764750787901995
nodal_even,0.5,0.5,4.7601031843140005,3.8884203902025245,3.8930496686355838,3.101824353039765,-0.8670535156784167,-0.7865960371627594
nodal_even,1.0,0.5,3.35006449019625,2.6997443551783187,2.8081560428972394,2.34796688045672,-0.5419084472990106,-0.3517774747215987
nodal_even,2.0,0.5,1.9400257960785001,1.511068320154113,1.7232624171588957,1.5941094078736755,-0.2167633789196044,0.08304108771956242
valley_even,0.0,0.05,5.828568486058738,4.813836586571841,4.573259080449348,3.565476394357367,-1.25530940560939,-1.248360192214474
valley_even,0.5,0.05,4.862854788846991,3.9964858120980105,3.858607264359478,3.0720640084032302,-1.0042475244875129,-0.9244218036947802
valley_even,1.0,0.05,3.414284243029369,2.770459650387264,2.7866295402246735,2.3319454294720248,-0.6276547028046955,-0.43851422091523906
valley_even,2.0,0.05,1.9657136972117477,1.5444334886765176,1.7146518160898696,1.5918268505408204,-0.2510618811218781,0.04739336186430276
valley_even,0.0,0.2,4.677870658550546,3.663158949010097,3.4486157946798746,2.440841132645394,-1.2292548638706715,-1.2223178163647028
valley_even,0.5,0.2,3.942296526840437,3.075826450051335,2.9588926357438994,2.172272204212681,-0.9834038910965375,-0.9035542458386541
valley_even,1.0,0.2,2.8389353292752735,2.1948277016131925,2.224307897339937,1.7694188115636105,-0.6146274319353364,-0.42540889004958204
