model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
baseline,K_B,s_wave,0.0,0.05,8.507963775279036,8.507963775279036,1.0346091033222486,7.473354671956788,7.507963775279034,0.0
baseline,K_T,s_wave,0.0,0.05,5.80776401997543,5.80776401997543,1.0346013132998524,4.773162706675578,4.80776401997543,0.0
baseline,total,s_wave,0.0,0.05,8.038874665947937,8.038874665947937,1.034670092583536,7.004204573364401,7.038874665947937,0.0
baseline,K_B,s_wave,0.5,0.05,7.006371020223229,7.006371020223229,0.9020580927971092,6.10431292742612,6.006371020223228,0.0
baseline,K_T,s_wave,0.5,0.05,4.846211215980343,4.846211215980343,0.8823022325079719,3.963908983472371,3.8462112159803437,0.0
baseline,total,s_wave,0.5,0.05,6.63109973275835,6.63109973275835,0.8863067759282532,5.744792956830096,5.63109973275835,0.0
baseline,K_B,s_wave,1.0,0.05,4.753981887639517,4.753981887639517,0.7032315770093999,4.050750310630117,3.753981887639517,0.0
baseline,K_T,s_wave,1.0,0.05,3.403882009987715,3.403882009987715,0.6538536113201513,2.7500283986675638,2.403882009987715,0.0
baseline,total,s_wave,1.0,0.05,4.519437332973968,4.519437332973968,0.6637618009453295,3.8556755320286387,3.5194373329739683,0.0
baseline,K_B,s_wave,2.0,0.05,2.5015927550558077,2.5015927550558077,0.5044050612216905,1.997187693834117,1.501592755055807,0.0
baseline,K_T,s_wave,2.0,0.05,1.9615528039950862,1.9615528039950862,0.4254049901323307,1.5361478138627556,0.9615528039950859,0.0
baseline,total,s_wave,2.0,0.05,2.407774933189588,2.407774933189588,0.4412168259624057,1.9665581072271825,1.4077749331895875,0.0
baseline,K_B,s_wave,0.0,0.2,8.38501677022534,8.38501677022534,1.034560294354159,7.350456475871181,7.385016770225339,0.0
baseline,K_T,s_wave,0.0,0.2,5.729034259822994,5.729034259822994,1.0345561195347102,4.694478140288283,4.729034259822994,0.0
baseline,total,s_wave,0.0,0.2,7.923609251112545,7.923609251112545,1.0346237229921882,6.888985528120356,6.923609251112547,0.0
baseline,K_B,s_wave,0.5,0.2,6.90801341618027,6.90801341618027,0.9021244739637627,6.005888942216507,5.908013416180271,0.0
baseline,K_T,s_wave,0.5,0.2,4.783227407858395,4.783227407858395,0.8823722157648867,3.9008551920935086,3.783227407858395,0.0
baseline,total,s_wave,0.5,0.2,6.538887400890037,6.538887400890037,0.8863758084425258,5.652511592447511,5.538887400890037,0.0
baseline,K_B,s_wave,1.0,0.2,4.692508385112669,4.692508385112669,0.703470743378168,3.989037641734501,3.6925083851126694,0.0
baseline,K_T,s_wave,1.0,0.2,3.3645171299114964,3.3645171299114964,0.6540963601101512,2.7104207698013454,2.364517129911497,0.0
baseline,total,s_wave,1.0,0.2,4.461804625556272,4.461804625556272,0.6640039366180325,3.79780068893824,3.4618046255562733,0.0
baseline,K_B,s_wave,2.0,0.2,2.4770033540450673,2.4770033540450673,0.5048170127925735,1.9721863412524938,1.4770033540450678,0.0
baseline,K_T,s_wave,2.0,0.2,1.9458068519645983,1.9458068519645983,0.4258205044554158,1.5199863475091826,0.9458068519645988,0.0
baseline,total,s_wave,2.0,0.2,2.3847218502225087,2.3847218502225087,0.4416320647935392,1.9430897854289695,1.3847218502225092,0.0
baseline,K_B,s_wave,0.0,0.5,7.764675361526412,7.764675361526412,1.0342898405619203,6.730385520964491,6.764675361526409,0.0
baseline,K_T,s_wave,0.0,0.5,5.3317953819978605,5.3317953819978605,1.0343055705525699,4.29748981144529,4.331795381997862,0.0
baseline,total,s_wave,0.0,0.5,7.342026074019092,7.342026074019092,1.0343667037540814,6.307659370265011,6.342026074019092,0.0
baseline,K_B,s_wave,0.5,0.5,6.411740289221129,6.411740289221129,0.9024931355818631,5.509247153639266,5.411740289221129,0.0
baseline,K_T,s_wave,0.5,0.5,4.46543630559829,4.46543630559829,0.8827611465922356,3.5826751590060546,3.4654363055982897,0.0
baseline,total,s_wave,0.5,0.5,6.073620859215274,6.073620859215274,0.8867593871616487,5.186861472053625,5.073620859215273,0.0
baseline,K_B,s_wave,1.0,0.5,4.382337680763205,4.382337680763205,0.7047980781117769,3.6775396026514278,3.3823376807632046,0.0
baseline,K_T,s_wave,1.0,0.5,3.165897690998931,3.165897690998931,0.6554445106517341,2.5104531803471968,2.165897690998931,0.0
baseline,total,s_wave,1.0,0.5,4.171013037009546,4.171013037009546,0.6653484122729998,3.5056646247365464,3.171013037009546,0.0
baseline,K_B,s_wave,2.0,0.5,2.352935072305282,2.352935072305282,0.5071030206416907,1.8458320516635915,1.3529350723052822,0.0
baseline,K_T,s_wave,2.0,0.5,1.8663590763995723,1.8663590763995723,0.42812787471123254,1.4382312016883398,0.8663590763995724,0.0
baseline,total,s_wave,2.0,0.5,2.268405214803818,2.268405214803818,0.4439374373843508,1.824467777419467,1.2684052148038183,0.0
baseline,K_B,nodal_even,0.0,0.05,8.269634807224968,8.269634807224968,1.0200682471720701,7.249566560052898,7.269634807224966,0.0
baseline,K_T,nodal_even,0.0,0.05,5.319254182707227,5.319254182707227,1.0134465243195268,4.3058076583877005,4.319254182707225,0.0
baseline,total,nodal_even,0.0,0.05,7.822117974752799,7.822117974752799,1.0194196101853152,6.802698364567483,6.822117974752801,0.0
