pairing,barrier_Z,eta_meV,kb_zero_bias_conductance,kb_peak_minus_background,kt_zero_bias_conductance,kt_peak_minus_background,kb_minus_kt_zero_bias,kb_minus_kt_peak_contrast
s_wave,0.0,0.05,2.049301407960192,1.0348981438610005,6.246945519025969,5.222706317287288,-4.197644111065777,-4.187808173426287
s_wave,0.5,0.05,1.8394411263681534,0.9757837376248585,5.197556415220774,4.434839642362039,-3.3581152888526207,-3.459055904737181
s_wave,1.0,0.05,1.524650703980096,0.8871121282706467,3.623472759512984,3.2530396299741713,-2.098822055532888,-2.3659275017035246
s_wave,2.0,0.05,1.2098602815920383,0.7984405189164343,2.0493891038051943,2.0712396175863024,-0.8395288222131561,-1.272799098669868
s_wave,0.0,0.2,2.0321185246420663,1.0177284986215445,6.161023922098686,5.136813089816684,-4.12890539745662,-4.11908459119514
s_wave,0.5,0.2,1.8256948197136529,0.9620027052374214,5.128819137678949,4.366050037806944,-3.3031243179652963,-3.4040473325695224
s_wave,1.0,0.2,1.5160592623210332,0.8784140151612374,3.580511961049343,3.2099054597923344,-2.06445269872831,-2.331491444631097
s_wave,2.0,0.2,1.206423704928413,0.7948253250850529,2.032204784419737,2.053760881777725,-0.8257810794913238,-1.258935556692672
s_wave,0.0,0.5,1.9454205685721324,0.93110402711854,5.727497912642396,4.703444377791053,-3.7820773440702635,-3.772340350672513
s_wave,0.5,0.5,1.7563364548577063,0.8924508441197307,4.781998330113918,4.018938087635101,-3.025661875256212,-3.1264872435153706
s_wave,1.0,0.5,1.4727102842860662,0.8344710696215162,3.363748956321199,2.9921786524011713,-1.8910386720351327,-2.157707582779655
s_wave,2.0,0.5,1.1890841137144266,0.7764912951233021,1.9454995825284793,1.9654192171672413,-0.7564154688140527,-1.1889279220439393
nodal_even,0.0,0.05,1.9968934103311027,0.9909197012432105,5.563450044638881,4.558344400941268,-3.566556634307778,-3.567424699698057
nodal_even,0.5,0.05,1.7975147282648822,0.9422867750491204,4.650760035711104,3.9071764667534308,-2.853245307446222,-2.96488969170431
nodal_even,1.0,0.05,1.4984467051655515,0.8693373857579851,3.2817250223194407,2.930424565471677,-1.7832783171538893,-2.0610871797136916
nodal_even,2.0,0.05,1.1993786820662204,0.7963879964668497,1.9126900089277763,1.9536726641899227,-0.7133113268615558,-1.157284667723073
nodal_even,0.0,0.2,1.8100091977615453,0.8040407023625578,3.9354912222308283,2.9303901453381975,-2.125482024469283,-2.1263494429756395
nodal_even,0.5,0.2,1.6480073582092365,0.7927348681903953,3.3483929777846635,2.604727985631147,-1.700385619575427,-1.8119931174407515
nodal_even,1.0,0.2,1.405004598880773,0.7757761169321518,2.4677456111154146,2.11623474607057,-1.0627410122346417,-1.3404586291384184
nodal_even,2.0,0.2,1.162001839552309,0.758817365673908,1.5870982444461657,1.627741506509993,-0.4250964048938566,-0.8689241408360849
nodal_even,0.0,0.5,1.5345633343701854,0.5286237813819905,2.538351744566508,1.5332760015763844,-1.0037884101963226,-1.004652220194394
nodal_even,0.5,0.5,1.4276506674961484,0.572130323646003,2.2306813956532068,1.486564285653262,-0.8030307281570583,-0.9144339620072589
nodal_even,1.0,0.5,1.2672816671850928,0.6373901370420214,1.7691758722832536,1.416496711768577,-0.5018942050981607,-0.7791065747265555
nodal_even,2.0,0.5,1.106912666874037,0.7026499504380395,1.3076703489133013,1.346429137883893,-0.20075768203926425,-0.6437791874458536
valley_even,0.0,0.05,2.024143011302148,1.015435612647896,6.094904789628299,5.078478989543397,-4.070761778326151,-4.063043376895501
valley_even,0.5,0.05,1.8193144090417184,0.9613528137538561,5.075923831702638,4.321020307229573,-3.2566094226609197,-3.359667493475717
valley_even,1.0,0.05,1.5120715056510738,0.8802286154127966,3.5474523948141483,3.184832283758841,-2.0353808891630747,-2.3046036683460445
valley_even,2.0,0.05,1.2048286022604295,0.7991044170717372,2.0189809579256592,2.0486442602881088,-0.8141523556652297,-1.2495398432163716
valley_even,0.0,0.2,1.9571627637395923,0.9484637819646624,5.433833843735529,4.4174264691835425,-3.476671079995937,-3.4689626872188803
valley_even,0.5,0.2,1.7657302109916737,0.9077279920580866,4.547067074988424,3.792098988803284,-2.78133686399675,-2.884370996745197
valley_even,1.0,0.2,1.478581381869796,0.8466243071982229,3.2169169218677647,2.854107768232895,-1.7383355399979687,-2.0074834610346723
valley_even,2.0,0.2,1.1914325527479184,0.7855206223383593,1.886766768747106,1.9161165476625064,-0.6953342159991875,-1.130595925324147
valley_even,0.0,0.5,1.801881177388594,0.7932288998292696,4.1646169964943,3.148311791024378,-2.3627358191057057,-2.3550828911951083
valley_even,0.5,0.5,1.641504941910875,0.7832765234567667,3.53169359719544,2.776366692373457,-1.890188655284565,-1.9930901689166904
valley_even,1.0,0.5,1.4009405886942972,0.7683479588980135,2.5823084982471496,2.2184490443970755,-1.1813679095528524,-1.450101085499062
valley_even,2.0,0.5,1.1603762354777187,0.7534193943392596,1.6329233992988599,1.6605313964206945,-0.47254716382114115,-0.9071120020814348
valley_odd,0.0,0.05,2.0241035405951524,1.0155967018197232,6.095099610986479,5.078765850764793,-4.070996070391326,-4.06316914894507
valley_odd,0.5,0.05,1.8192828324761219,0.9615217949071115,5.076079688789183,4.321268203590729,-3.256796856313061,-3.3597464086836175
valley_odd,1.0,0.05,1.5120517702975762,0.8804094345381948,3.547549805493239,3.185021732829632,-2.035498035195663,-2.3046122982914374
valley_odd,2.0,0.05,1.2048207081190303,0.7992970741692775,2.0190199221972955,2.048775262068536,-0.8141992140782652,-1.2494781878992587
valley_odd,0.0,0.2,1.9567941044836035,0.9482955275555471,5.434616065717822,4.418300685010192,-3.477821961234219,-3.470005157454645
