ab1_pattern,ab2_pattern,ab7_first_pattern,ab7_second_pattern,ab7_second_conjugated,overall_rmse_meV,gamma_start_max_abs_delta_meV,gamma_end_max_abs_delta_meV,k_b_rmse_meV,k_t_rmse_meV,m_rmse_meV
cyc,anti,cyc,anti,False,8.897712692112258,8.189999999999998,8.17450850825658,14.30780743236233,10.302950661796887,5.3940721982963
cyc,anti,cyc,anti,True,8.897712692112258,8.189999999999998,8.17450850825658,14.30780743236233,10.302950661796887,5.3940721982963
cyc,const,cyc,anti,False,8.924655840387848,6.089999999999996,6.112494354433892,15.0720561303676,10.302950702286624,5.43695865726295
cyc,const,cyc,anti,True,8.924655840387848,6.089999999999996,6.112494354433892,15.0720561303676,10.302950702286624,5.43695865726295
cyc,cyc,cyc,anti,False,8.98981465640168,8.189999999999998,8.133624156222314,15.072055973877086,10.482874225141005,5.394072233359009
cyc,cyc,cyc,anti,True,8.98981465640168,8.189999999999998,8.133624156222314,15.072055973877086,10.482874225141005,5.394072233359009
cyc,anti,const,anti,False,8.996993058145705,5.849999999999998,5.8866393997765485,14.307807414892906,10.303285508405313,5.610676460893791
cyc,anti,const,anti,True,8.996993058145705,5.849999999999998,5.8866393997765485,14.307807414892906,10.303285508405313,5.610676460893791
cyc,const,const,anti,False,9.037583748683012,3.749999999999993,3.822977474384963,15.072056113554476,10.303285599889408,5.405513260997558
cyc,const,const,anti,True,9.037583748683012,3.749999999999993,3.822977474384963,15.072056113554476,10.303285599889408,5.405513260997558
cyc,const,cyc,const,False,9.054046753212706,3.749999999999993,3.822976835335787,15.072056113554469,10.465244948281967,5.671965871202272
cyc,const,cyc,const,True,9.054046753212706,3.749999999999993,3.822976835335787,15.072056113554469,10.465244948281967,5.671965871202272
cyc,anti,cyc,const,False,9.063961324867963,5.849999999999998,5.886637825279717,14.307807414892908,10.465244842289332,5.661625096326616
cyc,anti,cyc,const,True,9.063961324867963,5.849999999999998,5.886637825279717,14.307807414892908,10.465244842289332,5.661625096326616
cyc,cyc,const,anti,False,9.119823564545413,5.849999999999998,5.954273564506462,15.072055957063967,10.57229847497743,5.610676572533469
cyc,cyc,const,anti,True,9.119823564545413,5.849999999999998,5.954273564506462,15.072055957063967,10.57229847497743,5.610676572533469
cyc,cyc,cyc,const,False,9.173166283792684,5.849999999999998,5.954271926286445,15.072055957063961,10.761273406474864,5.661625157698829
cyc,cyc,cyc,const,True,9.173166283792684,5.849999999999998,5.954271926286445,15.072055957063961,10.761273406474864,5.661625157698829
