point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734
1,-20.13638992630836,-23.75951852124885,-36.52515304964449,-20.132323230460372,-23.763149593422337,-36.524806494889475
2,-20.10770377633411,-23.7877807440017,-36.52248994314877,-20.090520771966293,-23.803394930240543,-36.5209312928452
3,-20.06078469744631,-23.83394916854013,-36.51809751988627,-20.020488374219507,-23.871100260234787,-36.51421061519931
4,-19.99683434996827,-23.89675571124143,-36.51204516940717,-19.923060402596864,-23.965611834462283,-36.504473027868585
5,-19.91730757035001,-23.97465202551091,-36.50443055136041,-19.799804771966997,-24.08550897768929,-36.49158412881951
6,-19.82376246057797,-24.06595890021456,-36.49538010440797,-19.652702387235895,-24.22892497246074,-36.47544620579658
7,-19.71773798180933,-24.16898801625031,-36.48504969185429,-19.48385785407551,-24.39383627818401,-36.45599828385621
8,-19.60067000508874,-24.28212511676698,-36.47362537562707,-19.295294779475512,-24.578266687327375,-36.43321664100108
9,-19.47384421640941,-24.40387620614245,-36.46132430624219,-19.088841349569282,-24.780400635758514,-36.40711588748113
10,-19.33837780918531,-24.53288486244486,-36.44839571096467,-18.866086070386203,-24.998625662269575,-36.37775072811518
11,-19.19522048704019,-24.6679301654519,-36.43512195519435,-18.62837787882957,-25.231529658754845,-36.34521855892403
12,-19.04516665462996,-24.80791339681873,-36.42181964277324,-18.376849448734582,-25.47787389266419,-36.309663091665655
13,-18.88887292164209,-24.95183943340943,-36.40884070906576,-18.11244965534532,-25.73655558931962,-36.27127925541806
14,-18.72687715883041,-25.09879665578881,-36.39657344596407,-17.83597720384675,-26.00656774692581,-36.23031969682477
15,-18.55961695308148,-25.24793760349842,-36.38544338020837,-17.54811150838085,-26.286959682547643,-36.18710329438814
16,-18.38744638870457,-25.39846154936997,-36.37591390558634,-17.24943931239773,-26.57679928303405,-36.14202622207491
17,-18.2106507436151,-25.54959952716973,-36.36848654606034,-16.94047680912674,-26.875136516676978,-36.09557624776313
18,-18.02945906073332,-25.70060200049411,-36.3637007015901,-16.621687610015833,-27.1809669902085,-36.04835113418557
19,-17.84405474285759,-25.85072919823433,-36.36213270308811,-16.293497127806646,-27.49319390921225,-36.001082217742756
20,-17.65458439853863,-25.99924408530898,-36.36439398029393,-15.956303974542198,-27.81058655717311,-35.95466444978524
21,-17.4611651856525,-26.14540793421279,-36.3711281303362,-15.61048892585603,-28.13173330797297,-35.91019433433504
22,-17.26389088798408,-26.28847847846729,-36.38300667059816,-15.256421924622057,-28.454987309723805,-35.869017151410254
23,-17.06283693523548,-26.42771063990824,-36.40072327355416,-14.894467515117167,-28.778403566638367,-35.83278434823796
24,-16.85806454778277,-26.56235981173653,-36.42498632034149,-14.52498902432717,-29.099667681576662,-35.803520519232244
25,-16.6496241589743,-26.69168763739432,-36.45650968022979,-14.148351743621514,-29.416019821787465,-35.783696159140774
26,-16.43755824195579,-26.81497014549873,-36.49600172878724,-13.76492531201616,-29.724183704239927,-35.776296191901054
27,-16.22190364567596,-26.93150798301948,-36.54415275792175,-13.3750854604747,-30.0203207487751,-35.78486396768477
28,-16.00269352591003,-27.04063833971281,-36.60162109896479,-12.979215243561974,-30.300043944304612,-35.81348605675274
29,-15.77995894153854,-27.14174799209385,-36.6690184602987,-12.57770585865439,-30.558540216060543,-35.866668952079614
30,-15.55373017351426,-27.23428673868553,-36.74689515037486,-12.17095713240376,-30.790851985669434,-35.94905690945018
31,-15.32403781350006,-27.31778037927369,-36.83572598643094,-11.759377738060099,-30.992338157547394,-36.06497062810031
32,-15.09091366065769,-27.39184233918393,-36.93589774943235,-11.34338519462105,-31.15925845360958,-36.217822799119745
33,-14.85439145815567,-27.45618307828015,-37.04769901399094,-10.92340568883304,-31.289326314387857,-36.409565262679166
34,-14.61450749534194,-27.5106165627588,-37.17131304926249,-10.499873753226263,-31.382027965119548,-36.64037014252192
35,-14.37130109695051,-27.5550633065994,-37.30681426261612,-10.073231827156155,-31.43857697128858,-36.9086756064508
36,-14.12481501697444,-27.5895497807123,-37.4541683704245,-9.64392972289511,-31.46153680435833,-37.21156371021811
37,-13.87509575178277,-27.61420429982416,-37.61323617137947,-9.212424014885393,-31.454279158824942,-37.545302565767905
38,-13.62219378455415,-27.62924978414507,-37.78378051324059,-8.77917736711689,-31.420465143844623,-37.90586569580614
39,-13.36616377104104,-27.63499401533679,-37.96547582350653,-8.344657811063767,-31.363662341860586,-38.289315570031654
40,-13.10706467498332,-27.63181813936104,-38.15791944313644,-7.909337984571695,-31.287121338929186,-38.69202770813153
41,-12.84495986009137,-27.6201642059384,-38.36064396669406,-7.473694340431852,-31.19368119380109,-39.11078587394227
42,-12.57991714436443,-27.60052248610381,-38.57312984168905,-7.038206332031361,-31.085758202688865,-39.54279399665137
43,-12.31200882155566,-27.57341919795417,-38.7948175922331,-6.603355582368474,-30.96537898288805,-39.98564378977797
44,-12.04131165380709,-27.53940512329394,-39.02511918030697,-6.169625041817998,-30.834231713288844,-40.43726422470445
45,-11.76790683882862,-27.49904544031784,-39.26342817615166,-5.737498139287758,-30.69372060932699,-40.895867776762955
46,-11.4918799544593,-27.45291095004486,-39.5091285572565,-5.30745793079195,-30.54501634621057,-41.359900726206334
47,-11.21332088301143,-27.40157074998832,-39.76160208008599,-4.879986248954948,-30.389099618071036,-41.82800032309335
48,-10.93232371743852,-27.34558631353488,-40.02023426405642,-4.45556285653321,-30.226797351367175,-42.298959294860175
49,-10.64898665107846,-27.28550686816483,-40.28441909290642,-4.034664606684778,-30.05881215472148,-42.77169711185732
50,-10.36341185248792,-27.22186592676591,-40.55356257771921,-3.6177646124149083,-29.885745971475156,-43.24523704232196
51,-10.07570532669654,-27.15517880879373,-40.82708534354175,-3.2053314273710445,-29.70811895265086,-43.71868797710533
52,-9.785976764061292,-27.08594098633862,-41.10442440338716,-2.7978282399432652,-29.526384475570627,-44.19123009713194
53,-9.49433937778497,-27.01462709910441,-41.38503427457849,-2.395712082440422,-29.340941092882588,-44.66210359724253
54,-9.200909731073164,-26.94169049757965,-41.66838757720501,-1.999433056950176,-29.15214205302976,-45.130599823952096
55,-8.905807554835395,-26.86756319200221,-41.95397523621232,-1.6094335793528227,-28.960302904704392,-45.596054313279325
56,-8.609155556785039,-26.79265610375182,-42.24130638966322,-1.2261476428337232,-28.76570759014487,-46.057841322609775
57,-8.311079222753989,-26.71735953404764,-42.52990808750331,-0.8500001021317729,-28.56861334501442,-46.51536953777827
58,-8.011706611010347,-26.64204378140158,-42.81932484861941,-0.4814059796612522,-28.369254653537016,-46.9680787057121
59,-7.711168140346263,-26.56705985376427,-43.1091181295134,-0.1207697945574644,-28.16784645345232,-47.41543699717666
60,-7.40959637268736,-26.49274023359382,-43.39886574563616,0.2315150843875493,-27.964586743215616,-47.85693894637532
61,-7.107125790962131,-26.41939966426112,-43.68816127625627,0.575067061007104,-27.759658711157904,-48.29210384693972
62,-6.803892572958921,-26.34733593447213,-43.97661347548166,0.9095169084412635,-27.553232480936927,-48.72047450929474
63,-6.500034361886447,-26.2768306439812,-44.26384570546995,1.234508339466224,-27.345466547894404,-49.14161630416353
64,-6.195690034342666,-26.20814993904179,-44.54949540270257,1.5496985497869336,-27.13650896558652,-49.55511643238353
65,-5.890999466383378,-26.14154521003709,-44.83321358421462,1.8547587336728029,-26.926498329773292,-49.960583373246294
66,-5.586103298366355,-26.07725374676922,-45.11466439765027,2.149374571378111,-26.715564597766782,-50.35764647301507
67,-5.281142699230543,-26.01549934915628,-45.39352471676128,2.4332466878536323,-26.503829773656832,-50.74595564271172
68,-4.976259130849042,-25.95649289275013,-45.66948378232094,2.7060910823154636,-26.291408484106356,-51.125181140147745
69,-4.671594113073073,-25.90043284967939,-45.94224288725702,2.9676395283019374,-26.078408464786573,-51.495013415850046
70,-4.367288990059417,-25.8475057664498,-46.21151510400173,3.217639943910388,-25.864930973843624,-51.855163006268185
71,-4.063484698447771,-25.79788670058681,-46.47702505153291,3.455856731970453,-25.651071145843847,-52.20536046064947
72,-3.760321537925722,-25.75173961844861,-46.73850869926255,3.68207108997347,-25.436918297280254,-52.54535629039112
73,-3.457938944689603,-25.70921775672986,-46.9957132047673,3.896081289643506,-25.22255619281313,-52.87492093164468
74,-3.156475268278868,-25.6704639502565,-47.2483967823058,4.097702926101107,-25.008063279869837,-53.193844713556096
75,-2.856067552229545,-25.63561092867321,-47.49632859909737,4.286769136638132,-24.793512897967553,-53.501937825843996
76,-2.556851318960716,-25.60478158457167,-47.73928869642123,4.463130789189854,-24.578973468090233,-53.79903028051431
77,-2.258960359276206,-25.57808921551916,-47.97706793271624,4.626656640660466,-24.36450866660189,-54.08497186341767
78,-1.962526526831602,-25.55563774233443,-48.20946794600395,4.777233465327914,-24.15017758747651,-54.35963207212279
