path_mode,k_b_label,m_label,k_t_label,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,8.879941877622135,0.01315161642504492,15.873012500792468,8.237155612555235,14.991814191435115,15.380510500300112
exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,8.882764596115395,0.0137221227123554,14.974444027854577,8.103447068271395,15.884380933392691,15.385399592145903
duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,8.900394259302836,7.105427357601002e-15,15.028551054220966,8.21556512224462,15.879394816573773,15.415935064506877
duplicated_150,K_-2b1-b2,M_b2,K_2b1+b2,8.900394259302836,7.105427357601002e-15,15.879394816573765,8.21556512224462,15.028551054220973,15.415935064506877
exclusive_150,K_-b1+b2,M_b1+b2,K_b1-b2,9.080540707774649,0.01574718326429192,15.493723981124734,6.549841420781372,15.69049891016178,15.727957866063145
exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,9.091977863158894,0.016537941410557977,15.690483272189773,6.555080352624297,15.53747604707564,15.747767600282717
duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,9.102163181802581,7.105427357601002e-15,15.49756642743746,6.491488579094616,15.724691021354818,15.765409089664862
duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,9.102163181802581,7.105427357601002e-15,15.724691021354815,6.491488579094616,15.49756642743747,15.76540908966486
exclusive_150,K_b1+2b2,M_b1,K_2b1+b2,9.343366367061053,0.01315161642504492,15.502970690681785,7.18440837982117,15.006488672186354,16.183185261479984
exclusive_150,K_2b1+b2,M_b1,K_b1+2b2,9.345403321513393,0.018476238953141433,14.974444027854577,7.196146068303899,15.492222601595849,16.18671337008414
duplicated_150,K_2b1+b2,M_b1,K_b1+2b2,9.358052510488887,7.105427357601002e-15,15.028551054220966,7.2002094625400686,15.513734042694221,16.20862240806424
duplicated_150,K_b1+2b2,M_b1,K_2b1+b2,9.35805251048889,7.105427357601002e-15,15.513734042694217,7.2002094625400686,15.028551054220973,16.20862240806424
exclusive_150,K_-2b1-b2,M_b2,K_-b1-2b2,9.358366913037713,0.019176343654002892,15.873012500792468,8.237155612555235,16.095037552619587,16.20916696925283
exclusive_150,K_-b1-2b2,M_b2,K_-2b1-b2,9.377455128948913,0.0137221227123554,16.1183028195511,8.159395885043244,15.884380933392691,16.242228729036874
duplicated_150,K_-2b1-b2,M_b2,K_-b1-2b2,9.380762856142018,7.105427357601002e-15,15.879394816573765,8.21556512224462,16.100469408921484,16.24795788059291
duplicated_150,K_-b1-2b2,M_b2,K_-2b1-b2,9.380762856142018,7.105427357601002e-15,16.100469408921473,8.21556512224462,15.879394816573773,16.24795788059291
exclusive_150,K_2b1+b2,M_b2,K_-b1-2b2,9.391644347987496,0.019176343654002892,14.974444027854577,8.103447068271395,16.095037552619587,16.266805177331428
exclusive_150,K_-b1-2b2,M_b2,K_2b1+b2,9.408000736364926,0.01315161642504492,16.1183028195511,8.159395885043244,14.991814191435115,16.295135273029466
duplicated_150,K_2b1+b2,M_b2,K_-b1-2b2,9.412085507385951,7.105427357601002e-15,15.028551054220966,8.21556512224462,16.100469408921484,16.302210303975166
duplicated_150,K_-b1-2b2,M_b2,K_2b1+b2,9.412085507385951,7.105427357601002e-15,16.100469408921473,8.21556512224462,15.028551054220973,16.302210303975166
exclusive_150,K_-2b1-b2,M_b2,K_b1-b2,9.423773042202946,0.01574718326429192,15.873012500792468,8.237155612555235,15.662990463637518,16.32245370809343
exclusive_150,K_b1+2b2,M_b1,K_-2b1-b2,9.442187027471848,0.0137221227123554,15.502970690681785,7.18440837982117,15.856165024739921,16.35434766614899
exclusive_150,K_b1-b2,M_b2,K_-2b1-b2,9.443177349854086,0.0137221227123554,15.690483272189773,8.091824711642497,15.884380933392691,16.3560629548309
duplicated_150,K_b1-b2,M_b2,K_-2b1-b2,9.44754397357892,7.105427357601002e-15,15.724691021354815,8.21556512224462,15.879394816573773,16.36362616897985
duplicated_150,K_-2b1-b2,M_b2,K_b1-b2,9.44754397357892,7.105427357601002e-15,15.879394816573765,8.21556512224462,15.724691021354818,16.36362616897985
exclusive_150,K_2b1+b2,M_b2,K_b1-b2,9.456820323501843,0.01574718326429192,14.974444027854577,8.103447068271395,15.662990463637518,16.379693278355138
exclusive_150,K_-2b1-b2,M_b1,K_b1+2b2,9.458670607111626,0.018476238953141433,15.873012500792468,7.191030536047246,15.492222601595849,16.382898063575695
duplicated_150,K_b1+2b2,M_b1,K_-2b1-b2,9.46224269866734,7.105427357601002e-15,15.513734042694217,7.2002094625400686,15.879394816573773,16.389085107639477
duplicated_150,K_-2b1-b2,M_b1,K_b1+2b2,9.46224269866734,7.105427357601002e-15,15.879394816573765,7.2002094625400686,15.513734042694221,16.389085107639477
exclusive_150,K_b1-b2,M_b2,K_2b1+b2,9.473511050333448,0.01315161642504492,15.690483272189773,8.091824711642497,14.991814191435115,16.40860246524273
duplicated_150,K_2b1+b2,M_b2,K_b1-b2,9.478645945908006,7.105427357601002e-15,15.028551054220966,8.21556512224462,15.724691021354818,16.41749636526943
duplicated_150,K_b1-b2,M_b2,K_2b1+b2,9.478645945908006,7.105427357601002e-15,15.724691021354815,8.21556512224462,15.028551054220973,16.41749636526943
exclusive_150,K_b1-b2,M_b1+b2,K_-2b1-b2,9.526547113353237,0.0137221227123554,15.690483272189773,6.555080352624297,15.869678781796958,16.50046362102643
exclusive_150,K_b1+2b2,M_b1,K_-b1-2b2,9.528706735002087,0.019176343654002892,15.502970690681785,7.18440837982117,16.176599502056998,16.50420419544736
exclusive_150,K_-b1-2b2,M_b1,K_b1+2b2,9.53251547719968,0.018476238953141433,16.1183028195511,7.201896357053216,15.492222601595849,16.51080113044653
exclusive_150,K_-2b1-b2,M_b1+b2,K_b1-b2,9.536823371487461,0.01574718326429192,15.873012500792468,6.619559742433047,15.69049891016178,16.5182626222266
duplicated_150,K_b1-b2,M_b1+b2,K_-2b1-b2,9.542440980683995,7.105427357601002e-15,15.724691021354815,6.491488579094616,15.879394816573773,16.527992606772063
duplicated_150,K_-2b1-b2,M_b1+b2,K_b1-b2,9.542440980683995,7.105427357601002e-15,15.879394816573765,6.491488579094616,15.724691021354818,16.527992606772063
duplicated_150,K_b1+2b2,M_b1,K_-b1-2b2,9.54340797844081,7.105427357601002e-15,15.513734042694217,7.2002094625400686,16.100469408921484,16.52966749601767
duplicated_150,K_-b1-2b2,M_b1,K_b1+2b2,9.54340797844081,7.105427357601002e-15,16.100469408921473,7.2002094625400686,15.513734042694221,16.52966749601767
exclusive_150,K_b1+2b2,M_b1+b2,K_b1-b2,9.549950417868347,0.01574718326429192,15.502970690681785,6.489360272716046,15.69049891016178,16.54099933351161
exclusive_150,K_2b1+b2,M_b1,K_-2b1-b2,9.5557973934878,0.0137221227123554,14.974444027854577,7.196146068303899,15.856165024739921,16.551126592355114
exclusive_150,K_b1-b2,M_b1+b2,K_b1+2b2,9.564522941170118,0.018476238953141433,15.690483272189773,6.555080352624297,15.505750138480458,16.566239684264755
exclusive_150,K_-2b1-b2,M_b1,K_2b1+b2,9.57009662672442,0.01315161642504492,15.873012500792468,7.191030536047246,15.006488672186354,16.57589359083022
duplicated_150,K_b1+2b2,M_b1+b2,K_b1-b2,9.571284416401882,7.105427357601002e-15,15.513734042694217,6.491488579094616,15.724691021354818,16.57795090290029
duplicated_150,K_b1-b2,M_b1+b2,K_b1+2b2,9.571284416401882,7.105427357601002e-15,15.724691021354815,6.491488579094616,15.513734042694221,16.57795090290029
duplicated_150,K_2b1+b2,M_b1,K_-2b1-b2,9.572888873190498,7.105427357601002e-15,15.028551054220966,7.2002094625400686,15.879394816573773,16.580729903576724
duplicated_150,K_-2b1-b2,M_b1,K_2b1+b2,9.572888873190498,7.105427357601002e-15,15.879394816573765,7.2002094625400686,15.028551054220973,16.580729903576724
exclusive_150,K_2b1+b2,M_b1+b2,K_b1-b2,9.57620936041153,0.01574718326429192,14.974444027854577,6.492032789139959,15.69049891016178,16.586481156149432
exclusive_150,K_b1-b2,M_b1+b2,K_2b1+b2,9.588726613284923,0.01315161642504492,15.690483272189773,6.555080352624297,15.023236524628903,16.608161674097335
duplicated_150,K_2b1+b2,M_b1+b2,K_b1-b2,9.59519455256442,7.105427357601002e-15,15.028551054220966,6.491488579094616,15.724691021354818,16.619364473549698
duplicated_150,K_b1-b2,M_b1+b2,K_2b1+b2,9.59519455256442,7.105427357601002e-15,15.724691021354815,6.491488579094616,15.028551054220973,16.619364473549698
exclusive_150,K_2b1+b2,M_b1,K_-b1-2b2,9.641297630781072,0.019176343654002892,14.974444027854577,7.196146068303899,16.176599502056998,16.699217347406258
exclusive_150,K_-b1-2b2,M_b1,K_2b1+b2,9.643088256054497,0.01315161642504492,16.1183028195511,7.201896357053216,15.006488672186354,16.702318801357148
exclusive_150,K_b1+2b2,M_b1,K_-b1+b2,9.645875591875868,0.016537941410557977,15.502970690681785,7.18440837982117,15.508405027739679,16.70714660861752
duplicated_150,K_2b1+b2,M_b1,K_-b1-2b2,9.653123863959209,7.105427357601002e-15,15.028551054220966,7.2002094625400686,16.100469408921484,16.71970098413295
duplicated_150,K_-b1-2b2,M_b1,K_2b1+b2,9.653123863959209,7.105427357601002e-15,16.100469408921473,7.2002094625400686,15.028551054220973,16.71970098413295
exclusive_150,K_-b1+b2,M_b1,K_b1+2b2,9.65659158770404,0.018476238953141433,15.493723981124734,7.1816941405829375,15.492222601595849,16.72570725784561
duplicated_150,K_-b1+b2,M_b1,K_b1+2b2,9.660779176158993,7.105427357601002e-15,15.49756642743746,7.2002094625400686,15.513734042694221,16.732960373810776
duplicated_150,K_b1+2b2,M_b1,K_-b1+b2,9.660779176158993,7.105427357601002e-15,15.513734042694217,7.2002094625400686,15.49756642743747,16.732960373810776
exclusive_150,K_b1+2b2,M_b1,K_b1-b2,9.699223954875386,0.01574718326429192,15.502970690681785,7.18440837982117,15.71643467563211,16.79954868383331
