c1_pattern,c2_pattern,c7_first_pattern,c7_second_pattern,c7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
cyc,anti,cyc,anti,False,8.37238546325572,0.03618005930289314,15.056229196529133,3.286280468694124,14.951424670245753,14.501397002909998
cyc,anti,cyc,anti,True,8.461976457539166,0.04455820134698385,15.0361574715397,4.274456091414842,14.964385662398463,14.65657315690954
cyc,anti,cyc,const,False,8.577998399772355,7.885730721777357,14.943815795642278,6.517682876864508,15.702104470366129,14.857529055650243
cyc,const,cyc,anti,False,8.61393024300972,1.5860999211511597,15.088794392541068,5.139375750447473,14.930097894326211,14.919764833746958
cyc,const,cyc,const,False,8.624412370484347,3.840707109636355,14.990296588402444,7.691648862107212,15.955993670112013,14.937920411104429
cyc,cyc,cyc,anti,False,8.665912084190108,0.029917278605118724,14.92758418495278,3.323607219549683,15.016500004567346,15.009800023742368
cyc,anti,cyc,const,True,8.66650382360114,7.8717401580003,14.946914289950527,6.847291060664009,15.627987025203515,15.010824946467116
anti,const,anti,const,True,8.666914477264514,3.7577059042899847,16.003329058202166,4.191822633124358,14.962353946061164,15.0115362194764
anti,cyc,anti,anti,False,8.690640501019221,0.01668493563210305,14.88909224940879,1.9760031021702145,16.405658978022885,15.052630898081132
anti,const,anti,const,False,8.715515464554345,3.7605418939236515,15.91253774090202,4.185181733202209,14.954632681046606,15.09571559876039
anti,cyc,anti,anti,True,8.715970516031419,0.02336386460897444,14.902674381439923,1.6041580619152265,16.459699169604825,15.096503771038742
cyc,const,cyc,const,True,8.718734021679046,3.8335040332346253,14.986514629963088,7.91774160786607,15.87080359538199,15.101290303227437
cyc,const,cyc,anti,True,8.725182481487101,1.5903701513457733,15.08305773437359,6.088942635451394,14.940911070647411,15.112459363245557
cyc,anti,const,anti,False,8.738728878380904,7.885055939874626,14.88776676045819,4.475326507986265,14.969692247061701,15.135922410925115
cyc,cyc,cyc,anti,True,8.744950191723966,0.0377569594875915,14.924692716314647,4.311271598115194,15.046131059007777,15.146698041725104
cyc,anti,cyc,cyc,True,8.764314138254903,0.01119006272509182,16.361575247188462,8.22910102789164,14.919781877309639,15.180237380951734
anti,const,anti,anti,False,8.781790011534351,1.647284197616223,14.920413271188545,3.594670235814282,16.535291888115324,15.210506481378374
cyc,anti,const,anti,True,8.789923621164045,7.877982253916805,14.881170866172884,5.404868294539526,14.991126914783658,15.224594306505935
anti,anti,anti,anti,False,8.800377697600569,0.019443780050664827,15.004571828168379,1.945388059679815,15.874961947590831,15.242701298040204
anti,const,anti,anti,True,8.814917537289803,1.65161161813203,14.945934465273641,3.0846747188040187,16.531868296381845,15.267885039115859
anti,cyc,anti,const,True,8.816552496791676,7.887637272592173,15.78551551593079,3.3004769619234504,14.912268116627036,15.270716872041422
cyc,const,const,anti,False,8.816799134295756,3.8399074776059834,14.916640156466656,6.342025623124557,15.030997213313157,15.271144060729544
cyc,anti,cyc,cyc,False,8.836698770995675,0.01622173439040253,16.426110329959673,8.745976214436565,14.921567835136827,15.305611242545963
anti,cyc,anti,const,False,8.845073597715455,7.898649883496425,15.70336675319291,3.20045287170067,14.911761682011733,15.32011686792921
anti,anti,anti,anti,True,8.849994911162497,0.02668616094964804,15.034564356636396,1.5766151339170167,15.874585001979742,15.32864083285946
anti,const,const,anti,False,8.864150246954035,3.840557233663503,15.042868698244925,3.651037837580689,15.92086994903881,15.3531585936486
cyc,cyc,cyc,const,False,8.876689958807518,7.990639338765952,14.972054187462636,6.543643580281946,16.17234761224202,15.374878011691104
cyc,cyc,cyc,cyc,True,8.879941877622135,0.01315161642504492,15.873012500792466,8.23715561255524,14.991814191435116,15.380510500300112
cyc,const,const,anti,True,8.906369946487663,3.833224213507407,14.906863160310426,7.234836591265042,15.05804162752652,15.426285258321135
anti,cyc,const,anti,False,8.930248908563227,7.990793502278208,15.052447475705106,2.044977248786241,15.632083441041294,15.46764483386802
anti,const,const,anti,True,8.939408129381672,3.8339926426602986,15.021447010090633,3.246929681340935,15.997686754591363,15.483509069683313
cyc,cyc,cyc,const,True,8.96326955579214,7.97658470927589,14.984590874760062,6.871685278522083,16.05169692836069,15.524838272567306
anti,const,const,cyc,False,8.968306270000701,3.7599570423177795,15.205604108293688,4.742708329019157,14.935395069738252,15.533562117479738
anti,cyc,const,anti,True,8.972493838107289,7.9838380209083155,15.028904259936727,1.7824104066164963,15.734734885832562,15.540815198200503
anti,cyc,const,cyc,False,8.980633124901363,7.897894121896563,15.10078274965894,4.538019211237519,14.894649921740731,15.554912856465215
anti,cyc,anti,cyc,True,8.986793700108192,0.03468542215480497,14.954137689290429,3.9756985200472243,15.064421308952827,15.565583285727293
anti,cyc,anti,cyc,False,8.990460270969036,0.043664661987065756,14.972947776760453,3.2582844544542207,15.047234734968448,15.571933972747827
anti,const,cyc,const,False,8.991586269402273,3.841444718438325,16.551901502651322,4.1760657938659405,15.173840084661316,15.573884259243435
anti,cyc,cyc,cyc,False,8.99970152721184,0.01653743754925685,15.068426728043127,4.477104680573271,15.04955462737417,15.587940298086124
anti,const,cyc,const,True,9.002780105752349,3.8347363587599474,16.673017733140572,4.342920868420144,15.150792548863652,15.59327255253338
cyc,cyc,cyc,cyc,False,9.007923256226306,0.01872978541532433,15.883626024864599,8.756635278446824,15.018890494184461,15.602180750465246
cyc,anti,anti,anti,False,9.009235809747166,0.016351952620109245,14.966427107130192,4.5084594188215945,15.038238599398294,15.604454159851027
anti,anti,anti,const,True,9.020739875454053,7.782833323881363,16.197879937643528,3.2795153211210817,14.938035967798715,15.624379786148966
anti,cyc,const,cyc,True,9.032087116221595,7.893346117712348,15.072032458212028,5.2883392729502114,14.905309279000958,15.644033783684064
anti,cyc,cyc,cyc,True,9.03507691614595,0.01446374269345796,15.105498768593367,5.292063299094353,15.045017819513664,15.649212269057514
cyc,anti,anti,anti,True,9.048122281219172,0.020134106947772068,14.974125213858038,5.335391346580513,15.004006054294974,15.671807504167619
cyc,const,cyc,cyc,True,9.050772153847387,1.651310422460135,16.526075300466644,8.370022990799521,14.926425226388874,15.676397218193275
anti,const,const,cyc,True,9.051597696777252,3.75660661883267,15.171115945961358,5.39652176507654,14.950334518136087,15.677827100491628
anti,anti,const,anti,False,9.05487478014957,7.886079030055335,14.993305722475528,2.013894526185864,15.42881372524553,15.683503175393122
anti,anti,anti,const,False,9.055766161767194,7.793758585231977,16.072418729197675,3.1778447730510972,14.948553749550209,15.68504709364378
anti,const,cyc,cyc,False,9.09394262831698,1.64766298248054,15.002412287390353,4.679778325126174,15.041033657425354,15.751170673361466
anti,const,anti,cyc,False,9.096160688549306,1.7104796279356407,14.952521928382945,3.45158539888161,15.090519455597748,15.7550124663781
cyc,anti,const,cyc,True,9.11392051576764,7.7895820170584855,15.599329642440546,8.119319423576844,14.989914282794327,15.7857733894539
anti,const,anti,cyc,True,9.121327319983335,1.7140840721913904,14.93771775192888,4.070688505114882,15.091816969901151,15.798602350677198
cyc,cyc,const,anti,False,9.127420631096467,7.9899857605292794,14.932561577637813,4.512129674052447,15.002516112533016,15.809156275111466
anti,cyc,cyc,const,False,9.127594820541477,7.991554991387815,16.446306596543312,3.1963835245937857,15.252188825531265,15.809457980080367
cyc,const,cyc,cyc,False,9.133013664509148,1.647655840878592,16.53861622897559,9.013649524995202,14.94401598384121,15.818843693150662
anti,cyc,cyc,anti,False,9.134666781802192,0.08144970133588814,15.062957749127666,0.775096664881244,15.236363578421631,15.821706976293084
